"gene","ensembl_id","stat","log2FoldChange"
"TFF1","ENSG00000160182",9.59519067934749e-57,2.03247634666759
"GREB1","ENSG00000196208",1.39616665111382e-48,2.75455325575625
"PRR11","ENSG00000068489",1.25198307741325e-29,1.67061290614324
"NPY1R","ENSG00000164128",1.84139925754856e-27,1.20552000210912
"CDK1","ENSG00000170312",2.79508942784201e-25,1.8235083965954
"CALCR","ENSG00000004948",2.54185606999399e-20,1.53058207846995
"ARHGAP11A","ENSG00000198826",8.40251687957439e-19,1.58173740937126
"PSCA","ENSG00000167653",1.81727964326657e-17,-1.64303666959114
"KRT81","ENSG00000205426",1.11469708712154e-16,-1.19809661327809
"HMMR","ENSG00000072571",1.31971978548039e-16,1.53674794266882
"TPD52L1","ENSG00000111907",3.04558000716703e-15,0.985380549190994
"SFXN2","ENSG00000156398",2.05912983875573e-13,2.38494623832542
"TST","ENSG00000128311",4.54551396899115e-13,1.20722616517117
"H4C1","ENSG00000278637",1.17716223314921e-12,1.4448971170391
"PGR","ENSG00000082175",1.83643444975182e-12,1.96813230256696
"SDK2","ENSG00000069188",1.90601904907927e-12,2.46610562807277
"CENPI","ENSG00000102384",1.90601904907927e-12,1.51719252181172
"PRC1","ENSG00000198901",2.68705105630459e-12,1.57145296328917
"AREG","ENSG00000109321",3.14840955890186e-12,1.66379268148916
"TMED8","ENSG00000100580",3.14840955890186e-12,1.40816632336051
"ZNF703","ENSG00000183779",3.14840955890186e-12,1.05665182221018
"ASCL1","ENSG00000139352",5.64162223157464e-12,1.39262370774162
"HMGB2","ENSG00000164104",8.47696042739211e-12,1.24760210386727
"CELSR2","ENSG00000143126",1.24091734166875e-11,1.12504873983732
"MYB","ENSG00000118513",1.52900285697382e-11,1.13102084105472
"PDZK1","ENSG00000174827",1.79178231871394e-11,2.62092186255157
"PPM1K","ENSG00000163644",2.26672002389497e-11,0.981394066754008
"NUSAP1","ENSG00000137804",3.80887273535067e-11,1.46353959061847
"MYBL1","ENSG00000185697",7.42145232612847e-11,1.75763628601812
"CLIP4","ENSG00000115295",8.38431580219005e-11,-1.30408841153758
"KIF14","ENSG00000118193",1.39847207804422e-10,1.82256637905793
"MKI67","ENSG00000148773",2.1335199840647e-10,1.40430721043136
"ABHD2","ENSG00000140526",2.50210127103857e-10,1.0215331647287
"H1-5","ENSG00000184357",2.76680667264832e-10,1.64043285936808
"COL12A1","ENSG00000111799",3.20385064016732e-10,1.00101609907785
"KIF11","ENSG00000138160",4.03923827759977e-10,1.49333736003919
"BCAS1","ENSG00000064787",4.03923827759977e-10,-1.52547292027717
