Geneid,SRR21043237,SRR21043476,SRR21043633,SRR21043905,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,2,1,0,0,0,3,0,0
ENSG00000127837,169,187,157,177,110,122,128,157
ENSG00000090861,236,376,336,362,167,265,185,246
ENSG00000275700,19,44,44,42,23,29,30,23
ENSG00000085563,0,6,4,3,6,8,3,3
ENSG00000023839,32,75,55,67,44,47,38,58
ENSG00000114770,258,737,532,526,361,546,408,498
ENSG00000164163,51,53,50,48,23,61,28,41
ENSG00000204574,295,366,372,442,241,325,233,283
ENSG00000161204,8,14,18,21,12,11,8,5
ENSG00000160179,1,4,2,2,1,4,6,1
ENSG00000108846,8,23,10,18,10,17,7,17
ENSG00000118777,138,238,213,192,120,202,131,170
ENSG00000163686,12,15,11,18,13,4,7,13
ENSG00000097007,11,16,17,20,10,13,9,8
ENSG00000115361,0,0,0,3,0,0,0,1
ENSG00000120437,80,70,70,110,44,60,29,32
ENSG00000182827,92,106,110,131,65,85,52,75
ENSG00000102977,14,20,18,15,8,11,7,14
ENSG00000159640,6,6,5,7,3,8,6,7
ENSG00000087085,19,17,28,27,22,18,23,21
ENSG00000131473,202,117,143,208,144,137,141,135
ENSG00000123130,2,3,4,5,0,4,1,1
ENSG00000151726,99,64,92,120,74,121,65,70
ENSG00000075624,872,510,640,759,657,858,808,759
ENSG00000266920,0,0,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,196,193,220,210,164,203,171,196
ENSG00000137845,165,206,293,200,205,212,140,226
ENSG00000114948,3,0,0,2,1,3,3,1
ENSG00000087116,1,0,0,0,0,0,0,0
ENSG00000197381,228,409,371,432,257,338,267,329
ENSG00000065457,14,14,16,9,8,7,13,12
ENSG00000163050,22,48,43,33,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,8,10,14,14,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,248,155,149,214,142,200,166,176
ENSG00000156110,369,572,579,696,317,449,317,428
ENSG00000148926,18,14,15,11,8,17,13,7
ENSG00000181915,125,182,149,217,116,172,97,126
ENSG00000163485,13,12,15,15,1,2,4,3
ENSG00000128271,0,1,1,0,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,2,2,1,0,1,2,3,2
ENSG00000173020,55,83,94,63,45,52,52,62
ENSG00000239900,0,3,3,0,0,1,2,0
ENSG00000169129,3,3,4,9,3,6,2,3
ENSG00000183077,27,40,36,37,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,44,62,48,55,26,41,35,47
ENSG00000169692,77,105,90,122,77,95,72,90
ENSG00000138678,11,15,11,24,14,17,7,12
ENSG00000188157,707,1268,1235,1575,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,43,29,23,39,32,34,21,28
ENSG00000156709,175,246,218,236,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,33,59,61,51,28,40,32,38
ENSG00000105127,164,296,292,288,196,304,181,232
ENSG00000011243,15,22,20,25,8,24,12,14
ENSG00000085662,2,1,0,2,0,0,1,0
ENSG00000187134,6,8,9,16,6,8,2,4
ENSG00000196139,121,93,88,159,111,136,158,112
ENSG00000122787,0,3,0,2,0,1,5,0
ENSG00000142208,1931,3269,3105,2885,2074,2868,1990,2424
ENSG00000105221,6,42,30,34,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,15,10,9,9,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,2,3,0,3,2,3,0,3
ENSG00000159423,70,59,64,62,42,47,48,51
ENSG00000164904,0,1,1,0,1,0,0,0
ENSG00000143149,59,94,95,52,39,50,42,45
ENSG00000149925,1602,1871,1901,1921,1477,2045,1145,1703
ENSG00000109107,15,14,5,9,7,7,4,9
ENSG00000253710,42,60,55,56,19,49,35,33
ENSG00000159063,5,2,4,2,3,4,2,4
ENSG00000162551,0,0,0,0,0,0,2,0
ENSG00000123505,132,140,141,207,99,170,100,138
ENSG00000162066,127,178,167,185,73,160,102,131
ENSG00000144233,52,90,95,85,49,64,58,78
ENSG00000243480,2,4,4,5,1,3,2,4
ENSG00000214174,3,9,6,2,7,17,10,8
ENSG00000153107,57,96,95,113,52,99,47,92
ENSG00000141552,47,41,32,50,11,30,13,20
ENSG00000089053,843,1267,1261,1380,820,1147,788,912
ENSG00000088448,291,700,640,744,442,576,386,556
ENSG00000132466,10,17,19,9,8,5,7,5
ENSG00000215559,0,2,7,3,2,5,2,8
ENSG00000251056,13,41,40,41,22,36,27,23
ENSG00000206192,0,1,0,0,0,0,2,0
ENSG00000105186,118,193,173,202,118,174,88,116
ENSG00000196912,9,46,30,26,7,18,16,14
ENSG00000160746,88,86,104,150,59,82,44,76
ENSG00000164111,452,506,568,845,442,636,404,602
ENSG00000138279,240,197,222,216,145,152,153,172
ENSG00000166747,113,134,139,107,64,110,107,70
ENSG00000106367,1102,1057,993,966,507,714,582,571
ENSG00000183020,13,16,9,9,12,8,11,7
ENSG00000161203,18,15,27,18,5,13,14,11
ENSG00000132842,150,143,132,141,97,107,103,94
ENSG00000221838,36,32,48,53,22,40,32,25
ENSG00000011132,19,11,16,14,10,20,9,17
ENSG00000163697,205,138,167,198,143,186,161,177
ENSG00000171388,0,0,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,0,1,1,1
ENSG00000239713,0,0,0,1,0,1,1,0
ENSG00000110245,0,0,2,0,0,0,0,0
ENSG00000189058,34,39,49,46,85,80,71,69
ENSG00000130203,0,0,0,0,0,2,1,0
ENSG00000184831,55,60,52,78,34,44,23,30
ENSG00000256053,271,411,407,522,292,447,247,383
ENSG00000142192,236,379,350,266,234,432,210,362
ENSG00000062725,2139,2860,2834,3188,2002,2996,2263,2718
ENSG00000157500,0,4,5,4,1,2,4,8
ENSG00000165272,22,5,7,1,8,12,18,9
ENSG00000086159,0,0,0,0,0,1,0,0
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000109321,141,120,146,204,40,51,28,32
ENSG00000143761,81,27,42,66,31,74,52,44
ENSG00000004059,28,15,12,20,10,20,12,16
ENSG00000101199,114,138,139,185,122,165,128,142
ENSG00000242247,45,43,40,60,25,50,30,33
ENSG00000124198,202,242,243,286,123,227,165,165
ENSG00000132254,49,68,78,123,52,91,53,71
ENSG00000134884,217,216,303,328,252,282,208,265
ENSG00000175220,23,17,24,17,18,26,22,22
ENSG00000147256,2,1,3,2,0,0,0,0
ENSG00000196914,186,314,254,284,205,317,206,273
ENSG00000116584,36,44,20,45,26,24,19,21
ENSG00000129675,1,0,0,0,0,0,0,0
ENSG00000131089,49,115,70,86,44,53,49,66
ENSG00000054267,231,424,364,394,175,285,224,272
ENSG00000182196,251,448,385,527,290,466,254,370
ENSG00000144746,189,196,209,212,101,135,102,117
ENSG00000241553,41,34,17,41,6,23,20,11
ENSG00000162704,64,22,29,50,42,60,46,50
ENSG00000136950,230,317,295,329,185,212,155,199
ENSG00000128989,279,153,186,303,188,220,225,232
ENSG00000157399,0,0,0,0,0,0,0,0
ENSG00000104763,17,33,34,18,33,33,26,36
ENSG00000102048,20,21,24,35,20,31,20,22
ENSG00000112249,129,214,224,247,153,201,156,180
ENSG00000198356,97,120,90,155,76,115,63,87
ENSG00000066279,7,6,4,3,1,3,0,0
ENSG00000106819,0,0,1,0,2,2,1,2
ENSG00000123268,2,6,7,1,4,7,1,9
ENSG00000162772,11,4,9,10,4,7,7,13
ENSG00000169136,147,140,144,159,78,89,64,94
ENSG00000118217,47,50,47,83,47,58,31,58
ENSG00000213676,168,185,245,358,159,194,137,179
ENSG00000144848,137,125,150,192,137,188,148,173
ENSG00000138363,143,176,160,166,107,104,95,96
ENSG00000166454,118,135,164,104,137,158,113,139
ENSG00000145246,0,0,0,0,0,0,0,0
ENSG00000058063,84,161,132,133,73,91,63,93
ENSG00000143153,229,377,316,400,255,384,228,298
ENSG00000017260,215,335,280,244,114,244,182,159
ENSG00000165629,2746,3491,3277,3929,2075,2860,1706,2449
ENSG00000099624,154,83,114,132,40,63,61,51
ENSG00000135390,1178,794,863,1073,676,986,646,857
ENSG00000154518,324,340,415,437,223,241,182,223
ENSG00000167863,1321,986,1100,1542,969,1311,850,1100
ENSG00000169020,1152,1164,1269,1552,1077,1396,858,1163
ENSG00000241468,436,157,171,221,131,199,219,172
ENSG00000106246,6,7,10,10,12,8,3,2
ENSG00000241837,791,713,769,995,420,660,417,620
ENSG00000125375,32,30,38,33,17,30,19,21
ENSG00000033627,8,4,3,7,7,2,2,4
ENSG00000117410,15,15,19,11,8,10,10,10
ENSG00000185883,346,161,177,312,271,343,318,264
ENSG00000159720,777,1054,1039,1352,820,1106,645,919
ENSG00000100554,323,498,495,425,319,471,273,425
ENSG00000066427,148,204,179,211,120,172,122,165
ENSG00000087586,52,52,60,60,12,18,16,14
ENSG00000178999,55,54,50,93,21,16,15,18
ENSG00000155096,73,93,108,115,47,98,63,86
ENSG00000166710,285,249,295,435,295,354,168,288
ENSG00000183778,32,35,24,29,33,43,48,25
ENSG00000109956,0,0,0,0,0,0,0,0
ENSG00000174684,0,0,0,0,0,0,0,0
ENSG00000086062,6,5,2,4,4,3,2,4
ENSG00000158470,7,6,7,10,6,5,5,4
ENSG00000027847,100,156,118,131,84,91,68,85
ENSG00000136881,0,6,4,2,2,2,1,5
ENSG00000186318,47,78,33,59,34,43,28,36
ENSG00000182240,8,6,13,12,9,8,8,3
ENSG00000002330,8,6,3,2,2,2,6,0
ENSG00000151929,219,217,229,286,204,258,211,274
ENSG00000204463,309,284,268,361,205,322,226,257
ENSG00000030110,1,6,4,4,6,9,8,6
ENSG00000095739,1279,1247,1330,1711,1120,1509,1147,1407
ENSG00000175334,153,111,103,147,113,143,74,93
ENSG00000105327,507,541,532,786,479,831,515,715
ENSG00000185825,440,490,462,543,277,382,259,317
ENSG00000105552,17,13,14,19,15,17,11,10
ENSG00000127152,12,36,20,31,15,16,20,19
ENSG00000171791,12,26,29,18,8,19,14,11
ENSG00000171552,593,1122,1049,909,635,985,684,824
ENSG00000153094,308,432,415,462,300,410,289,391
ENSG00000099968,128,182,176,196,123,202,148,158
ENSG00000129473,59,69,60,73,45,45,37,53
ENSG00000258643,28,62,50,25,26,33,28,23
ENSG00000069399,205,221,186,236,135,233,200,196
