Geneid,SRR21043442,SRR21043524,SRR21043681,SRR21043882,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,1,0,0,3,0,0
ENSG00000127837,196,118,176,156,110,122,128,157
ENSG00000090861,288,245,326,335,167,265,185,246
ENSG00000275700,36,41,49,46,23,29,30,23
ENSG00000085563,4,10,7,2,6,8,3,3
ENSG00000023839,59,36,62,48,44,47,38,58
ENSG00000114770,601,610,576,579,361,546,408,498
ENSG00000164163,42,39,47,31,23,61,28,41
ENSG00000204574,335,251,386,332,241,325,233,283
ENSG00000161204,16,14,19,20,12,11,8,5
ENSG00000160179,4,2,5,4,1,4,6,1
ENSG00000108846,17,12,17,18,10,17,7,17
ENSG00000118777,236,153,181,187,120,202,131,170
ENSG00000163686,11,15,15,18,13,4,7,13
ENSG00000097007,14,10,9,15,10,13,9,8
ENSG00000115361,0,1,1,1,0,0,0,1
ENSG00000120437,86,46,94,67,44,60,29,32
ENSG00000182827,104,89,89,79,65,85,52,75
ENSG00000102977,17,16,17,11,8,11,7,14
ENSG00000159640,5,5,10,3,3,8,6,7
ENSG00000087085,45,17,34,29,22,18,23,21
ENSG00000131473,178,137,166,134,144,137,141,135
ENSG00000123130,5,3,2,3,0,4,1,1
ENSG00000151726,106,77,109,95,74,121,65,70
ENSG00000075624,931,556,783,710,657,858,808,759
ENSG00000266920,1,0,0,1,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,235,172,214,213,164,203,171,196
ENSG00000137845,148,202,193,214,205,212,140,226
ENSG00000114948,1,1,1,2,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,361,365,318,305,257,338,267,329
ENSG00000065457,11,12,12,9,8,7,13,12
ENSG00000163050,39,26,50,32,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,9,6,7,8,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,218,152,218,180,142,200,166,176
ENSG00000156110,463,468,482,488,317,449,317,428
ENSG00000148926,23,13,15,4,8,17,13,7
ENSG00000181915,156,128,168,137,116,172,97,126
ENSG00000163485,4,1,12,6,1,2,4,3
ENSG00000128271,3,1,0,0,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,1,0,0,2,1,2,3,2
ENSG00000173020,90,69,59,86,45,52,52,62
ENSG00000239900,1,1,2,3,0,1,2,0
ENSG00000169129,1,6,4,3,3,6,2,3
ENSG00000183077,24,27,37,22,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
