Geneid,SRR21043229,SRR21043311,SRR21043386,SRR21043937,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,2,0,0,0,3,0,0
ENSG00000127837,170,121,266,228,110,122,128,157
ENSG00000090861,348,284,331,356,167,265,185,246
ENSG00000275700,56,39,44,59,23,29,30,23
ENSG00000085563,2,3,1,1,6,8,3,3
ENSG00000023839,60,42,65,48,44,47,38,58
ENSG00000114770,570,450,508,620,361,546,408,498
ENSG00000164163,35,54,57,40,23,61,28,41
ENSG00000204574,355,344,439,402,241,325,233,283
ENSG00000161204,18,8,13,15,12,11,8,5
ENSG00000160179,0,4,0,2,1,4,6,1
ENSG00000108846,10,12,14,12,10,17,7,17
ENSG00000118777,223,165,212,239,120,202,131,170
ENSG00000163686,10,4,13,10,13,4,7,13
ENSG00000097007,18,17,16,17,10,13,9,8
ENSG00000115361,1,0,0,0,0,0,0,1
ENSG00000120437,69,62,103,89,44,60,29,32
ENSG00000182827,105,73,128,126,65,85,52,75
ENSG00000102977,24,14,17,10,8,11,7,14
ENSG00000159640,2,2,10,6,3,8,6,7
ENSG00000087085,25,21,27,23,22,18,23,21
ENSG00000131473,149,128,181,166,144,137,141,135
ENSG00000123130,4,6,5,3,0,4,1,1
ENSG00000151726,67,98,123,95,74,121,65,70
ENSG00000075624,607,691,887,857,657,858,808,759
ENSG00000266920,0,0,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,197,164,292,218,164,203,171,196
ENSG00000137845,158,199,159,238,205,212,140,226
ENSG00000114948,0,2,3,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,366,290,384,377,257,338,267,329
ENSG00000065457,13,21,11,13,8,7,13,12
ENSG00000163050,42,34,38,52,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,11,7,9,9,2,4,8,7
ENSG00000187758,0,0,1,0,0,0,0,0
ENSG00000182551,160,200,269,210,142,200,166,176
ENSG00000156110,520,466,506,548,317,449,317,428
ENSG00000148926,15,20,23,33,8,17,13,7
ENSG00000181915,139,146,185,182,116,172,97,126
ENSG00000163485,18,13,18,14,1,2,4,3
ENSG00000128271,2,1,1,5,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,1,0,0,1,2,3,2
ENSG00000173020,74,66,109,90,45,52,52,62
ENSG00000239900,0,0,0,2,0,1,2,0
ENSG00000169129,2,6,10,6,3,6,2,3
ENSG00000183077,34,27,44,36,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,43,32,63,58,26,41,35,47
ENSG00000169692,109,84,135,129,77,95,72,90
ENSG00000138678,14,4,10,21,14,17,7,12
ENSG00000188157,940,980,965,1001,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,24,38,30,42,32,34,21,28
ENSG00000156709,236,196,273,252,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,46,35,63,61,28,40,32,38
ENSG00000105127,255,229,324,314,196,304,181,232
ENSG00000011243,24,18,27,23,8,24,12,14
ENSG00000085662,3,0,5,3,0,0,1,0
ENSG00000187134,4,7,4,8,6,8,2,4
ENSG00000196139,99,116,159,136,111,136,158,112
ENSG00000122787,0,0,1,2,0,1,5,0
ENSG00000142208,2605,2222,2914,2886,2074,2868,1990,2424
ENSG00000105221,38,22,15,26,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,7,12,16,21,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,4,6,1,4,2,3,0,3
ENSG00000159423,43,37,65,65,42,47,48,51
ENSG00000164904,2,1,1,5,1,0,0,0
ENSG00000143149,68,67,69,68,39,50,42,45
ENSG00000149925,1785,1788,1927,1929,1477,2045,1145,1703
ENSG00000109107,9,9,9,13,7,7,4,9
ENSG00000253710,58,40,67,80,19,49,35,33
ENSG00000159063,7,4,7,5,3,4,2,4
ENSG00000162551,1,0,0,1,0,0,2,0
ENSG00000123505,136,133,193,169,99,170,100,138
ENSG00000162066,165,127,135,143,73,160,102,131
ENSG00000144233,97,75,96,86,49,64,58,78
ENSG00000243480,0,0,5,2,1,3,2,4
ENSG00000214174,2,6,7,2,7,17,10,8
ENSG00000153107,103,89,91,130,52,99,47,92
ENSG00000141552,33,37,56,53,11,30,13,20
ENSG00000089053,1157,973,1438,1287,820,1147,788,912
ENSG00000088448,585,524,657,589,442,576,386,556
ENSG00000132466,18,17,19,14,8,5,7,5
ENSG00000215559,7,9,3,8,2,5,2,8
ENSG00000251056,38,36,29,52,22,36,27,23
ENSG00000206192,0,0,1,1,0,0,2,0
ENSG00000105186,163,148,160,173,118,174,88,116
ENSG00000196912,16,21,14,36,7,18,16,14
ENSG00000160746,84,97,118,113,59,82,44,76
ENSG00000164111,521,489,700,669,442,636,404,602
ENSG00000138279,194,190,260,224,145,152,153,172
ENSG00000166747,160,122,156,163,64,110,107,70
ENSG00000106367,857,801,1279,1078,507,714,582,571
ENSG00000183020,17,6,14,17,12,8,11,7
ENSG00000161203,20,7,15,16,5,13,14,11
ENSG00000132842,139,114,231,188,97,107,103,94
ENSG00000221838,29,28,54,69,22,40,32,25
ENSG00000011132,6,11,11,13,10,20,9,17
ENSG00000163697,155,124,162,208,143,186,161,177
