"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",6.61548487571688e-108,2.66374192175508
"TFF1","ENSG00000160182",3.83888330067634e-66,1.93334644857286
"CALCR","ENSG00000004948",1.53787376875868e-28,1.5646497556824
"PRR11","ENSG00000068489",1.1122668822211e-27,1.38754060933235
"NPY1R","ENSG00000164128",3.21260372829611e-25,0.969614545924568
"CELSR2","ENSG00000143126",3.7986188328121e-25,1.17577584039728
"TPD52L1","ENSG00000111907",4.70171184849626e-25,1.00796186919433
"KRT81","ENSG00000205426",4.70171184849626e-25,-1.07045189529119
"KRT15","ENSG00000171346",1.4671268123333e-21,1.65768530966131
"ARHGAP11A","ENSG00000198826",1.62433759816451e-21,1.47635206976363
"LMBR1","ENSG00000105983",8.59744071101122e-21,1.21091680176824
"TMED8","ENSG00000100580",4.09022229830599e-20,1.45030108379587
"SFXN2","ENSG00000156398",6.9532110317376e-20,2.48184311355005
"RET","ENSG00000165731",2.33264327472276e-19,2.0380690673991
"CDK1","ENSG00000170312",3.4429943733617e-19,1.54355014057114
"TST","ENSG00000128311",8.37227663284093e-19,1.1411135142639
"ASCL1","ENSG00000139352",1.13727080713841e-18,1.39401383874196
"FAM107B","ENSG00000065809",9.968654934177e-18,-1.01564403413011
"XBP1","ENSG00000100219",3.01607107321744e-17,1.23789072316276
"KYNU","ENSG00000115919",3.01607107321744e-17,-0.760257046477409
"SDK2","ENSG00000069188",1.41793574855705e-16,2.62985959486968
"HMGB2","ENSG00000164104",1.0517228868786e-15,1.19462012168423
"AGR2","ENSG00000106541",1.39584908486376e-15,1.02529987506829
"MYB","ENSG00000118513",2.00549832092261e-15,1.18464965695482
"CLIP4","ENSG00000115295",4.67407996767322e-15,-1.40780483385618
"POGLUT3","ENSG00000178202",6.19665111971415e-15,-1.33643977886328
"PGR","ENSG00000082175",1.12744321581396e-14,1.91999442670833
"TBC1D9","ENSG00000109436",2.22113744556782e-14,-0.832579965501846
"OTUD1","ENSG00000165312",3.85106374677898e-14,-0.888353204848435
"LACTB","ENSG00000103642",1.60618540093729e-13,-0.682286732954452
"ABHD2","ENSG00000140526",2.90161889606227e-13,0.990898194030113
"RPS4X","ENSG00000198034",3.64510876205477e-13,0.799652974534899
"ZNF703","ENSG00000183779",3.80792723287638e-13,0.978564707466122
"KIF11","ENSG00000138160",4.09815824743297e-13,1.44421272188969
"TMEM164","ENSG00000157600",5.01201510946663e-13,2.0916787015103
"CENPI","ENSG00000102384",7.38110325394974e-13,1.44137515133846
"HMMR","ENSG00000072571",8.39898782151333e-13,1.18497999742855
"ID2","ENSG00000115738",8.39898782151333e-13,-0.916311821499653
"NUSAP1","ENSG00000137804",2.18857360252292e-12,1.45676844167713
"H4C1","ENSG00000278637",2.28861316779531e-12,1.18948357259901
"PRC1","ENSG00000198901",2.49650329304701e-12,1.51748987985139
"ARL3","ENSG00000138175",7.06446415649826e-12,0.723933950117965
"H3C7","ENSG00000277775",9.00807786987371e-12,1.50567852287629
"TUBA1B","ENSG00000123416",1.06694836186954e-11,0.884104155369427
"BCAS1","ENSG00000064787",1.11975752296323e-11,-1.42154369562004
"PREX1","ENSG00000124126",1.20150320123567e-11,1.0082655826914
"PSCA","ENSG00000167653",1.36826589382544e-11,-1.14353912934487
"GRHL3","ENSG00000158055",1.58800324986563e-11,-1.18300511841946
"CD24","ENSG00000272398",1.64603374669707e-11,-0.89349003072831
"YPEL3","ENSG00000090238",1.75173844361476e-11,-0.711500560809947
"H1-5","ENSG00000184357",2.02866361600275e-11,1.40497368790386
"COL12A1","ENSG00000111799",2.35242722210059e-11,0.932639321045624
"CCNB1","ENSG00000134057",4.46101106359778e-11,1.21914524020251
"KIF14","ENSG00000118193",4.46101106359778e-11,1.65629159862696
"CBX6","ENSG00000183741",5.14192308483248e-11,-0.700592483282576
"MKI67","ENSG00000148773",6.41609840808045e-11,1.31812214374155
"RAPGEFL1","ENSG00000108352",7.12801606346913e-11,1.31858897719731
"MUC5B","ENSG00000117983",9.48080779549447e-11,1.1460534564991
"NRIP1","ENSG00000180530",1.94214395902553e-10,0.695099366950062
"TPBG","ENSG00000146242",6.08151912385521e-10,0.523304836451459
"PPM1K","ENSG00000163644",7.81620783132094e-10,0.806476181840151
"KAT2B","ENSG00000114166",9.00367775758109e-10,-0.911925503528364
"EPS15L1","ENSG00000127527",9.72896097205956e-10,0.786315695336622
"ZNF354A","ENSG00000169131",1.03178150437989e-09,-0.769504934926779
"GPSM2","ENSG00000121957",1.09241253071439e-09,0.846014191458659
"CEP55","ENSG00000138180",1.09241253071439e-09,1.62678361502182
"ST8SIA4","ENSG00000113532",1.13726885786543e-09,-0.883846191262873
"TMEM64","ENSG00000180694",1.34301968858395e-09,1.14618918744252
"LGALS3","ENSG00000131981",1.54148961257988e-09,-0.729019151538143
"FREM2","ENSG00000150893",1.67070457947825e-09,0.764723266172873
"TOP2A","ENSG00000131747",1.8320696017105e-09,1.94068246511487
"KIF20A","ENSG00000112984",2.16309513525813e-09,1.92112970483344
"NPNT","ENSG00000168743",2.16309513525813e-09,-0.737421450463171
"APOD","ENSG00000189058",2.24574810451245e-09,-1.4384248368886
"CENPK","ENSG00000123219",2.41106202193412e-09,1.06664654640572
"KITLG","ENSG00000049130",3.14563999261655e-09,-0.580910894976648
"KIF23","ENSG00000137807",3.22830709986425e-09,1.11696244636144
"SALL4","ENSG00000101115",3.22830709986425e-09,-0.946612113373491
"CTSA","ENSG00000064601",3.99429242949186e-09,-0.529529898446625
"NQO1","ENSG00000181019",4.41174234036894e-09,-0.491935276476534
"KIAA0513","ENSG00000135709",4.86636411419587e-09,-0.749400743902734
"RPL7A","ENSG00000148303",6.60538979440861e-09,0.824934892415564
"RPS15","ENSG00000115268",7.7082550654774e-09,0.611926132862779
"RPL6","ENSG00000089009",1.45894576507854e-08,0.675510194241602
"IQGAP3","ENSG00000183856",1.8759193174134e-08,1.85767874542778
"ABAT","ENSG00000183044",2.11522524879199e-08,0.935369149099382
"LMAN2","ENSG00000169223",2.29444808684546e-08,0.627522411320705
"KIF2C","ENSG00000142945",2.39417924509477e-08,1.64687662986769
"ZFP36L2","ENSG00000152518",2.49715949957667e-08,-0.946372457790695
"DYNLT3","ENSG00000165169",2.7732314489532e-08,0.659268090615603
"SLC19A2","ENSG00000117479",2.79368814462494e-08,0.851666397855968
"NOS1AP","ENSG00000198929",3.37496969330284e-08,0.843191423974764
"DEPTOR","ENSG00000155792",3.67589826352607e-08,0.849940793843969
"CCNB2","ENSG00000157456",4.03970051098555e-08,1.29036652758839
"IGFBP4","ENSG00000141753",4.28733234439039e-08,1.54264504586352
"CETN2","ENSG00000147400",4.57892018152094e-08,0.652463837932762
"DLGAP5","ENSG00000126787",5.1557083845551e-08,1.42545195125717
"ARLN","ENSG00000164096",6.09478122759718e-08,-0.804952887280491
"TACC3","ENSG00000013810",6.20408208578657e-08,1.3890032128481
"SCUBE2","ENSG00000175356",6.37790758659731e-08,0.831468569264192
"ANXA2","ENSG00000182718",7.47499391937762e-08,-0.477614289896698
"TYMS","ENSG00000176890",7.84360611673759e-08,0.761627752601396
"TENT5C","ENSG00000183508",8.87695823577083e-08,0.787353003747635
"CTNND2","ENSG00000169862",8.93571934378542e-08,-0.670811221701219
"NMD3","ENSG00000169251",8.93571934378542e-08,0.434041906141595
"ID1","ENSG00000125968",1.01303337307507e-07,-0.708207550977096
"UBAP2L","ENSG00000143569",1.19075520309485e-07,-0.642975540425701
"KNSTRN","ENSG00000128944",1.21550147177419e-07,1.33888089433218
"RPL12","ENSG00000197958",1.2903874829504e-07,0.708658932913236
"PDZK1","ENSG00000174827",1.34721369311213e-07,2.08860086678898
"SLC7A5","ENSG00000103257",1.39987263652758e-07,0.58124729030922
"CBX4","ENSG00000141582",1.43360295167216e-07,-0.490111689909499
"HM13","ENSG00000101294",1.6846403590447e-07,-0.787741143803844
"RPL9","ENSG00000163682",1.75528675420265e-07,0.602269422654516
"PIGP","ENSG00000185808",2.01093348573043e-07,-1.10717590684703
"H2AC14","ENSG00000276368",2.24374564831057e-07,0.892381928185206
"HIF1A","ENSG00000100644",2.24431903225571e-07,0.847367267970832
"PPIAL4A","ENSG00000263353",2.2547905651987e-07,-0.625295365853557
"LMCD1","ENSG00000071282",2.29431486704586e-07,0.801569678878716
"NCAPG","ENSG00000109805",2.48391979363187e-07,1.50816066721169
"IL1R1","ENSG00000115594",2.57441578691936e-07,-1.19617980916473
"BRD2","ENSG00000204256",2.87119235682814e-07,-0.730423730445124
"TIPARP","ENSG00000163659",3.15589023910615e-07,0.681872344595292
"TMEM120B","ENSG00000188735",3.25014449033781e-07,1.31286064121665
"CLMN","ENSG00000165959",3.28494459558378e-07,-0.834558096080622
"ATOSA","ENSG00000047346",3.28508405613533e-07,-0.429697677027962
"RELL1","ENSG00000181826",4.10375938829546e-07,-0.638268392957789
"AGR3","ENSG00000173467",4.59090676949031e-07,1.57100532879924
"ZFAND3","ENSG00000156639",4.68732213571296e-07,-0.602107576571031
"DOK7","ENSG00000175920",4.85501934965698e-07,1.0831927888236
"WAC","ENSG00000095787",4.93098335465495e-07,-0.610284887267198
"L1CAM","ENSG00000198910",4.9380846258328e-07,-0.524335654643272
"PLEKHF2","ENSG00000175895",5.054691227174e-07,-0.50659162418577
"UBL5","ENSG00000198258",5.71590191346482e-07,0.562710874667727
"DEPDC1","ENSG00000024526",5.88574046482919e-07,1.5860885796724
"TRIB3","ENSG00000101255",6.38336783255615e-07,-0.540744558518211
"KRT80","ENSG00000167767",6.45576730160356e-07,-0.510887357361375
"SPC24","ENSG00000161888",6.85156282011541e-07,2.10142006326689
"CENPN","ENSG00000166451",7.13233777641419e-07,0.807224051483028
"CDT1","ENSG00000167513",7.51262201336043e-07,1.19357003231776
"LMNB1","ENSG00000113368",8.18585523299204e-07,1.04806782800264
"PPP1R21","ENSG00000162869",8.96102718653407e-07,-0.769123163736063
"FOXP2","ENSG00000128573",9.04199254449152e-07,-0.600749282551333
"SFXN3","ENSG00000107819",9.8305742748495e-07,1.52531589069059
"AREG","ENSG00000109321",9.96388973467798e-07,1.11433751415751
"CA12","ENSG00000074410",1.00364532900924e-06,0.577414949398358
"JUN","ENSG00000177606",1.00364532900924e-06,-0.938771244089063
"ZWILCH","ENSG00000174442",1.07560251756307e-06,1.006633673319
"UBP1","ENSG00000153560",1.26692036301449e-06,-0.548792114070093
"STARD10","ENSG00000214530",1.30982953922238e-06,0.508228909543611
"DHRS4L2","ENSG00000187630",1.44916642754895e-06,0.677490109187194
"SYTL2","ENSG00000137501",1.44916642754895e-06,-0.585688400644556
"PDIA6","ENSG00000143870",1.51117408568133e-06,0.515942270437281
"RPL18A","ENSG00000105640",1.52022515783803e-06,0.821137840204163
"BBC3","ENSG00000105327",1.75773250326101e-06,-0.502328147302724
"SQSTM1","ENSG00000161011",1.79241896016059e-06,-0.50475346247761
"FUBP1","ENSG00000162613",1.91654082551332e-06,0.607466776432723
"TPX2","ENSG00000088325",2.0665455884972e-06,1.78174999247197
"CSTB","ENSG00000160213",2.3821768036432e-06,-0.537874498358401
"FMN1","ENSG00000248905",2.41318983386727e-06,0.493355748661151
"COL21A1","ENSG00000124749",2.41928843011129e-06,2.29583641254087
"NUDT4","ENSG00000173598",2.50321145104944e-06,-0.828437711890576
"CLDN4","ENSG00000189143",2.83928359656753e-06,-0.41338831800472
"UGT1A10","ENSG00000242515",2.94309555405224e-06,-1.44440929995072
"COBLL1","ENSG00000082438",2.94691093093762e-06,-0.562998564541163
"VPS54","ENSG00000143952",3.05712816931139e-06,-0.551247510882364
"ENSG00000274267","ENSG00000274267",3.21583934430173e-06,1.76506234304313
"OCLN","ENSG00000197822",3.26146838277504e-06,-0.612647979614629
"FAM72A","ENSG00000196550",3.26438147377014e-06,1.21052230268939
"SPART","ENSG00000133104",3.33074647369065e-06,-0.549825538804313
"TLE1","ENSG00000196781",3.45974390144098e-06,-0.801607739638077
"RAB11FIP3","ENSG00000090565",3.4837539913512e-06,0.963140469208649
"ELOVL7","ENSG00000164181",3.60767868320854e-06,-0.539815497107156
"KPNA2","ENSG00000182481",3.70962887168426e-06,0.452387284887787
"CA5B","ENSG00000169239",3.78631368551914e-06,-0.804014956506878
"SYCP2","ENSG00000196074",3.85234768262275e-06,-0.717587681295896
"PPP1R15B","ENSG00000158615",4.34278229732259e-06,-0.507597625570272
"IMPDH2","ENSG00000178035",4.37882046692268e-06,0.692445245117581
"TACSTD2","ENSG00000184292",5.23640097742112e-06,-0.419371896962242
"RRM2","ENSG00000171848",5.2981927017868e-06,1.26352108984839
"ARID5B","ENSG00000150347",5.54011103581167e-06,-0.48042077961473
"NULL","",6.04376775115063e-06,-0.512889916862357
"ATP9A","ENSG00000054793",6.46200853772943e-06,-0.406820357690843
"HBEGF","ENSG00000113070",6.55142743602294e-06,-0.946519271958951
"MBNL2","ENSG00000139793",7.38564074400842e-06,-0.616652887357544
"ULK1","ENSG00000177169",7.57214999372777e-06,0.69664124764415
"NXNL2","ENSG00000130045",8.13825506063807e-06,1.42075740972082
"DHCR7","ENSG00000172893",8.44634761180952e-06,0.376086389724853
"FAM111B","ENSG00000189057",9.34884131697981e-06,1.55124761259659
"DDX39B","ENSG00000198563",9.67170267331464e-06,0.704586760546563
"CD2AP","ENSG00000198087",1.00274190809171e-05,-1.06734378718403
"EIF4A1","ENSG00000161960",1.01852926522904e-05,0.449096373502528
"CCNA2","ENSG00000145386",1.05105758963866e-05,1.32898377231305
"CCT4","ENSG00000115484",1.06850720202751e-05,0.584199104664432
"MRPL45","ENSG00000278845",1.09262285729053e-05,-0.66927326151228
"SYTL4","ENSG00000102362",1.13452540886385e-05,1.35419544460138
"MYBL1","ENSG00000185697",1.14273947790574e-05,1.20302520551118
