Geneid,SRR21043378,SRR21043732,SRR21043780,SRR21043866,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,1,0,0,0,0,3,0,0
ENSG00000127837,189,189,133,121,110,122,128,157
ENSG00000090861,478,585,426,451,167,265,185,246
ENSG00000275700,36,39,21,34,23,29,30,23
ENSG00000085563,1,0,0,1,6,8,3,3
ENSG00000023839,16,20,13,14,44,47,38,58
ENSG00000114770,129,156,125,143,361,546,408,498
ENSG00000164163,62,71,62,68,23,61,28,41
ENSG00000204574,419,409,372,314,241,325,233,283
ENSG00000161204,6,6,9,12,12,11,8,5
ENSG00000160179,2,4,6,12,1,4,6,1
ENSG00000108846,63,54,47,58,10,17,7,17
ENSG00000118777,74,67,49,56,120,202,131,170
ENSG00000163686,20,9,16,11,13,4,7,13
ENSG00000097007,14,12,13,10,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,58,44,25,38,44,60,29,32
ENSG00000182827,174,184,172,158,65,85,52,75
ENSG00000102977,22,15,8,10,8,11,7,14
ENSG00000159640,3,10,5,5,3,8,6,7
ENSG00000087085,24,33,25,22,22,18,23,21
ENSG00000131473,68,74,100,55,144,137,141,135
ENSG00000123130,2,3,0,3,0,4,1,1
ENSG00000151726,194,133,165,176,74,121,65,70
ENSG00000075624,898,704,585,631,657,858,808,759
ENSG00000266920,0,0,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,252,237,196,186,164,203,171,196
ENSG00000137845,168,274,145,187,205,212,140,226
ENSG00000114948,1,0,2,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,93,165,129,135,257,338,267,329
ENSG00000065457,12,16,11,9,8,7,13,12
ENSG00000163050,9,16,15,14,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,3,12,6,4,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,82,54,96,65,142,200,166,176
ENSG00000156110,459,472,387,441,317,449,317,428
ENSG00000148926,6,12,11,9,8,17,13,7
ENSG00000181915,153,216,195,143,116,172,97,126
ENSG00000163485,4,2,0,1,1,2,4,3
ENSG00000128271,2,1,1,5,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,0,0,0,1,2,3,2
ENSG00000173020,55,67,75,75,45,52,52,62
ENSG00000239900,0,0,2,1,0,1,2,0
ENSG00000169129,0,0,0,0,3,6,2,3
ENSG00000183077,35,33,17,30,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,41,33,26,23,26,41,35,47
ENSG00000169692,64,95,58,71,77,95,72,90
ENSG00000138678,14,12,23,7,14,17,7,12
ENSG00000188157,802,1047,1055,745,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,47,39,61,33,32,34,21,28
ENSG00000156709,191,207,139,134,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,51,56,26,57,28,40,32,38
ENSG00000105127,180,225,111,148,196,304,181,232
ENSG00000011243,16,17,19,11,8,24,12,14
ENSG00000085662,0,1,1,0,0,0,1,0
ENSG00000187134,38,28,75,22,6,8,2,4
ENSG00000196139,271,219,285,253,111,136,158,112
ENSG00000122787,0,0,1,0,0,1,5,0
ENSG00000142208,1282,1483,1064,1231,2074,2868,1990,2424
ENSG00000105221,27,40,28,19,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,8,10,8,5,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,1,7,5,5,2,3,0,3
ENSG00000159423,19,17,15,18,42,47,48,51
ENSG00000164904,1,0,0,0,1,0,0,0
ENSG00000143149,31,29,25,28,39,50,42,45
ENSG00000149925,1986,1898,1522,1611,1477,2045,1145,1703
ENSG00000109107,5,6,5,5,7,7,4,9
ENSG00000253710,50,64,43,61,19,49,35,33
ENSG00000159063,2,2,0,1,3,4,2,4
ENSG00000162551,1,0,0,0,0,0,2,0
ENSG00000123505,318,260,287,249,99,170,100,138
ENSG00000162066,146,156,163,126,73,160,102,131
ENSG00000144233,70,68,46,50,49,64,58,78
ENSG00000243480,2,1,0,3,1,3,2,4
ENSG00000214174,7,6,3,3,7,17,10,8
ENSG00000153107,98,96,92,71,52,99,47,92
ENSG00000141552,34,25,29,26,11,30,13,20
ENSG00000089053,821,903,637,619,820,1147,788,912
ENSG00000088448,409,467,429,397,442,576,386,556
ENSG00000132466,18,12,7,19,8,5,7,5
ENSG00000215559,0,3,1,0,2,5,2,8
ENSG00000251056,15,23,25,16,22,36,27,23
ENSG00000206192,2,0,0,0,0,0,2,0
ENSG00000105186,157,168,148,145,118,174,88,116
ENSG00000196912,7,4,8,7,7,18,16,14
ENSG00000160746,87,98,83,60,59,82,44,76
ENSG00000164111,907,848,736,607,442,636,404,602
ENSG00000138279,197,199,195,187,145,152,153,172
ENSG00000166747,102,118,81,95,64,110,107,70
ENSG00000106367,481,615,458,473,507,714,582,571
ENSG00000183020,16,13,3,3,12,8,11,7
ENSG00000161203,8,10,7,7,5,13,14,11
ENSG00000132842,107,106,55,78,97,107,103,94
ENSG00000221838,47,44,29,35,22,40,32,25
ENSG00000011132,9,13,7,6,10,20,9,17
ENSG00000163697,82,65,66,55,143,186,161,177
ENSG00000171388,0,0,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,0,1,1,1
ENSG00000239713,0,0,0,0,0,1,1,0
ENSG00000110245,0,0,0,0,0,0,0,0
ENSG00000189058,11,16,12,9,85,80,71,69
ENSG00000130203,1,0,0,1,0,2,1,0
ENSG00000184831,74,54,35,44,34,44,23,30
ENSG00000256053,480,442,347,330,292,447,247,383
ENSG00000142192,275,379,294,361,234,432,210,362
ENSG00000062725,2630,2524,2009,2107,2002,2996,2263,2718
ENSG00000157500,4,3,3,4,1,2,4,8
ENSG00000165272,17,10,17,7,8,12,18,9
ENSG00000086159,0,0,0,0,0,1,0,0
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000109321,269,227,214,172,40,51,28,32
ENSG00000143761,70,35,48,38,31,74,52,44
ENSG00000004059,19,13,18,14,10,20,12,16
ENSG00000101199,160,146,139,149,122,165,128,142
ENSG00000242247,65,68,81,68,25,50,30,33
ENSG00000124198,214,244,196,195,123,227,165,165
ENSG00000132254,66,72,102,60,52,91,53,71
ENSG00000134884,185,192,228,157,252,282,208,265
ENSG00000175220,22,17,14,12,18,26,22,22
ENSG00000147256,0,0,0,0,0,0,0,0
ENSG00000196914,211,220,148,163,205,317,206,273
ENSG00000116584,77,82,68,59,26,24,19,21
ENSG00000129675,0,0,0,0,0,0,0,0
ENSG00000131089,59,98,54,66,44,53,49,66
ENSG00000054267,271,264,180,210,175,285,224,272
ENSG00000182196,426,495,371,318,290,466,254,370
ENSG00000144746,111,104,93,106,101,135,102,117
ENSG00000241553,23,16,27,11,6,23,20,11
ENSG00000162704,46,36,65,35,42,60,46,50
ENSG00000136950,293,333,221,222,185,212,155,199
ENSG00000128989,310,256,282,248,188,220,225,232
ENSG00000157399,0,0,2,0,0,0,0,0
ENSG00000104763,19,54,35,29,33,33,26,36
ENSG00000102048,2,4,6,2,20,31,20,22
ENSG00000112249,139,190,139,172,153,201,156,180
ENSG00000198356,136,121,102,116,76,115,63,87
ENSG00000066279,0,0,0,0,1,3,0,0
ENSG00000106819,1,0,0,0,2,2,1,2
ENSG00000123268,1,9,6,8,4,7,1,9
ENSG00000162772,2,9,7,12,4,7,7,13
ENSG00000169136,41,42,41,42,78,89,64,94
ENSG00000118217,51,51,36,53,47,58,31,58
ENSG00000213676,153,135,246,144,159,194,137,179
ENSG00000144848,214,218,181,146,137,188,148,173
ENSG00000138363,136,100,86,91,107,104,95,96
ENSG00000166454,130,167,103,115,137,158,113,139
ENSG00000145246,1,0,0,0,0,0,0,0
ENSG00000058063,77,102,46,63,73,91,63,93
ENSG00000143153,216,249,143,172,255,384,228,298
ENSG00000017260,213,236,135,213,114,244,182,159
ENSG00000165629,2986,2806,2170,2048,2075,2860,1706,2449
ENSG00000099624,43,46,39,60,40,63,61,51
ENSG00000135390,1039,720,584,592,676,986,646,857
ENSG00000154518,240,312,348,285,223,241,182,223
ENSG00000167863,1482,987,948,799,969,1311,850,1100
ENSG00000169020,1662,1212,1075,981,1077,1396,858,1163
ENSG00000241468,165,111,131,101,131,199,219,172
ENSG00000106246,10,17,10,7,12,8,3,2
ENSG00000241837,801,670,580,528,420,660,417,620
ENSG00000125375,20,22,32,25,17,30,19,21
ENSG00000033627,2,3,5,6,7,2,2,4
ENSG00000117410,7,13,19,12,8,10,10,10
ENSG00000185883,421,269,325,231,271,343,318,264
ENSG00000159720,1213,1110,992,895,820,1106,645,919
ENSG00000100554,522,653,441,432,319,471,273,425
ENSG00000066427,235,198,158,142,120,172,122,165
ENSG00000087586,10,11,10,12,12,18,16,14
ENSG00000178999,5,5,3,5,21,16,15,18
ENSG00000155096,122,113,104,85,47,98,63,86
ENSG00000166710,505,389,431,323,295,354,168,288
ENSG00000183778,3,2,4,2,33,43,48,25
ENSG00000109956,0,0,0,0,0,0,0,0
ENSG00000174684,0,0,0,0,0,0,0,0
ENSG00000086062,1,4,6,3,4,3,2,4
ENSG00000158470,16,19,27,13,6,5,5,4
ENSG00000027847,128,128,108,110,84,91,68,85
ENSG00000136881,3,1,3,1,2,2,1,5
ENSG00000186318,36,41,41,21,34,43,28,36
ENSG00000182240,7,11,7,9,9,8,8,3
ENSG00000002330,4,2,4,2,2,2,6,0
ENSG00000151929,123,81,121,90,204,258,211,274
ENSG00000204463,249,252,225,255,205,322,226,257
ENSG00000030110,1,2,8,9,6,9,8,6
ENSG00000095739,1125,944,860,860,1120,1509,1147,1407
ENSG00000175334,105,78,83,41,113,143,74,93
ENSG00000105327,991,875,914,797,479,831,515,715
ENSG00000185825,439,480,425,354,277,382,259,317
ENSG00000105552,18,6,9,4,15,17,11,10
ENSG00000127152,5,17,13,20,15,16,20,19
ENSG00000171791,5,0,0,0,8,19,14,11
ENSG00000171552,466,618,374,480,635,985,684,824
ENSG00000153094,422,421,303,338,300,410,289,391
ENSG00000099968,204,226,162,183,123,202,148,158
ENSG00000129473,37,39,30,36,45,45,37,53
ENSG00000258643,31,52,26,39,26,33,28,23
ENSG00000069399,260,261,175,215,135,233,200,196
ENSG00000106635,28,30,23,28,13,19,11,20
ENSG00000161267,14,13,15,9,18,32,21,11
ENSG00000176697,0,0,0,0,0,0,0,0
ENSG00000126581,65,78,73,51,75,80,70,73
ENSG00000134107,128,76,103,92,42,58,47,36
ENSG00000015475,97,97,78,73,134,210,114,178
ENSG00000110330,16,28,10,26,21,33,17,35
ENSG00000089685,0,0,1,0,2,4,0,2
ENSG00000197299,9,10,8,5,17,30,24,34
ENSG00000108578,3,8,5,8,6,7,8,10
ENSG00000095585,84,93,61,58,219,315,212,253
ENSG00000135441,59,61,31,48,49,49,48,54
ENSG00000186222,29,16,14,18,13,21,21,25
ENSG00000106605,89,74,40,43,39,82,83,69
ENSG00000168283,629,556,508,432,615,981,549,855
ENSG00000125378,12,12,27,12,14,25,10,15
ENSG00000104765,138,131,114,122,119,158,125,130
ENSG00000261236,6,1,0,2,1,5,1,1
ENSG00000012048,3,0,2,1,3,2,1,6
ENSG00000141867,183,202,105,159,79,124,118,126
ENSG00000184992,35,50,43,64,36,47,27,51
ENSG00000172270,694,635,507,563,483,700,587,620
ENSG00000064726,885,950,654,745,570,1019,642,842
ENSG00000132640,133,188,121,162,115,150,146,155
ENSG00000010671,0,0,0,2,0,0,0,0
ENSG00000186470,3,1,0,3,0,0,1,1
ENSG00000156970,1,3,0,2,6,6,10,5
ENSG00000112578,57,44,71,59,44,73,49,57
ENSG00000136261,108,107,73,72,92,124,74,104
,3711,4053,4136,3651,4011,5835,4502,5144
ENSG00000166275,51,34,27,33,98,153,114,129
ENSG00000175573,16,15,16,13,11,21,24,20
ENSG00000151135,95,83,74,81,34,72,45,48
ENSG00000133641,2,2,1,1,1,1,0,0
ENSG00000078237,932,943,656,652,531,692,451,650
ENSG00000111678,146,111,126,117,78,104,65,96
ENSG00000179933,576,535,360,390,302,395,239,313
ENSG00000170270,4,2,4,1,8,5,16,9
ENSG00000087302,1478,1322,1102,1040,768,1044,716,949
ENSG00000070761,76,58,68,55,35,62,49,47
ENSG00000177576,242,205,180,140,231,337,225,291
ENSG00000214212,5,16,6,16,3,5,3,4
ENSG00000123144,873,669,606,602,642,803,573,691
ENSG00000183019,0,1,0,0,0,0,0,0
ENSG00000174917,11,5,7,6,2,2,4,4
ENSG00000221916,26,10,8,18,10,16,8,10
ENSG00000197223,18,12,11,8,10,13,11,8
ENSG00000143633,195,165,134,114,131,238,143,165
ENSG00000143612,1347,1089,1368,1113,679,1076,778,981
ENSG00000173372,0,0,0,0,0,0,0,0
ENSG00000159403,0,0,1,0,0,2,1,0
ENSG00000243649,42,40,25,33,12,17,5,13
ENSG00000157617,6,15,12,14,5,14,6,8
ENSG00000172375,1,0,0,0,1,1,6,2
ENSG00000111731,62,51,40,61,63,104,73,83
ENSG00000186825,0,0,0,0,0,0,0,2
ENSG00000186132,44,26,26,36,9,18,17,13
ENSG00000125730,1,1,0,0,0,0,0,1
ENSG00000106804,4,1,3,2,8,8,4,12
ENSG00000185127,326,280,269,230,163,211,118,191
ENSG00000204387,2179,1896,1509,1460,684,1021,639,926
ENSG00000112308,908,989,886,720,608,834,571,704
ENSG00000185955,3,3,5,2,1,6,0,0
ENSG00000074410,141,108,80,75,181,264,180,234
ENSG00000104267,54,35,48,33,25,39,26,29
ENSG00000107159,0,0,0,0,0,0,0,2
ENSG00000135932,393,383,345,328,376,551,373,469
ENSG00000196557,130,120,142,140,144,197,229,208
ENSG00000007402,6,12,10,4,4,9,2,4
ENSG00000116161,39,29,25,28,18,38,22,27
ENSG00000198668,117,80,138,76,75,103,61,82
ENSG00000143933,232,150,199,130,169,229,160,188
ENSG00000160014,8,7,6,5,4,0,3,1
ENSG00000179218,1060,988,792,685,693,885,655,759
ENSG00000128595,9,6,8,13,7,14,5,7
ENSG00000070808,0,0,0,0,1,0,0,0
ENSG00000118200,202,272,136,207,147,239,175,164
ENSG00000171302,21,28,22,26,19,51,42,29
ENSG00000014216,82,72,98,66,75,131,89,167
ENSG00000126247,455,428,359,299,334,462,359,420
ENSG00000108349,9,5,5,4,6,2,6,0
ENSG00000147044,106,58,98,76,85,114,63,71
ENSG00000137752,0,0,0,0,0,0,0,0
ENSG00000003400,1,1,0,1,2,1,0,0
ENSG00000106144,112,93,70,76,79,122,102,116
ENSG00000164305,14,32,9,21,26,23,16,30
ENSG00000165806,161,165,129,111,54,94,63,91
ENSG00000064012,216,158,202,152,89,93,77,80
ENSG00000132906,30,26,24,21,44,34,35,41
ENSG00000121691,60,45,35,36,61,82,51,83
ENSG00000114423,33,37,27,28,56,59,53,58
ENSG00000159228,231,281,211,216,159,195,176,202
ENSG00000159231,23,21,14,22,20,23,8,14
ENSG00000172785,745,745,583,619,790,1060,814,943
ENSG00000183741,401,360,345,324,375,591,464,523
ENSG00000181378,0,0,0,0,0,0,0,0
ENSG00000103021,22,16,6,5,7,8,5,4
ENSG00000104957,18,27,18,13,11,18,10,11
ENSG00000165813,0,1,0,0,0,0,0,0
ENSG00000173093,45,50,47,37,27,61,36,48
ENSG00000175602,59,76,51,49,73,85,51,75
ENSG00000110104,2,2,10,9,3,4,5,0
ENSG00000119242,44,39,40,38,50,68,47,65
ENSG00000108691,0,0,0,0,0,0,0,0
ENSG00000277632,0,0,0,0,1,0,0,0
ENSG00000275302,1,0,0,0,0,0,0,0
ENSG00000145386,13,3,3,3,13,42,16,21
ENSG00000134057,62,29,48,41,33,70,47,56
ENSG00000100814,87,115,52,79,32,60,41,58
ENSG00000157456,22,9,13,11,31,36,26,28
ENSG00000147082,0,0,0,0,0,0,0,0
ENSG00000110092,18,15,19,10,18,34,23,38
ENSG00000118971,0,0,0,0,0,0,0,0
ENSG00000166946,107,101,116,64,105,152,92,132
ENSG00000105173,5,7,8,3,7,7,6,7
ENSG00000175305,1,6,2,3,9,19,17,17
ENSG00000162063,9,6,11,4,12,18,13,13
ENSG00000113328,511,519,296,413,373,540,340,449
ENSG00000163660,86,85,83,83,40,45,43,53
ENSG00000221978,474,525,343,440,432,707,531,644
ENSG00000152669,9,3,13,4,11,16,14,8
ENSG00000121797,1,3,1,1,1,1,4,2
ENSG00000166226,148,126,156,129,99,128,100,124
ENSG00000163468,201,197,163,145,155,200,109,186
ENSG00000150637,0,0,0,0,0,0,0,0
ENSG00000169217,8,12,17,8,10,8,17,9
ENSG00000167775,17,17,14,16,12,25,18,11
ENSG00000167286,0,0,0,0,2,0,1,3
ENSG00000010610,0,0,0,0,0,0,0,0
ENSG00000101017,1,0,0,0,0,0,0,0
ENSG00000026508,103,122,89,89,54,58,42,46
ENSG00000117335,309,205,326,232,259,360,246,295
ENSG00000196352,974,1082,635,847,412,776,425,626
ENSG00000116815,780,773,557,652,571,894,589,754
ENSG00000110848,0,0,0,0,0,0,1,2
ENSG00000019582,0,1,2,0,0,3,0,2
ENSG00000153563,16,10,8,8,3,1,5,7
ENSG00000123146,14,14,11,12,7,16,13,12
ENSG00000158825,0,1,0,0,0,2,0,0
ENSG00000164045,2,1,0,1,0,1,0,0
ENSG00000101224,725,631,950,628,395,553,459,463
ENSG00000176386,248,258,195,176,130,222,135,173
ENSG00000099804,100,69,64,86,33,62,63,68
ENSG00000158985,59,36,52,32,21,27,28,28
ENSG00000096401,301,306,281,260,259,346,245,273
ENSG00000094804,18,11,13,8,20,18,13,22
ENSG00000170779,9,0,0,1,5,6,5,14
ENSG00000146670,2,0,1,0,0,7,0,4
ENSG00000134690,1,0,2,1,3,1,1,5
ENSG00000039068,288,385,238,241,249,345,220,301
ENSG00000062038,11,11,14,15,22,18,24,19
ENSG00000179776,0,0,0,0,1,0,0,0
ENSG00000103502,204,246,228,177,168,281,175,234
ENSG00000170312,20,19,12,10,52,89,47,53
ENSG00000008128,81,108,56,63,80,114,72,90
ENSG00000248333,96,101,74,87,71,113,81,96
ENSG00000155111,83,103,63,64,73,85,81,92
ENSG00000123374,29,33,22,11,18,26,15,12
ENSG00000135446,1656,1642,1289,1262,741,955,722,819
ENSG00000164885,65,41,49,48,50,52,47,45
ENSG00000176749,2,10,8,6,5,10,6,8
ENSG00000105810,98,98,75,93,154,286,189,254
ENSG00000124762,68,67,93,66,13,14,18,17
ENSG00000111276,296,244,221,232,224,380,240,341
ENSG00000129757,3,2,1,1,4,4,0,4
ENSG00000245848,60,43,60,33,41,48,39,45
ENSG00000221869,27,13,23,23,13,24,13,17
ENSG00000115816,519,612,418,504,406,604,347,474
ENSG00000115163,1,1,0,0,0,0,2,1
ENSG00000125817,250,297,357,251,257,325,236,294
ENSG00000117724,0,1,0,2,10,5,3,13
ENSG00000203760,15,16,15,14,11,16,27,13
ENSG00000166037,1,10,9,1,3,6,7,4
ENSG00000100422,0,2,0,0,0,0,0,0
ENSG00000198848,0,0,0,0,0,0,2,0
ENSG00000153140,143,171,134,139,107,157,95,145
ENSG00000000971,0,0,0,0,0,0,0,0
ENSG00000172757,1184,1044,550,784,636,1026,773,911
ENSG00000003402,62,43,38,59,41,60,42,59
ENSG00000135346,3,1,0,0,0,4,1,5
ENSG00000163320,142,125,79,111,91,121,60,106
ENSG00000100532,56,39,42,32,19,21,26,27
ENSG00000128965,27,29,24,32,19,30,15,27
ENSG00000131778,121,119,119,124,102,180,139,150
ENSG00000111642,444,461,277,414,357,545,462,560
ENSG00000149554,24,14,6,14,19,29,29,24
ENSG00000183765,9,7,4,2,2,3,3,14
ENSG00000085872,39,51,35,41,32,50,33,31
ENSG00000064886,1,0,0,2,0,2,1,0
ENSG00000109220,46,33,18,28,17,38,27,28
ENSG00000130724,437,382,392,322,428,442,370,380
ENSG00000083937,34,48,96,42,81,56,45,46
ENSG00000254505,1760,1684,1356,1297,1029,1332,949,1193
ENSG00000176108,18,34,18,17,28,30,15,32
ENSG00000128656,8,6,5,7,6,4,10,5
ENSG00000033100,212,203,189,174,71,119,70,103
ENSG00000101204,0,0,0,0,0,0,0,0
ENSG00000147432,0,0,0,0,0,0,0,0
ENSG00000182022,20,8,21,10,16,19,23,18
ENSG00000213341,61,49,59,46,44,43,27,42
ENSG00000005194,15,9,7,10,9,14,13,11
ENSG00000079432,1,0,0,3,1,0,1,4
ENSG00000099622,25,16,52,27,43,32,41,58
ENSG00000122873,45,34,52,21,35,51,46,66
ENSG00000175216,125,139,130,135,94,142,107,102
ENSG00000217555,58,39,53,26,10,19,8,18
ENSG00000173207,17,21,14,23,11,14,9,19
ENSG00000074054,48,64,48,46,31,60,44,69
ENSG00000157322,2,10,2,7,15,21,14,20
ENSG00000188603,12,10,17,7,6,9,14,15
ENSG00000166855,91,94,77,100,67,97,96,90
ENSG00000171603,102,104,93,105,108,202,134,152
ENSG00000139182,4,10,10,8,2,7,15,5
ENSG00000175416,918,883,797,629,699,984,692,818
ENSG00000141367,3471,3310,3565,2911,1887,2246,1643,2140
ENSG00000120885,16,7,5,7,13,20,24,12
