"gene","ensembl_id","stat","log2FoldChange"
"LCN2","ENSG00000148346",0,5.13792678894439
"WSB1","ENSG00000109046",8.14162955169317e-189,3.03666689081856
"ESR1","ENSG00000091831",2.36391831762482e-175,-3.14677141365056
"SLC12A2","ENSG00000064651",2.20093087838859e-131,-2.54226210645172
"NPY1R","ENSG00000164128",4.34815472198146e-116,-2.88727315891513
"SLC7A5","ENSG00000103257",2.50654786411283e-110,2.19860939575151
"GDF15","ENSG00000130513",1.09678084685672e-107,2.12061967870124
"KITLG","ENSG00000049130",3.73865026312565e-105,-3.11213421293571
"ERRFI1","ENSG00000116285",3.56040817668725e-101,2.2924484536047
"DCDC2","ENSG00000146038",2.91461768352239e-88,-2.35925725693638
"EVL","ENSG00000196405",2.1033327594142e-83,-2.5868645945314
"KRT81","ENSG00000205426",1.12849311975488e-72,2.19775500354351
"RBL2","ENSG00000103479",7.03493762485824e-70,-2.28672041033197
"FAM83B","ENSG00000168143",3.66658484498424e-68,-2.28144552789467
"IFRD1","ENSG00000006652",2.22940137393554e-65,1.77812454581448
"TBC1D9","ENSG00000109436",9.01375161030444e-65,-2.2169776976718
"ST8SIA4","ENSG00000113532",3.73938026133923e-62,-3.62813394367942
"DDIT3","ENSG00000175197",3.94079688895714e-62,1.70160887302861
"SLC6A14","ENSG00000268104",2.28721542832929e-58,-2.5867234248653
"RDX","ENSG00000137710",3.08307890152221e-58,-1.85510341699442
"RBCK1","ENSG00000125826",3.36271288714813e-58,1.82738747046044
"GTPBP2","ENSG00000172432",2.52697147012527e-56,2.06239333319654
"C1orf21","ENSG00000116667",8.30720688464442e-56,-1.74082605269892
"PBX1","ENSG00000185630",9.8237757141255e-53,-1.90149716229374
"SLC3A2","ENSG00000168003",3.05331758909545e-52,1.34026485879139
"FGD3","ENSG00000127084",4.81607382761484e-52,-3.29014171029111
"S100P","ENSG00000163993",1.03280912068826e-51,1.72542691054974
"EEIG2","ENSG00000162636",2.3789370250773e-51,-1.7485486264907
"FREM2","ENSG00000150893",3.28454635982233e-51,-3.56618640121132
"PSCA","ENSG00000167653",3.85250474446644e-49,-3.64805086922827
"RNF115","ENSG00000265491",1.06734644515217e-47,-1.3047180675532
"INTS13","ENSG00000064102",3.57820934736667e-47,-1.76075959400856
"ABCC5","ENSG00000114770",7.57218172769674e-47,-1.77261040478569
"MAP1LC3B","ENSG00000140941",1.56346520350079e-44,1.25795452256463
"CCDC159","ENSG00000183401",1.78730220088162e-44,-1.66067733677699
"EFCAB3","ENSG00000172421",1.78730220088162e-44,-1.80942891018213
"KCP","ENSG00000135253",6.61044466039493e-44,2.59554831418444
"SGCG","ENSG00000102683",7.72492218478687e-44,-2.07721471939256
"OSR2","ENSG00000164920",9.97178417941499e-44,-1.42560983109432
"VEGFA","ENSG00000112715",1.41962452893978e-43,1.69705913329858
"G6PD","ENSG00000160211",1.4815516742501e-43,1.32411950558481
"C15orf48","ENSG00000166920",1.65385261227754e-43,2.61305036352871
"SPDEF","ENSG00000124664",1.79808776494277e-43,-1.68855497515107
"WARS1","ENSG00000140105",5.59486158905877e-43,2.01300668351758
"DKK1","ENSG00000107984",1.10403154163297e-41,-2.21542609801609
"AKR1C2","ENSG00000151632",1.1317329087952e-41,1.95643562109043
"GPCPD1","ENSG00000125772",1.1317329087952e-41,2.31261026873085
"SYTL2","ENSG00000137501",2.07875903456382e-41,-1.85753970540345
"NCAM2","ENSG00000154654",5.12132141141075e-41,-3.89660383931271
"PABPC1L","ENSG00000101104",1.38023285805111e-40,1.55687329748357
"AREG","ENSG00000109321",1.53900630165834e-39,2.47706692734971
"SLC20A1","ENSG00000144136",1.59781473646504e-39,1.83259363955314
"FNDC3A","ENSG00000102531",3.46218361176255e-39,1.26209212333061
"PLEKHH2","ENSG00000152527",5.53491649917665e-39,2.96579509180374
"P4HA2","ENSG00000072682",5.71592325401733e-39,1.71874495480385
"KRT19","ENSG00000171345",2.07353125920522e-38,-1.91192390910992
"CHCHD10","ENSG00000250479",8.17175487068017e-38,2.23946085604986
"SALL4","ENSG00000101115",9.82906798984744e-38,-2.42587067887983
"PPP1R3C","ENSG00000119938",2.57304233105593e-37,-3.63389969307207
"MRPS10","ENSG00000048544",4.04770212643887e-37,1.34615359517692
"H2AC6","ENSG00000180573",3.11528490148018e-36,-1.37650359220124
"SEPHS2","ENSG00000179918",4.76754291629911e-36,1.38492809332187
"UBA5","ENSG00000081307",1.16685391522985e-35,-1.59488010651766
"M6PR","ENSG00000003056",1.51046039339918e-35,1.07631452783373
"CEBPB","ENSG00000172216",2.48741083971285e-35,1.42602136817313
"NEDD9","ENSG00000111859",3.55432564960944e-35,-2.00429734443577
"TMEM150C","ENSG00000249242",3.69502008556425e-35,-2.24993071565999
"ELP2","ENSG00000134759",4.28335748109936e-35,-1.14370975219202
"FADS1","ENSG00000149485",5.48245376333226e-35,1.51767145627821
"NFE2L1","ENSG00000082641",8.31293129000651e-35,1.33003016560583
"ITPR2","ENSG00000123104",1.47057362637495e-34,-1.51459631099626
"FTH1","ENSG00000167996",2.51602431095249e-34,1.29786544522179
"EID1","ENSG00000255302",3.35466867194689e-34,-1.53082335571865
"TCEA1","ENSG00000187735",3.8022885424745e-34,1.23610556948583
"HMOX1","ENSG00000100292",4.2711540767343e-34,2.40861636996857
"CRABP1","ENSG00000166426",6.11996626939025e-34,2.30815128563025
"KRT17","ENSG00000128422",6.13795478634682e-34,2.82888614395461
"KAT2B","ENSG00000114166",8.49573345266777e-34,-2.2551687590755
"NBEAP2","ENSG00000197927",2.66960801186087e-33,-1.87826854357581
"EIF4EBP1","ENSG00000187840",3.16963986045348e-33,1.33280002261309
"RNF43","ENSG00000108375",3.17889372792359e-33,-1.71204930191626
"GARS1","ENSG00000106105",3.88539413122088e-33,1.45675831778791
"BLNK","ENSG00000095585",5.56635123863401e-33,-1.82363252323276
"TOR3A","ENSG00000186283",1.78160530434156e-32,1.2096619705626
"INTS3","ENSG00000143624",1.0219622314601e-31,-1.30143238328839
"TENT5A","ENSG00000112773",1.43743124408364e-31,0.970025982311392
"CLIC3","ENSG00000169583",1.43743124408364e-31,-1.68720419038111
"TIMP3","ENSG00000100234",1.48533940621984e-31,2.26951209095309
"PLS1","ENSG00000120756",6.58887348398055e-31,-1.19162226744771
"PDE3B","ENSG00000152270",9.80323972690472e-31,-1.91391521612331
"YARS1","ENSG00000134684",1.09715428577239e-30,1.2900332682165
"UBP1","ENSG00000153560",1.65916399465502e-30,-1.60434616764417
"NUPR1","ENSG00000176046",1.84069073000729e-30,2.28438988445198
"HIF1A","ENSG00000100644",4.99313197845825e-30,1.5583887966652
"CD9","ENSG00000010278",8.83556846059945e-30,-1.29118882456035
"COL12A1","ENSG00000111799",2.30046184153649e-29,-2.8195061464239
"AKNA","ENSG00000106948",4.7538218044522e-29,2.43376240673508
"MCFD2","ENSG00000180398",6.80834176071221e-29,1.31221982287846
"MPZL2","ENSG00000149573",7.68571806265161e-29,-1.43786786914865
"ATRIP","ENSG00000164053",8.52856873217813e-29,-1.64056469857464
"PLCB1","ENSG00000182621",4.40891723184667e-28,-2.25898250022608
"EFEMP1","ENSG00000115380",4.60213223603227e-28,-2.30087403150452
"PRSS8","ENSG00000052344",7.80479755086319e-28,0.959145093707328
"DUSP5","ENSG00000138166",9.24132132326017e-28,2.02183096142941
"SLC38A1","ENSG00000111371",1.13810765783675e-27,-0.953319699541493
"PIK3R1","ENSG00000145675",1.21611092531e-27,-1.84502217890158
"SLC9A2","ENSG00000115616",1.88555232449084e-27,-1.4833827227235
"TRA2A","ENSG00000164548",3.12606395828129e-27,-1.01885529414076
"MYO6","ENSG00000196586",3.67138645600326e-27,-1.07846535906098
"BCAS1","ENSG00000064787",4.29865808686744e-27,-3.48491608132374
"FTL","ENSG00000087086",1.12244691426921e-26,1.88300001819741
"CLIP4","ENSG00000115295",2.35587906060363e-26,-2.26812482660304
"CBX4","ENSG00000141582",5.38988747910631e-26,0.949699349963776
"SLC25A30","ENSG00000174032",1.26270199466701e-25,-1.72793193990483
"SMIM14","ENSG00000163683",1.33961831630246e-25,-0.895618540470352
"POTEH","ENSG00000198062",1.47764109366247e-25,-1.40356548497029
"SLC25A25","ENSG00000148339",2.45699441052078e-25,1.3635690289063
"YPEL3","ENSG00000090238",3.10895639382382e-25,-1.103037961128
"NPNT","ENSG00000168743",3.13588558948143e-25,-1.39432792553795
"CCDC170","ENSG00000120262",3.40278323576196e-25,-2.53132335419173
"HNRNPH3","ENSG00000096746",3.8722708225076e-25,1.07357502081601
"RPS15A","ENSG00000134419",4.49996080829204e-25,1.18713101854858
"AKT1","ENSG00000142208",4.69993571822562e-25,-0.952925437509593
"JTB","ENSG00000143543",5.56252758257973e-25,1.05024444323789
"KCTD3","ENSG00000136636",5.56252758257973e-25,-1.44062543198193
"SLC24A3","ENSG00000185052",6.06463553608828e-25,-2.54633487599087
"ATP2A3","ENSG00000074370",6.30178733283442e-25,-1.69126362336362
"FAM107B","ENSG00000065809",6.56443314574905e-25,-1.67473691557115
"PDIA6","ENSG00000143870",1.01849102678237e-24,0.947251866805692
"KIAA0513","ENSG00000135709",1.01849102678237e-24,-1.36710017331734
"TMED2","ENSG00000086598",1.25367781561225e-24,1.0381521205291
"SIDT1","ENSG00000072858",1.37468919682182e-24,-2.72390852139277
"SLC15A4","ENSG00000139370",1.39040956013076e-24,1.12927445264512
"DUSP4","ENSG00000120875",2.55171882569844e-24,1.4329154968918
"CTNND2","ENSG00000169862",2.95489762625671e-24,-1.49399088838446
"EEF1A2","ENSG00000101210",3.6954918697819e-24,1.01590702923577
"PEBP1","ENSG00000089220",3.98159779085845e-24,-1.10965872681623
"SNU13","ENSG00000100138",4.85134986954445e-24,3.07200417214169
"MUC20","ENSG00000176945",6.86122565824653e-24,-1.67413516006646
"ENSG00000203812","ENSG00000203812",8.27238329529572e-24,-1.17646990579379
"PKM","ENSG00000067225",8.92251379990836e-24,-0.988397758597392
"GFPT1","ENSG00000198380",1.15852854847223e-23,1.23894243322111
"SH3BGRL","ENSG00000131171",1.6702752634334e-23,-1.58916662933588
"CA5B","ENSG00000169239",1.71391501164133e-23,-1.88254459455113
"ATP9A","ENSG00000054793",2.0541902786184e-23,-0.932515465084987
"ULK3","ENSG00000140474",2.29331869767719e-23,-1.13040410304299
