"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",6.60804083376744e-77,3.2183118589456
"TFF1","ENSG00000160182",5.9233709973705e-70,2.04392617564744
"PRR11","ENSG00000068489",6.32045385806448e-36,1.71815847750351
"CELSR2","ENSG00000143126",1.30232731424523e-33,1.54856125152075
"KRT81","ENSG00000205426",7.19517896027577e-32,-1.48301181931169
"SFXN2","ENSG00000156398",1.71969419843628e-25,2.89534072755296
"TPD52L1","ENSG00000111907",4.12806049614075e-25,1.18138233064741
"CDK1","ENSG00000170312",8.4371126394034e-25,1.83453949987362
"ARHGAP11A","ENSG00000198826",1.60842512378614e-23,1.67784246314408
"TST","ENSG00000128311",2.351072371472e-23,1.58885503902168
"LMBR1","ENSG00000105983",9.99500713487778e-22,1.46648464841502
"CALCR","ENSG00000004948",1.93203005156617e-21,1.68529502420404
"H4C1","ENSG00000278637",3.31405490752623e-21,1.67437679258129
"PGR","ENSG00000082175",9.64218931034454e-21,2.40213749668655
"PSCA","ENSG00000167653",2.46951735083767e-20,-1.86112479531766
"NPY1R","ENSG00000164128",3.28228013399924e-20,1.31448095403819
"SDK2","ENSG00000069188",8.93961526033081e-20,3.10753085836077
"TMED8","ENSG00000100580",1.43781380635622e-19,1.89160555376409
"RAPGEFL1","ENSG00000108352",2.91802464037123e-19,1.79031929202314
"MYB","ENSG00000118513",4.44465774689538e-19,1.43759958493255
"CENPI","ENSG00000102384",4.92520970933979e-19,1.7614389685741
"CLIP4","ENSG00000115295",7.75643489312268e-19,-1.77637031340813
"RET","ENSG00000165731",3.61916408672737e-18,2.11382530409819
"ZNF703","ENSG00000183779",4.61921134411403e-18,1.24262426083146
"POGLUT3","ENSG00000178202",2.84443896147345e-17,-1.73309031499037
"NUSAP1","ENSG00000137804",4.20005453269418e-17,1.75772220590623
"KYNU","ENSG00000115919",4.20005453269418e-17,-0.941497100946146
"HMMR","ENSG00000072571",4.97542547471742e-17,1.450157999312
"KIF11","ENSG00000138160",5.50032928596442e-17,1.68854945572738
"CENPK","ENSG00000123219",6.10114272674575e-17,1.50023465950209
"FAM107B","ENSG00000065809",5.08392743819875e-16,-1.13200028487288
"ASCL1","ENSG00000139352",7.77173743779735e-16,1.49242189645934
"PDZK1","ENSG00000174827",4.37051648948975e-15,2.78287824316116
"MYBL1","ENSG00000185697",7.49131774750129e-15,2.00383857592134
"KIF14","ENSG00000118193",7.54334157042351e-15,1.93580834207367
"PPM1K","ENSG00000163644",1.86653255850432e-14,1.05797905356262
"H1-5","ENSG00000184357",3.56200624782112e-14,1.60074194676773
"AGR2","ENSG00000106541",4.1270331447982e-14,0.942996365948548
"XBP1","ENSG00000100219",8.56233782748593e-14,1.2784620793188
"KRT15","ENSG00000171346",8.56233782748593e-14,1.53871594956578
"PRC1","ENSG00000198901",1.19785865344324e-13,1.67791913669112
"NRIP1","ENSG00000180530",2.61665325282845e-13,0.874779519068193
"KIF23","ENSG00000137807",2.61665325282845e-13,1.36653512161134
"MKI67","ENSG00000148773",2.61665325282845e-13,1.52701280904197
"GPSM2","ENSG00000121957",2.89408024951032e-13,1.07218619084499
"LACTB","ENSG00000103642",3.45853279579668e-13,-0.967759259150636
"AREG","ENSG00000109321",5.11833181843275e-13,1.57340937529029
"ID2","ENSG00000115738",5.93581273756548e-13,-1.27612306754573
"TMEM164","ENSG00000157600",6.79587534383417e-13,2.23608619509577
"TUBA1B","ENSG00000123416",1.17132319058045e-12,1.13551320783948
"HMGB2","ENSG00000164104",1.25496133652998e-12,1.26542665179522
"PREX1","ENSG00000124126",1.31597265268731e-12,1.17594661068407
"RPS4X","ENSG00000198034",2.01512912093283e-12,0.916058964430801
"AMZ1","ENSG00000174945",2.24810142043221e-12,1.57957687136251
"TACC3","ENSG00000013810",5.28398574160804e-12,1.64187101937106
"DSCC1","ENSG00000136982",6.34912588244347e-12,1.38106510462751
"OTUD1","ENSG00000165312",6.3917663250277e-12,-0.977539070211314
"ARL3","ENSG00000138175",6.3917663250277e-12,0.878063416471657
"ST8SIA4","ENSG00000113532",7.7409046723395e-12,-1.14116346619479
"BCAS1","ENSG00000064787",8.70627009568718e-12,-1.68891029054063
"DEPTOR","ENSG00000155792",9.53481547806706e-12,1.10336808247872
"KIF2C","ENSG00000142945",1.17399079590308e-11,2.02169571345567
"DOK7","ENSG00000175920",2.20264567433682e-11,1.50929812484632
"TYMS","ENSG00000176890",2.23926823244861e-11,1.01562482036083
"CCNB1","ENSG00000134057",2.99824395262613e-11,1.32619379377545
"NAMPT","ENSG00000105835",4.35857442086649e-11,-1.23434695254337
"ABAT","ENSG00000183044",4.52533494820041e-11,1.22621360160028
"RPL7A","ENSG00000148303",8.30279451162388e-11,0.876519664540743
"MCM10","ENSG00000065328",8.56058601273854e-11,1.82235726437609
"NPNT","ENSG00000168743",1.00488110989995e-10,-0.895427114082665
"NOS1AP","ENSG00000198929",1.22171990151013e-10,1.1476334751522
"CENPN","ENSG00000166451",1.22630876301062e-10,1.09004545114797
"CEP55","ENSG00000138180",1.227658173523e-10,1.78952363662371
"EPS15L1","ENSG00000127527",1.22822171630289e-10,1.10317669429551
"CD24","ENSG00000272398",1.25794447253166e-10,-1.17700169375689
"IQGAP3","ENSG00000183856",1.4697349442468e-10,2.1436068315453
"FAM72A","ENSG00000196550",1.83454056146349e-10,1.57331340576415
"ABHD2","ENSG00000140526",2.61116653691181e-10,1.04212976152796
"MUC5B","ENSG00000117983",3.26722471743442e-10,1.40532580934858
"GRHL3","ENSG00000158055",3.78223578528965e-10,-1.2295261177854
"DEPDC1","ENSG00000024526",5.24505575073815e-10,1.89052006347428
"FAM111B","ENSG00000189057",6.07178157589391e-10,2.02990851600479
"ZWILCH","ENSG00000174442",7.35962699482375e-10,1.23725887400819
"JUN","ENSG00000177606",8.63736952837929e-10,-1.2957380032745
"SYTL4","ENSG00000102362",9.33279780623512e-10,1.79640434778108
"KIF20A","ENSG00000112984",9.54082522049913e-10,2.03445329828581
"AOX1","ENSG00000138356",1.00848319154115e-09,-1.58127761140669
"RPN1","ENSG00000163902",1.32660352654230e-09,0.626213486645937
"SLC7A5","ENSG00000103257",1.5258883176965e-09,0.786943473154724
"NCAPG","ENSG00000109805",1.66589048869666e-09,1.74659923481198
"H3C7","ENSG00000277775",1.92794794447918e-09,1.70286873705497
"SALL4","ENSG00000101115",2.11025947411551e-09,-1.09709818461544
"TOP2A","ENSG00000131747",2.78461274634298e-09,1.99108070916299
"CA5B","ENSG00000169239",2.85301336801096e-09,-1.1411472077241
"TBC1D9","ENSG00000109436",4.08674670214235e-09,-0.894949467820245
"CLMN","ENSG00000165959",4.15693374341997e-09,-1.08007206170795
"SLC19A2","ENSG00000117479",4.79018289323229e-09,1.19423039462544
"ZFP36L2","ENSG00000152518",5.16058291555348e-09,-1.28373597926655
"SPC24","ENSG00000161888",5.82602213968832e-09,2.48453382202393
"APOD","ENSG00000189058",6.23379166598244e-09,-1.49250695121838
"KRT80","ENSG00000167767",6.34766144197723e-09,-0.708260148909245
"BRD2","ENSG00000204256",7.4188778187474e-09,-1.04777109997056
"TIPARP","ENSG00000163659",7.93097337570683e-09,0.851903010451341
"LMNB1","ENSG00000113368",8.6773859638575e-09,1.24823668031736
"TPBG","ENSG00000146242",9.37277806017116e-09,0.731379742622436
"H2AC14","ENSG00000276368",1.05318721726145e-08,1.12415763797803
"CA12","ENSG00000074410",1.32360864997778e-08,0.864721959614545
"TPX2","ENSG00000088325",1.59966633152295e-08,2.0388181913608
"ANLN","ENSG00000011426",1.93252461232813e-08,1.38830400046655
"SFXN3","ENSG00000107819",2.16416696659647e-08,1.74931310622204
"TMEM120B","ENSG00000188735",2.47147932585602e-08,1.38746119008032
"CDT1","ENSG00000167513",2.75693968251231e-08,1.37924023796492
"COL12A1","ENSG00000111799",2.87838645341107e-08,0.874751328428013
"ASF1B","ENSG00000105011",3.33901809950959e-08,1.0667646128342
"EPB41L5","ENSG00000115109",3.85247335335765e-08,-0.646934123925623
"UBP1","ENSG00000153560",4.18650675713577e-08,-0.767050519871078
"NUDT4","ENSG00000173598",4.24485379210548e-08,-0.965980004270197
"TENT5C","ENSG00000183508",4.78595131453224e-08,1.02847851962884
"NEDD4","ENSG00000069869",5.44137728580096e-08,-0.755337882537675
"CDKN3","ENSG00000100526",6.68300639525003e-08,1.84105021083583
"ZNF367","ENSG00000165244",8.18791091873372e-08,1.58938648725353
"KITLG","ENSG00000049130",8.58496279926113e-08,-0.781658377028192
"SQSTM1","ENSG00000161011",9.06424577643417e-08,-0.820168539952553
"ENSG00000278272","ENSG00000278272",1.24535834154496e-07,1.86243069871346
"RPL6","ENSG00000089009",1.33011255341931e-07,0.62496556135876
"CBX6","ENSG00000183741",1.39728104039963e-07,-0.695016284915391
"KPNA2","ENSG00000182481",1.82143784438829e-07,0.575663557667592
"CBX4","ENSG00000141582",2.01097046381294e-07,-0.60462906480613
"SCUBE2","ENSG00000175356",2.01097046381294e-07,0.990968530659861
"RRM2","ENSG00000171848",2.02586906911304e-07,1.51047311178998
"GINS2","ENSG00000131153",2.23321435005052e-07,1.70541106832612
"LGALS3","ENSG00000131981",2.27688756380318e-07,-0.823548575951257
"CETN2","ENSG00000147400",2.53427283947878e-07,0.746619146626638
"BUB1","ENSG00000169679",2.60086067706522e-07,1.72416737087636
"NPIPB4","ENSG00000185864",2.66955072562555e-07,-0.769788126102745
"NXNL2","ENSG00000130045",2.89366221000835e-07,1.88710840105514
"PIMREG","ENSG00000129195",2.929960974925e-07,1.56569384608058
"HIF1A","ENSG00000100644",4.46240711754741e-07,0.896201460480959
"AGR3","ENSG00000173467",4.70016838840471e-07,1.65667002858091
"CTNND2","ENSG00000169862",5.46857805453241e-07,-0.770858090850971
"LMCD1","ENSG00000071282",5.48883396856211e-07,0.910290409088136
"KNSTRN","ENSG00000128944",5.95654606778965e-07,1.36444307054326
"ABCA12","ENSG00000144452",5.95654606778965e-07,1.18759372298194
"STC2","ENSG00000113739",6.02324521959827e-07,1.69585926214255
"FREM2","ENSG00000150893",6.02324521959827e-07,0.857609971183589
"S100P","ENSG00000163993",7.36710182307007e-07,-0.634508301169188
"DHRS4L2","ENSG00000187630",7.36710182307007e-07,0.748365860616255
"ATAD2","ENSG00000156802",7.36710182307007e-07,1.32486118987278
"PKIB","ENSG00000135549",7.48232867634817e-07,1.98826310915512
"IMPDH2","ENSG00000178035",8.13295610145328e-07,0.787679998236869
"SPC25","ENSG00000152253",8.46735234834304e-07,2.09204228297069
"DYNLT3","ENSG00000165169",9.45946585695993e-07,0.8295014556391
"STOM","ENSG00000148175",1.04057868719331e-06,-0.726593824796467
"DTL","ENSG00000143476",1.11482227728411e-06,1.86688122853742
"ADAMTS9","ENSG00000163638",1.51689148236101e-06,1.35141408970022
"IL1R1","ENSG00000115594",1.5538689555741e-06,-1.32183975147214
"KIAA0513","ENSG00000135709",1.5538689555741e-06,-0.772360441269046
"TICRR","ENSG00000140534",1.68057166783489e-06,1.83349081047919
"SYTL2","ENSG00000137501",1.72360092034254e-06,-0.748951532386876
"DHCR7","ENSG00000172893",1.76661814730891e-06,0.473756530871116
"DLGAP5","ENSG00000126787",1.9124250400111e-06,1.35655314486028
"PPP2R5A","ENSG00000066027",2.17706251013329e-06,1.04838045348083
"GSE1","ENSG00000131149",2.17706251013329e-06,0.905112983253946
"SULF1","ENSG00000137573",2.17706251013329e-06,1.35663470580122
"YPEL3","ENSG00000090238",2.25640417677857e-06,-0.835610110887249
"GLA","ENSG00000102393",2.49670333895867e-06,0.95645524876641
"OS9","ENSG00000135506",2.68005661800518e-06,0.805270413105344
"KAT2B","ENSG00000114166",2.88220246619843e-06,-0.868896518962381
