Geneid,SRR21043446,SRR21043528,SRR21043685,SRR21043886,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,1,1,0,3,0,0
ENSG00000127837,219,178,203,175,110,122,128,157
ENSG00000090861,371,380,312,294,167,265,185,246
ENSG00000275700,47,45,37,33,23,29,30,23
ENSG00000085563,5,10,1,5,6,8,3,3
ENSG00000023839,46,47,47,34,44,47,38,58
ENSG00000114770,616,792,589,350,361,546,408,498
ENSG00000164163,50,59,44,52,23,61,28,41
ENSG00000204574,383,328,409,306,241,325,233,283
ENSG00000161204,17,25,14,16,12,11,8,5
ENSG00000160179,1,4,1,1,1,4,6,1
ENSG00000108846,30,19,7,12,10,17,7,17
ENSG00000118777,237,218,197,152,120,202,131,170
ENSG00000163686,15,11,7,7,13,4,7,13
ENSG00000097007,21,16,14,13,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,119,76,98,110,44,60,29,32
ENSG00000182827,135,88,122,103,65,85,52,75
ENSG00000102977,21,14,10,8,8,11,7,14
ENSG00000159640,3,1,2,1,3,8,6,7
ENSG00000087085,30,34,34,16,22,18,23,21
ENSG00000131473,244,116,186,181,144,137,141,135
ENSG00000123130,3,2,8,2,0,4,1,1
ENSG00000151726,127,88,117,104,74,121,65,70
ENSG00000075624,987,647,879,735,657,858,808,759
ENSG00000266920,2,0,1,0,0,2,0,2
ENSG00000077522,0,0,1,0,0,0,2,0
ENSG00000131966,265,205,244,251,164,203,171,196
ENSG00000137845,226,284,230,185,205,212,140,226
ENSG00000114948,4,1,4,2,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,333,452,313,308,257,338,267,329
ENSG00000065457,21,14,17,14,8,7,13,12
ENSG00000163050,36,42,59,34,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,7,8,10,8,2,4,8,7
ENSG00000187758,0,1,0,1,0,0,0,0
ENSG00000182551,258,137,288,215,142,200,166,176
ENSG00000156110,545,677,502,431,317,449,317,428
ENSG00000148926,16,14,30,21,8,17,13,7
ENSG00000181915,202,143,156,160,116,172,97,126
ENSG00000163485,16,6,26,10,1,2,4,3
ENSG00000128271,1,2,0,1,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,1,0,4,3,1,2,3,2
ENSG00000173020,93,95,90,65,45,52,52,62
ENSG00000239900,4,1,0,1,0,1,2,0
ENSG00000169129,6,2,8,5,3,6,2,3
ENSG00000183077,39,35,45,20,21,28,15,18
ENSG00000081051,2,0,0,0,0,0,0,0
ENSG00000162688,50,63,49,34,26,41,35,47
ENSG00000169692,121,108,154,111,77,95,72,90
ENSG00000138678,15,12,14,12,14,17,7,12
ENSG00000188157,957,1285,885,838,846,1082,729,880
ENSG00000135744,0,0,1,0,0,0,0,0
ENSG00000144891,1,1,0,0,0,2,0,1
ENSG00000177674,45,26,36,35,32,34,21,28
ENSG00000156709,246,246,285,198,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,72,65,52,48,28,40,32,38
ENSG00000105127,253,312,291,197,196,304,181,232
ENSG00000011243,27,10,19,15,8,24,12,14
ENSG00000085662,4,0,0,1,0,0,1,0
ENSG00000187134,3,7,9,6,6,8,2,4
ENSG00000196139,119,57,135,111,111,136,158,112
ENSG00000122787,1,1,0,1,0,1,5,0
ENSG00000142208,2591,3204,2638,2116,2074,2868,1990,2424
ENSG00000105221,28,46,24,28,17,29,15,20
ENSG00000117020,0,1,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,15,9,14,12,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,2,1,1,3,2,3,0,3
ENSG00000159423,70,80,72,45,42,47,48,51
ENSG00000164904,0,1,2,0,1,0,0,0
ENSG00000143149,69,75,71,62,39,50,42,45
ENSG00000149925,2598,2396,2074,2025,1477,2045,1145,1703
ENSG00000109107,18,7,23,17,7,7,4,9
ENSG00000253710,73,67,66,47,19,49,35,33
ENSG00000159063,3,4,11,5,3,4,2,4
ENSG00000162551,0,0,0,0,0,0,2,0
ENSG00000123505,184,140,165,136,99,170,100,138
ENSG00000162066,121,237,155,120,73,160,102,131
ENSG00000144233,83,90,73,75,49,64,58,78
ENSG00000243480,2,4,2,2,1,3,2,4
ENSG00000214174,9,6,3,4,7,17,10,8
ENSG00000153107,94,92,85,73,52,99,47,92
ENSG00000141552,33,37,47,26,11,30,13,20
ENSG00000089053,1100,1304,1262,899,820,1147,788,912
ENSG00000088448,646,830,613,475,442,576,386,556
ENSG00000132466,20,17,18,14,8,5,7,5
ENSG00000215559,2,6,2,1,2,5,2,8
ENSG00000251056,28,66,19,22,22,36,27,23
ENSG00000206192,0,0,1,0,0,0,2,0
ENSG00000105186,180,196,174,145,118,174,88,116
ENSG00000196912,26,26,12,18,7,18,16,14
ENSG00000160746,93,127,119,91,59,82,44,76
ENSG00000164111,731,574,705,692,442,636,404,602
ENSG00000138279,258,217,227,236,145,152,153,172
ENSG00000166747,178,103,156,92,64,110,107,70
ENSG00000106367,1073,1290,1116,892,507,714,582,571
ENSG00000183020,11,11,15,11,12,8,11,7
ENSG00000161203,16,25,13,18,5,13,14,11
ENSG00000132842,138,144,140,144,97,107,103,94
ENSG00000221838,57,56,51,39,22,40,32,25
ENSG00000011132,11,10,17,11,10,20,9,17
ENSG00000163697,208,194,181,147,143,186,161,177
ENSG00000171388,0,0,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,0,1,1,1
ENSG00000239713,0,0,0,0,0,1,1,0
ENSG00000110245,0,0,1,0,0,0,0,0
ENSG00000189058,37,32,43,35,85,80,71,69
ENSG00000130203,0,0,1,0,0,2,1,0
ENSG00000184831,82,67,99,53,34,44,23,30
ENSG00000256053,414,484,442,402,292,447,247,383
ENSG00000142192,316,327,238,278,234,432,210,362
ENSG00000062725,3186,3273,3019,2623,2002,2996,2263,2718
ENSG00000157500,5,4,6,5,1,2,4,8
ENSG00000165272,15,4,17,8,8,12,18,9
ENSG00000086159,0,0,0,0,0,1,0,0
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000109321,106,88,57,89,40,51,28,32
ENSG00000143761,88,37,83,65,31,74,52,44
ENSG00000004059,14,15,20,21,10,20,12,16
ENSG00000101199,198,177,189,161,122,165,128,142
ENSG00000242247,73,50,62,47,25,50,30,33
ENSG00000124198,305,281,222,224,123,227,165,165
ENSG00000132254,115,102,88,85,52,91,53,71
ENSG00000134884,293,303,263,304,252,282,208,265
ENSG00000175220,25,23,34,15,18,26,22,22
ENSG00000147256,2,6,1,4,0,0,0,0
