Geneid,SRR21043563,SRR21043830,SRR21043901,SRR21043816,SRR21043817,SRR21043815
ENSG00000175899,0,0,0,0,0,0
ENSG00000127837,166,183,247,110,128,157
ENSG00000090861,340,295,380,167,185,246
ENSG00000275700,42,40,50,23,30,23
ENSG00000085563,3,2,7,6,3,3
ENSG00000023839,25,32,61,44,38,58
ENSG00000114770,466,557,841,361,408,498
ENSG00000164163,42,49,41,23,28,41
ENSG00000204574,255,334,363,241,233,283
ENSG00000161204,23,11,17,12,8,5
ENSG00000160179,3,1,1,1,6,1
ENSG00000108846,9,12,12,10,7,17
ENSG00000118777,165,183,204,120,131,170
ENSG00000163686,12,11,13,13,7,13
ENSG00000097007,5,12,22,10,9,8
ENSG00000115361,0,0,0,0,0,1
ENSG00000120437,91,74,117,44,29,32
ENSG00000182827,97,93,103,65,52,75
ENSG00000102977,11,7,27,8,7,14
ENSG00000159640,6,5,4,3,6,7
ENSG00000087085,21,19,22,22,23,21
ENSG00000131473,143,167,212,144,141,135
ENSG00000123130,1,1,3,0,1,1
ENSG00000151726,86,80,113,74,65,70
ENSG00000075624,645,599,864,657,808,759
ENSG00000266920,0,0,0,0,0,2
ENSG00000077522,0,0,0,0,2,0
ENSG00000131966,185,192,231,164,171,196
ENSG00000137845,168,274,199,205,140,226
ENSG00000114948,3,1,0,1,3,1
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,313,303,413,257,267,329
ENSG00000065457,12,9,6,8,13,12
ENSG00000163050,27,35,54,25,34,31
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,12,12,8,2,8,7
ENSG00000187758,0,1,1,0,0,0
ENSG00000182551,138,169,273,142,166,176
ENSG00000156110,451,468,676,317,317,428
ENSG00000148926,14,6,38,8,13,7
ENSG00000181915,148,183,210,116,97,126
ENSG00000163485,16,22,34,1,4,3
ENSG00000128271,0,3,0,1,4,3
ENSG00000120907,0,0,0,0,0,2
ENSG00000169252,0,1,4,1,3,2
ENSG00000173020,62,94,70,45,52,62
ENSG00000239900,2,1,0,0,2,0
ENSG00000169129,11,6,6,3,2,3
ENSG00000183077,35,35,60,21,15,18
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,43,42,62,26,35,47
ENSG00000169692,105,82,156,77,72,90
ENSG00000138678,11,12,13,14,7,12
ENSG00000188157,679,979,1110,846,729,880
ENSG00000135744,0,1,0,0,0,0
ENSG00000144891,0,0,0,0,0,1
ENSG00000177674,22,33,46,32,21,28
ENSG00000156709,193,195,307,144,139,162
ENSG00000163568,0,0,0,0,0,0
ENSG00000197976,68,60,55,28,32,38
ENSG00000105127,244,249,300,196,181,232
ENSG00000011243,27,21,21,8,12,14
ENSG00000085662,0,0,4,0,1,0
ENSG00000187134,3,6,8,6,2,4
ENSG00000196139,70,63,117,111,158,112
ENSG00000122787,1,1,1,0,5,0
ENSG00000142208,2105,2595,3194,2074,1990,2424
ENSG00000105221,32,35,47,17,15,20
ENSG00000117020,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0
ENSG00000059573,7,11,8,4,14,14
ENSG00000165092,0,0,0,0,0,0
ENSG00000111275,5,3,7,2,0,3
ENSG00000159423,43,60,103,42,48,51
ENSG00000164904,3,2,3,1,0,0
ENSG00000143149,72,85,68,39,42,45
ENSG00000149925,1873,1879,2142,1477,1145,1703
ENSG00000109107,7,5,17,7,4,9
ENSG00000253710,47,43,74,19,35,33
ENSG00000159063,3,3,2,3,2,4
ENSG00000162551,0,0,0,0,2,0
ENSG00000123505,113,146,189,99,100,138
ENSG00000162066,127,160,189,73,102,131
ENSG00000144233,81,98,111,49,58,78
ENSG00000243480,0,6,0,1,2,4
ENSG00000214174,3,5,14,7,10,8
ENSG00000153107,81,84,136,52,47,92
ENSG00000141552,29,30,40,11,13,20
ENSG00000089053,931,991,1592,820,788,912
ENSG00000088448,457,590,812,442,386,556
ENSG00000132466,13,22,28,8,7,5
ENSG00000215559,6,6,2,2,2,8
ENSG00000251056,23,37,53,22,27,23
ENSG00000206192,0,0,0,0,2,0
ENSG00000105186,137,163,199,118,88,116
ENSG00000196912,19,29,26,7,16,14
ENSG00000160746,85,85,130,59,44,76
ENSG00000164111,509,524,713,442,404,602
ENSG00000138279,184,242,235,145,153,172
ENSG00000166747,170,105,215,64,107,70
ENSG00000106367,815,1095,1200,507,582,571
ENSG00000183020,13,8,12,12,11,7
ENSG00000161203,19,8,17,5,14,11
ENSG00000132842,167,136,224,97,103,94
ENSG00000221838,24,45,61,22,32,25
ENSG00000011132,11,8,20,10,9,17
ENSG00000163697,131,137,178,143,161,177
ENSG00000171388,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,1,1
ENSG00000239713,0,0,0,0,1,0
ENSG00000110245,0,0,0,0,0,0
ENSG00000189058,26,34,31,85,71,69
ENSG00000130203,0,2,0,0,1,0
ENSG00000184831,60,47,79,34,23,30
ENSG00000256053,273,318,428,292,247,383
ENSG00000142192,281,310,279,234,210,362
ENSG00000062725,2360,2706,3780,2002,2263,2718
ENSG00000157500,3,3,1,1,4,8
ENSG00000165272,5,7,16,8,18,9
ENSG00000086159,0,2,1,0,0,0
ENSG00000103569,0,0,0,0,0,0
ENSG00000109321,89,109,127,40,28,32
ENSG00000143761,34,27,56,31,52,44
ENSG00000004059,29,17,20,10,12,16
ENSG00000101199,146,141,191,122,128,142
ENSG00000242247,58,41,67,25,30,33
ENSG00000124198,215,248,288,123,165,165
ENSG00000132254,68,61,102,52,53,71
ENSG00000134884,163,303,283,252,208,265
ENSG00000175220,19,15,22,18,22,22
ENSG00000147256,1,2,3,0,0,0
ENSG00000196914,238,263,335,205,206,273
ENSG00000116584,36,34,37,26,19,21
ENSG00000129675,0,0,0,0,0,0
ENSG00000131089,87,86,133,44,49,66
ENSG00000054267,292,314,413,175,224,272
ENSG00000182196,258,328,470,290,254,370
ENSG00000144746,148,190,259,101,102,117
ENSG00000241553,24,17,27,6,20,11
ENSG00000162704,32,32,49,42,46,50
ENSG00000136950,268,250,305,185,155,199
ENSG00000128989,208,187,291,188,225,232
ENSG00000157399,0,0,0,0,0,0
ENSG00000104763,24,26,8,33,26,36
ENSG00000102048,12,11,25,20,20,22
ENSG00000112249,179,188,207,153,156,180
ENSG00000198356,98,77,141,76,63,87
ENSG00000066279,3,3,3,1,0,0
ENSG00000106819,0,0,2,2,1,2
ENSG00000123268,7,10,6,4,1,9
ENSG00000162772,7,10,5,4,7,13
ENSG00000169136,93,138,191,78,64,94
ENSG00000118217,47,49,78,47,31,58
ENSG00000213676,147,200,232,159,137,179
ENSG00000144848,89,135,168,137,148,173
ENSG00000138363,131,135,233,107,95,96
ENSG00000166454,114,150,96,137,113,139
ENSG00000145246,0,0,0,0,0,0
ENSG00000058063,140,133,194,73,63,93
ENSG00000143153,263,298,461,255,228,298
ENSG00000017260,289,224,405,114,182,159
ENSG00000165629,2383,2755,4086,2075,1706,2449
ENSG00000099624,80,68,191,40,61,51
ENSG00000135390,739,735,1214,676,646,857
ENSG00000154518,249,379,316,223,182,223
ENSG00000167863,820,871,1280,969,850,1100
ENSG00000169020,860,1217,1470,1077,858,1163
ENSG00000241468,139,188,313,131,219,172
ENSG00000106246,6,6,12,12,3,2
ENSG00000241837,639,723,1011,420,417,620
ENSG00000125375,26,36,41,17,19,21
ENSG00000033627,4,5,5,7,2,4
ENSG00000117410,12,16,13,8,10,10
ENSG00000185883,193,219,306,271,318,264
ENSG00000159720,625,837,1064,820,645,919
ENSG00000100554,356,408,448,319,273,425
ENSG00000066427,135,178,260,120,122,165
ENSG00000087586,36,25,53,12,16,14
ENSG00000178999,43,39,45,21,15,18
ENSG00000155096,103,92,85,47,63,86
ENSG00000166710,191,253,249,295,168,288
ENSG00000183778,34,34,69,33,48,25
ENSG00000109956,0,0,0,0,0,0
ENSG00000174684,0,0,0,0,0,0
ENSG00000086062,2,2,10,4,2,4
ENSG00000158470,9,6,10,6,5,4
ENSG00000027847,109,127,160,84,68,85
ENSG00000136881,1,4,2,2,1,5
ENSG00000186318,55,51,95,34,28,36
ENSG00000182240,6,9,6,9,8,3
ENSG00000002330,2,4,3,2,6,0
ENSG00000151929,135,186,251,204,211,274
ENSG00000204463,251,313,455,205,226,257
ENSG00000030110,3,1,3,6,8,6
ENSG00000095739,1037,1247,2274,1120,1147,1407
ENSG00000175334,55,126,100,113,74,93
ENSG00000105327,552,517,633,479,515,715
ENSG00000185825,372,449,629,277,259,317
ENSG00000105552,11,11,10,15,11,10
ENSG00000127152,23,30,45,15,20,19
ENSG00000171791,13,27,26,8,14,11
ENSG00000171552,845,1133,1197,635,684,824
ENSG00000153094,375,373,407,300,289,391
ENSG00000099968,160,157,253,123,148,158
ENSG00000129473,61,50,73,45,37,53
ENSG00000258643,49,56,39,26,28,23
ENSG00000069399,172,212,258,135,200,196
ENSG00000106635,19,19,40,13,11,20
ENSG00000161267,10,20,28,18,21,11
ENSG00000176697,1,0,0,0,0,0
ENSG00000126581,101,89,139,75,70,73
ENSG00000134107,42,41,49,42,47,36
ENSG00000015475,193,187,237,134,114,178
ENSG00000110330,32,37,39,21,17,35
ENSG00000089685,3,7,1,2,0,2
ENSG00000197299,37,64,42,17,24,34
ENSG00000108578,5,9,17,6,8,10
ENSG00000095585,183,243,323,219,212,253
ENSG00000135441,53,50,113,49,48,54
ENSG00000186222,13,16,27,13,21,25
ENSG00000106605,79,75,150,39,83,69
ENSG00000168283,621,686,889,615,549,855
ENSG00000125378,12,24,22,14,10,15
ENSG00000104765,190,162,274,119,125,130
ENSG00000261236,6,3,13,1,1,1
ENSG00000012048,3,2,4,3,1,6
ENSG00000141867,163,180,244,79,118,126
