"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",1.55259251299266e-141,2.83073084460535
"TFF1","ENSG00000160182",3.7319642733623e-34,1.72579063290337
"KRT15","ENSG00000171346",4.15921847755694e-18,2.07099767656827
"ASCL1","ENSG00000139352",3.06903771591129e-17,1.67721552001806
"SFXN2","ENSG00000156398",5.44115174057931e-17,2.98464814517813
"LMBR1","ENSG00000105983",7.97657178857818e-17,1.44962436158789
"TPD52L1","ENSG00000111907",7.97657178857818e-17,1.06614106777683
"CALCR","ENSG00000004948",8.69837445202705e-17,1.61514749071429
"CELSR2","ENSG00000143126",3.16719737620529e-16,1.2703160395449
"POGLUT3","ENSG00000178202",6.82410365657698e-16,-2.00038136496629
"KRT81","ENSG00000205426",8.81971479216126e-15,-1.06217124507791
"TMED8","ENSG00000100580",7.79732165550768e-14,1.59631590564625
"LGALS3","ENSG00000131981",8.62663272060908e-14,-1.01930638739653
"LDHA","ENSG00000134333",1.70902521538083e-13,1.19471419700895
"AGR2","ENSG00000106541",4.01735450565843e-13,1.21200451949221
"RET","ENSG00000165731",4.81071585962535e-13,2.13680118297597
"CDK1","ENSG00000170312",5.49623851552355e-13,1.7078405100338
"SDK2","ENSG00000069188",5.49623851552355e-13,3.04235468032635
"NPY1R","ENSG00000164128",9.38769277598931e-13,0.934405370912898
"KYNU","ENSG00000115919",3.12826236954908e-12,-0.90947059883163
"PGR","ENSG00000082175",4.74499141032755e-12,2.11523396399449
"TST","ENSG00000128311",1.20074603014485e-11,1.2017909906305
"MYB","ENSG00000118513",7.21247030384614e-11,1.36374174922432
"CD24","ENSG00000272398",1.75948561479157e-09,-1.06060848952242
"PRR11","ENSG00000068489",2.4203364476199e-09,1.34272689933298
"RAPGEFL1","ENSG00000108352",2.71929589851282e-09,1.4705483607056
"CLIP4","ENSG00000115295",2.71929589851282e-09,-1.49664789483775
"PREX1","ENSG00000124126",4.49489092841687e-09,1.25563805593879
"ABHD2","ENSG00000140526",8.73378086095215e-09,1.07460406782064
"DAD1","ENSG00000129562",1.47749332378423e-08,-0.716962823462223
"AMZ1","ENSG00000174945",1.72493151472408e-08,1.45573565242058
"ID2","ENSG00000115738",1.81534524555284e-08,-0.990894987159704
"SLC19A2","ENSG00000117479",2.32092145921609e-08,1.05029325465893
"LACTB","ENSG00000103642",2.32092145921609e-08,-0.828787609164896
"BRD2","ENSG00000204256",3.01843272318794e-08,-1.02092968184693
"NPIPB3","ENSG00000169246",3.14056635129755e-08,0.744620951429065
"MUC5B","ENSG00000117983",3.90501255371498e-08,1.4786115021949
"NPIPB4","ENSG00000185864",5.66592483034056e-08,-0.777537578344933
"APOD","ENSG00000189058",8.25959818918335e-08,-1.76853888129514
"KIAA0513","ENSG00000135709",8.38537849084036e-08,-0.863148777861437
"CENPI","ENSG00000102384",1.00706976379645e-07,1.45599846156338
"NRIP1","ENSG00000180530",1.19431397904473e-07,0.811742940204735
"HMMR","ENSG00000072571",1.21290948094942e-07,1.43937235315434
"ARL3","ENSG00000138175",1.26250215817009e-07,0.776161334641113
"NQO1","ENSG00000181019",1.45299017335835e-07,-0.635123110053043
"DHCR7","ENSG00000172893",1.51994981005565e-07,0.521433217227926
"RRP7A","ENSG00000189306",1.71177821603892e-07,-0.73798399879372
"ZFP36L2","ENSG00000152518",2.3281190732687e-07,-1.12570429447692
"ANXA2","ENSG00000182718",2.65259475720245e-07,-0.567076696666988
"UGT1A10","ENSG00000242515",3.37301027542881e-07,-2.21948710727119
"DSCAM","ENSG00000171587",3.37301027542881e-07,0.833430099239361
"DYNLT3","ENSG00000165169",3.736489733958e-07,0.791304114538249
"ARHGAP11A","ENSG00000198826",3.98412682210165e-07,1.39349613976204
"BCAS1","ENSG00000064787",4.74359574026939e-07,-1.47781079014966
"LMAN2","ENSG00000169223",8.1279721848939e-07,0.702673730380206
"ANP32B","ENSG00000136938",8.30000193808236e-07,-0.862470346513391
"ZNF703","ENSG00000183779",8.58646463620769e-07,1.00655319302271
"COL12A1","ENSG00000111799",1.66631919695915e-06,0.945499767727929
"SALL4","ENSG00000101115",1.94545686580661e-06,-1.06310259419619
"JUN","ENSG00000177606",2.81774193362352e-06,-1.16836482113246
"ARLN","ENSG00000164096",3.36237402769244e-06,-0.887142693409256
"PSCA","ENSG00000167653",3.3670489025976e-06,-1.10950542221781
"ZWILCH","ENSG00000174442",3.48354519394612e-06,1.24633416835851
"XBP1","ENSG00000100219",3.50560142471782e-06,1.06255006323833
"RPL7A","ENSG00000148303",4.82201619160452e-06,0.799955639951213
"L1CAM","ENSG00000198910",5.19736721492649e-06,-0.794092262053606
"TMEM120B","ENSG00000188735",5.29642988978425e-06,1.48736668726463
"AGR3","ENSG00000173467",5.32281890647422e-06,1.97226845669343
"CTSA","ENSG00000064601",5.33561233886723e-06,-0.57001618615229
"OTUD1","ENSG00000165312",5.37633407531345e-06,-0.758322866456913
"DSP","ENSG00000096696",5.61176100601462e-06,0.649440063815353
"CANX","ENSG00000127022",5.61176100601462e-06,-0.710368357443363
"TXNIP","ENSG00000265972",5.6306903676998e-06,0.746987671274604
"HIF1A","ENSG00000100644",7.19399414819188e-06,0.932514375300637
"KAT2B","ENSG00000114166",7.19550958339252e-06,-0.886724750148992
"PLEKHF2","ENSG00000175895",8.82491284474989e-06,-0.598767679708977
"CSTB","ENSG00000160213",9.54531776758682e-06,-0.626264148463853
"H3C7","ENSG00000277775",9.54531776758682e-06,1.36090876328781
"SYTL2","ENSG00000137501",9.90903017409224e-06,-0.744160102057124
