Geneid,SRR21043233,SRR21043315,SRR21043390,SRR21043816,SRR21043817,SRR21043815
ENSG00000175899,0,0,0,0,0,0
ENSG00000127837,220,142,272,110,128,157
ENSG00000090861,448,271,396,167,185,246
ENSG00000275700,65,29,66,23,30,23
ENSG00000085563,3,1,3,6,3,3
ENSG00000023839,61,34,65,44,38,58
ENSG00000114770,637,387,819,361,408,498
ENSG00000164163,50,41,51,23,28,41
ENSG00000204574,422,343,432,241,233,283
ENSG00000161204,16,10,25,12,8,5
ENSG00000160179,4,4,1,1,6,1
ENSG00000108846,7,8,15,10,7,17
ENSG00000118777,235,149,199,120,131,170
ENSG00000163686,12,4,22,13,7,13
ENSG00000097007,32,15,22,10,9,8
ENSG00000115361,0,1,0,0,0,1
ENSG00000120437,149,114,82,44,29,32
ENSG00000182827,118,126,112,65,52,75
ENSG00000102977,23,15,23,8,7,14
ENSG00000159640,5,4,6,3,6,7
ENSG00000087085,37,12,45,22,23,21
ENSG00000131473,200,240,151,144,141,135
ENSG00000123130,3,13,1,0,1,1
ENSG00000151726,101,148,67,74,65,70
ENSG00000075624,835,856,787,657,808,759
ENSG00000266920,0,1,0,0,0,2
ENSG00000077522,0,0,0,0,2,0
ENSG00000131966,214,241,186,164,171,196
ENSG00000137845,181,160,298,205,140,226
ENSG00000114948,4,4,3,1,3,1
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,396,288,460,257,267,329
ENSG00000065457,12,15,7,8,13,12
ENSG00000163050,35,29,58,25,34,31
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,17,7,12,2,8,7
ENSG00000187758,0,0,0,0,0,0
ENSG00000182551,217,249,205,142,166,176
ENSG00000156110,656,547,602,317,317,428
ENSG00000148926,22,26,26,8,13,7
ENSG00000181915,178,197,239,116,97,126
ENSG00000163485,19,22,37,1,4,3
ENSG00000128271,1,5,1,1,4,3
ENSG00000120907,0,0,0,0,0,2
ENSG00000169252,0,1,1,1,3,2
ENSG00000173020,100,79,113,45,52,62
ENSG00000239900,1,1,2,0,2,0
ENSG00000169129,7,2,10,3,2,3
ENSG00000183077,41,24,45,21,15,18
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,53,45,65,26,35,47
ENSG00000169692,129,122,135,77,72,90
ENSG00000138678,13,7,9,14,7,12
ENSG00000188157,924,805,1306,846,729,880
ENSG00000135744,0,0,0,0,0,0
ENSG00000144891,1,0,0,0,0,1
ENSG00000177674,32,46,37,32,21,28
ENSG00000156709,248,187,294,144,139,162
ENSG00000163568,0,0,0,0,0,0
ENSG00000197976,76,60,74,28,32,38
ENSG00000105127,333,244,404,196,181,232
ENSG00000011243,27,26,21,8,12,14
ENSG00000085662,2,1,2,0,1,0
ENSG00000187134,11,6,5,6,2,4
ENSG00000196139,100,113,107,111,158,112
ENSG00000122787,0,2,1,0,5,0
ENSG00000142208,2770,2174,3830,2074,1990,2424
ENSG00000105221,37,18,44,17,15,20
ENSG00000117020,0,0,0,0,0,1
ENSG00000163631,0,1,0,0,0,0
ENSG00000059573,14,17,11,4,14,14
ENSG00000165092,0,0,0,0,0,0
ENSG00000111275,5,5,4,2,0,3
ENSG00000159423,58,50,71,42,48,51
ENSG00000164904,1,0,0,1,0,0
ENSG00000143149,65,65,91,39,42,45
ENSG00000149925,2479,2110,2665,1477,1145,1703
ENSG00000109107,11,13,14,7,4,9
ENSG00000253710,73,42,63,19,35,33
ENSG00000159063,1,6,8,3,2,4
ENSG00000162551,0,0,0,0,2,0
ENSG00000123505,171,187,167,99,100,138
ENSG00000162066,147,102,211,73,102,131
ENSG00000144233,102,71,105,49,58,78
ENSG00000243480,7,0,2,1,2,4
ENSG00000214174,6,4,21,7,10,8
ENSG00000153107,128,87,118,52,47,92
ENSG00000141552,39,33,35,11,13,20
ENSG00000089053,1315,1002,1768,820,788,912
ENSG00000088448,649,507,889,442,386,556
ENSG00000132466,21,16,13,8,7,5
ENSG00000215559,4,0,1,2,2,8
ENSG00000251056,44,17,50,22,27,23
ENSG00000206192,1,1,0,0,2,0
ENSG00000105186,195,146,195,118,88,116
ENSG00000196912,39,16,31,7,16,14
ENSG00000160746,121,100,150,59,44,76
ENSG00000164111,688,736,650,442,404,602
ENSG00000138279,265,287,230,145,153,172
ENSG00000166747,210,132,154,64,107,70
ENSG00000106367,1074,960,1349,507,582,571
ENSG00000183020,10,16,14,12,11,7
ENSG00000161203,19,13,19,5,14,11
ENSG00000132842,182,160,227,97,103,94
ENSG00000221838,46,45,60,22,32,25
ENSG00000011132,13,15,18,10,9,17
ENSG00000163697,181,151,174,143,161,177
ENSG00000171388,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,1,1
ENSG00000239713,0,1,0,0,1,0
ENSG00000110245,0,0,0,0,0,0
ENSG00000189058,29,22,56,85,71,69
ENSG00000130203,0,0,0,0,1,0
ENSG00000184831,53,73,89,34,23,30
ENSG00000256053,371,408,504,292,247,383
ENSG00000142192,364,252,314,234,210,362
ENSG00000062725,3168,2823,3705,2002,2263,2718
ENSG00000157500,3,4,4,1,4,8
ENSG00000165272,17,15,3,8,18,9
ENSG00000086159,0,0,1,0,0,0
ENSG00000103569,0,0,0,0,0,0
ENSG00000109321,140,122,129,40,28,32
ENSG00000143761,56,99,51,31,52,44
ENSG00000004059,21,30,14,10,12,16
