Geneid,SRR21043629,SRR21043677,SRR21043744,SRR21043822,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,1,0,0,3,0,0
ENSG00000127837,198,200,153,176,110,122,128,157
ENSG00000090861,387,356,261,340,167,265,185,246
ENSG00000275700,53,54,28,48,23,29,30,23
ENSG00000085563,3,4,7,0,6,8,3,3
ENSG00000023839,47,53,37,45,44,47,38,58
ENSG00000114770,472,566,340,295,361,546,408,498
ENSG00000164163,38,43,28,27,23,61,28,41
ENSG00000204574,317,377,312,251,241,325,233,283
ENSG00000161204,20,15,15,13,12,11,8,5
ENSG00000160179,2,4,3,0,1,4,6,1
ENSG00000108846,24,21,12,10,10,17,7,17
ENSG00000118777,205,174,159,127,120,202,131,170
ENSG00000163686,17,12,7,8,13,4,7,13
ENSG00000097007,8,11,14,8,10,13,9,8
ENSG00000115361,0,0,0,1,0,0,0,1
ENSG00000120437,74,87,94,76,44,60,29,32
ENSG00000182827,104,111,108,85,65,85,52,75
ENSG00000102977,6,17,24,9,8,11,7,14
ENSG00000159640,4,3,2,1,3,8,6,7
ENSG00000087085,23,23,27,18,22,18,23,21
ENSG00000131473,109,170,241,127,144,137,141,135
ENSG00000123130,2,2,3,1,0,4,1,1
ENSG00000151726,81,62,100,77,74,121,65,70
ENSG00000075624,581,816,709,664,657,858,808,759
ENSG00000266920,1,1,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,195,233,213,111,164,203,171,196
ENSG00000137845,237,228,234,64,205,212,140,226
ENSG00000114948,1,3,2,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,331,338,311,188,257,338,267,329
ENSG00000065457,13,14,7,8,8,7,13,12
ENSG00000163050,36,44,30,16,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,11,12,10,19,2,4,8,7
ENSG00000187758,0,1,0,0,0,0,0,0
ENSG00000182551,110,236,170,160,142,200,166,176
ENSG00000156110,532,558,458,341,317,449,317,428
ENSG00000148926,13,26,10,16,8,17,13,7
ENSG00000181915,157,206,163,103,116,172,97,126
ENSG00000163485,11,31,16,16,1,2,4,3
ENSG00000128271,1,1,0,0,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,1,0,4,1,2,3,2
ENSG00000173020,60,97,72,70,45,52,52,62
ENSG00000239900,0,4,2,1,0,1,2,0
ENSG00000169129,3,9,4,1,3,6,2,3
ENSG00000183077,39,49,30,30,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,51,50,34,31,26,41,35,47
ENSG00000169692,102,106,111,73,77,95,72,90
ENSG00000138678,15,13,18,16,14,17,7,12
ENSG00000188157,1100,1255,930,306,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,1,1,0,0,2,0,1
ENSG00000177674,17,34,38,16,32,34,21,28
ENSG00000156709,207,284,185,174,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,63,75,50,57,28,40,32,38
ENSG00000105127,290,276,246,151,196,304,181,232
ENSG00000011243,19,17,22,26,8,24,12,14
ENSG00000085662,1,1,2,2,0,0,1,0
ENSG00000187134,9,4,5,1,6,8,2,4
ENSG00000196139,42,69,81,49,111,136,158,112
ENSG00000122787,0,2,2,0,0,1,5,0
ENSG00000142208,2993,2866,2354,1293,2074,2868,1990,2424
ENSG00000105221,40,26,28,17,17,29,15,20
ENSG00000117020,0,0,1,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,11,11,13,8,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,5,2,2,8,2,3,0,3
ENSG00000159423,59,82,45,49,42,47,48,51
ENSG00000164904,1,0,2,2,1,0,0,0
ENSG00000143149,71,75,83,34,39,50,42,45
ENSG00000149925,2045,1951,2131,1138,1477,2045,1145,1703
ENSG00000109107,13,11,7,7,7,7,4,9
ENSG00000253710,69,77,51,36,19,49,35,33
ENSG00000159063,2,2,7,1,3,4,2,4
ENSG00000162551,0,1,0,0,0,0,2,0
ENSG00000123505,136,184,157,94,99,170,100,138
ENSG00000162066,188,168,121,108,73,160,102,131
ENSG00000144233,80,73,73,52,49,64,58,78
ENSG00000243480,4,2,2,1,1,3,2,4
ENSG00000214174,4,8,3,3,7,17,10,8
ENSG00000153107,99,80,75,82,52,99,47,92
ENSG00000141552,20,47,22,36,11,30,13,20
ENSG00000089053,1151,1376,1108,729,820,1147,788,912
ENSG00000088448,593,617,450,326,442,576,386,556
ENSG00000132466,14,18,14,11,8,5,7,5
ENSG00000215559,4,2,4,2,2,5,2,8
ENSG00000251056,41,37,32,23,22,36,27,23
ENSG00000206192,0,2,1,0,0,0,2,0
ENSG00000105186,201,212,164,102,118,174,88,116
ENSG00000196912,25,17,25,21,7,18,16,14
ENSG00000160746,109,105,116,77,59,82,44,76
ENSG00000164111,522,662,590,315,442,636,404,602
ENSG00000138279,219,242,267,174,145,152,153,172
ENSG00000166747,131,138,116,127,64,110,107,70
ENSG00000106367,1108,1424,849,741,507,714,582,571
ENSG00000183020,11,7,13,18,12,8,11,7
ENSG00000161203,9,38,16,17,5,13,14,11
ENSG00000132842,158,196,147,140,97,107,103,94
ENSG00000221838,55,54,43,30,22,40,32,25
ENSG00000011132,18,13,17,16,10,20,9,17
ENSG00000163697,139,156,194,142,143,186,161,177
ENSG00000171388,0,0,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,0,1,1,1
ENSG00000239713,0,0,0,0,0,1,1,0
ENSG00000110245,0,0,0,0,0,0,0,0
ENSG00000189058,28,29,29,9,85,80,71,69
ENSG00000130203,0,1,3,0,0,2,1,0
ENSG00000184831,61,76,56,37,34,44,23,30
ENSG00000256053,445,362,379,182,292,447,247,383
ENSG00000142192,325,277,186,196,234,432,210,362
ENSG00000062725,2855,3218,2442,1588,2002,2996,2263,2718
ENSG00000157500,5,6,4,5,1,2,4,8
ENSG00000165272,4,10,11,9,8,12,18,9
ENSG00000086159,0,2,0,0,0,1,0,0
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000109321,123,170,203,95,40,51,28,32
ENSG00000143761,31,50,53,51,31,74,52,44
ENSG00000004059,22,20,18,21,10,20,12,16
ENSG00000101199,139,182,148,145,122,165,128,142
ENSG00000242247,53,43,69,67,25,50,30,33
ENSG00000124198,244,276,246,224,123,227,165,165
ENSG00000132254,65,74,68,47,52,91,53,71
ENSG00000134884,246,322,223,116,252,282,208,265
ENSG00000175220,18,28,26,18,18,26,22,22
ENSG00000147256,6,8,4,6,0,0,0,0
ENSG00000196914,300,259,239,130,205,317,206,273
ENSG00000116584,48,35,33,46,26,24,19,21
ENSG00000129675,0,0,0,0,0,0,0,0
ENSG00000131089,99,88,94,72,44,53,49,66
ENSG00000054267,306,389,303,189,175,285,224,272
ENSG00000182196,387,426,282,173,290,466,254,370
ENSG00000144746,195,228,144,137,101,135,102,117
ENSG00000241553,20,33,17,23,6,23,20,11
ENSG00000162704,28,61,41,25,42,60,46,50
ENSG00000136950,305,343,257,237,185,212,155,199
ENSG00000128989,153,223,210,158,188,220,225,232
ENSG00000157399,0,0,0,0,0,0,0,0
ENSG00000104763,30,19,24,12,33,33,26,36
ENSG00000102048,14,10,18,10,20,31,20,22
ENSG00000112249,211,186,182,131,153,201,156,180
ENSG00000198356,96,138,106,86,76,115,63,87
ENSG00000066279,4,6,3,4,1,3,0,0
ENSG00000106819,0,0,0,0,2,2,1,2
ENSG00000123268,10,8,5,4,4,7,1,9
ENSG00000162772,9,3,15,12,4,7,7,13
ENSG00000169136,141,170,120,86,78,89,64,94
ENSG00000118217,47,47,62,29,47,58,31,58
ENSG00000213676,170,224,240,82,159,194,137,179
ENSG00000144848,132,153,163,73,137,188,148,173
ENSG00000138363,140,216,152,150,107,104,95,96
ENSG00000166454,137,140,113,36,137,158,113,139
ENSG00000145246,0,0,0,1,0,0,0,0
ENSG00000058063,149,183,139,80,73,91,63,93
ENSG00000143153,348,393,307,162,255,384,228,298
ENSG00000017260,332,339,236,322,114,244,182,159
ENSG00000165629,2931,3969,2830,1751,2075,2860,1706,2449
ENSG00000099624,86,147,83,92,40,63,61,51
ENSG00000135390,702,1204,1142,812,676,986,646,857
ENSG00000154518,428,441,270,176,223,241,182,223
ENSG00000167863,909,1480,1249,736,969,1311,850,1100
ENSG00000169020,1227,1496,1267,563,1077,1396,858,1163
ENSG00000241468,137,323,199,185,131,199,219,172
ENSG00000106246,7,2,8,4,12,8,3,2
ENSG00000241837,664,1104,843,495,420,660,417,620
ENSG00000125375,21,31,23,5,17,30,19,21
ENSG00000033627,3,5,1,2,7,2,2,4
ENSG00000117410,10,20,14,17,8,10,10,10
