"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",1.54878708160205e-88,3.02414723156638
"TFF1","ENSG00000160182",9.43187249649809e-35,1.93833881781553
"RET","ENSG00000165731",5.01917401277807e-22,2.36189411553822
"ASCL1","ENSG00000139352",1.24925182871364e-20,1.94230810212616
"CELSR2","ENSG00000143126",1.28695162925283e-20,1.37020820403742
"TPD52L1","ENSG00000111907",2.24585541194994e-20,1.14264779581002
"SDK2","ENSG00000069188",1.6356324223467e-19,3.10314205039146
"TST","ENSG00000128311",1.5055203659381e-18,1.45198259427954
"SFXN2","ENSG00000156398",3.01674855878225e-18,2.86048958876478
"ARHGAP11A","ENSG00000198826",5.05284025500067e-18,1.5673025440348
"PSCA","ENSG00000167653",5.75850928018621e-18,-1.74392938377502
"RAPGEFL1","ENSG00000108352",5.75850928018621e-18,1.68547624845276
"PRR11","ENSG00000068489",1.88022986421728e-17,1.53339245201725
"CLIP4","ENSG00000115295",1.45605342286232e-16,-1.66770044946364
"PGR","ENSG00000082175",1.52763640990996e-15,2.26807918213851
"KRT15","ENSG00000171346",2.97591026406028e-15,1.89828707892574
"AGR2","ENSG00000106541",6.20054392772442e-15,1.19206405608391
"CALCR","ENSG00000004948",6.42831995274238e-15,1.40360627078256
"KRT81","ENSG00000205426",1.50313749614211e-14,-1.02978267647756
"SALL4","ENSG00000101115",7.39802438046179e-14,-1.44633419962647
"ABHD2","ENSG00000140526",1.0067679094264e-13,1.20007265802243
"CDK1","ENSG00000170312",2.12074211178203e-13,1.75425554624377
"KIF2C","ENSG00000142945",2.95716435739196e-13,2.1139467701395
"ID2","ENSG00000115738",7.14992447138166e-13,-1.26992007217749
"POGLUT3","ENSG00000178202",9.88240630378505e-13,-1.74376159314969
"LMBR1","ENSG00000105983",1.09415365345753e-12,1.29399357583308
"HMMR","ENSG00000072571",1.18750272879989e-12,1.40185815127787
"LACTB","ENSG00000103642",1.20527186406391e-12,-0.878204213708376
"ZFP36L2","ENSG00000152518",1.71506353444355e-12,-1.28800305619053
"TMED8","ENSG00000100580",2.13912171678609e-12,1.62050130207282
"AMZ1","ENSG00000174945",2.81966049845535e-12,1.49307534140232
"H4C1","ENSG00000278637",3.77285720449436e-12,1.47874038471961
"LMNB1","ENSG00000113368",9.7456992985407e-12,1.46786334957653
"BCAS1","ENSG00000064787",1.31837993844092e-11,-1.57269269289964
"APOD","ENSG00000189058",1.64802573452485e-11,-1.97558944243932
"AREG","ENSG00000109321",2.11776322276793e-11,1.71455237286653
"CENPI","ENSG00000102384",2.51780806346299e-11,1.46869328020384
"H1-5","ENSG00000184357",4.27830901685217e-11,1.69838217006677
"TENT5C","ENSG00000183508",5.7927439593076e-11,1.01355170731732
"HMGB2","ENSG00000164104",6.67446522308907e-11,1.14915547817487
"PRC1","ENSG00000198901",8.13496594472863e-11,1.55739117499391
"GRHL3","ENSG00000158055",1.27727689320103e-10,-1.33274265076744
"NULL","",1.51945428106079e-10,-0.647816255305615
"KITLG","ENSG00000049130",1.79895074234357e-10,-1.05220063466735
"TMEM164","ENSG00000157600",1.79895074234357e-10,2.15087301219598
"MKI67","ENSG00000148773",1.87508728841717e-10,1.50386994520361
"EPS15L1","ENSG00000127527",2.06032238490438e-10,0.963819544640799
"ST8SIA4","ENSG00000113532",2.1020312127387e-10,-1.25785092866582
"NPNT","ENSG00000168743",2.26108284699092e-10,-0.917796281885648
"KIF11","ENSG00000138160",3.69069788397226e-10,1.46946393580123
"PDIA6","ENSG00000143870",1.04161030229316e-09,0.761456513674965
"LGALS3","ENSG00000131981",1.08837807473378e-09,-1.06048889320102
"FAM107B","ENSG00000065809",1.11568468079967e-09,-1.19968681506431
"CA5B","ENSG00000169239",1.14600030759197e-09,-1.31984925198108
"UBP1","ENSG00000153560",1.31689019909889e-09,-0.884133919037173
"DOK7","ENSG00000175920",1.44963064962314e-09,1.39717515044313
"NUSAP1","ENSG00000137804",1.55198061147277e-09,1.51965995327346
"RPN1","ENSG00000163902",1.98402392185101e-09,0.711818110823806
"CENPN","ENSG00000166451",2.22947332976701e-09,1.04504545628939
"RPS4X","ENSG00000198034",2.68650378542199e-09,0.887507920791534
"UCP2","ENSG00000175567",4.29012576720729e-09,0.755524958823178
"AOX1","ENSG00000138356",4.29012576720729e-09,-1.82488549972338
"IQGAP3","ENSG00000183856",4.34120334768382e-09,2.00935694792803
"UGT1A8","ENSG00000242366",5.88027624831093e-09,-1.98546478223839
"CAB39L","ENSG00000102547",6.08495215715933e-09,-1.22600738420091
"TUBA1B","ENSG00000123416",6.52976043670384e-09,0.943226187534435
"ZNF703","ENSG00000183779",6.73956803573612e-09,0.943505987721809
"MYB","ENSG00000118513",6.91747584605993e-09,1.1305545585597
"IGFBP4","ENSG00000141753",9.26525784016238e-09,1.64622577925367
"TMEM120B","ENSG00000188735",1.04270877488651e-08,1.56605735881805
"PREX1","ENSG00000124126",1.08357827111799e-08,1.26329024826623
"H3C7","ENSG00000277775",1.19102417914539e-08,1.69129256201212
"CLMN","ENSG00000165959",1.64111679035781e-08,-1.14449652422639
"HIF1A","ENSG00000100644",2.51628590385641e-08,0.992867374813285
"CETN2","ENSG00000147400",3.11362025993889e-08,0.784485136660466
"SPC24","ENSG00000161888",3.2069908168418e-08,2.39517608727211
