Geneid,SRR21043244,SRR21043483,SRR21043640,SRR21043912,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,2,0,2,0,3,0,0
ENSG00000127837,177,207,165,246,110,122,128,157
ENSG00000090861,317,352,321,389,167,265,185,246
ENSG00000275700,52,64,55,59,23,29,30,23
ENSG00000085563,7,2,6,8,6,8,3,3
ENSG00000023839,59,80,55,106,44,47,38,58
ENSG00000114770,786,887,716,928,361,546,408,498
ENSG00000164163,39,46,54,49,23,61,28,41
ENSG00000204574,380,425,408,416,241,325,233,283
ENSG00000161204,18,14,16,21,12,11,8,5
ENSG00000160179,1,4,6,2,1,4,6,1
ENSG00000108846,21,13,23,31,10,17,7,17
ENSG00000118777,193,243,204,298,120,202,131,170
ENSG00000163686,10,20,11,19,13,4,7,13
ENSG00000097007,9,11,9,19,10,13,9,8
ENSG00000115361,0,0,0,1,0,0,0,1
ENSG00000120437,70,54,64,66,44,60,29,32
ENSG00000182827,110,122,98,121,65,85,52,75
ENSG00000102977,18,13,13,17,8,11,7,14
ENSG00000159640,15,6,7,11,3,8,6,7
ENSG00000087085,45,58,36,53,22,18,23,21
ENSG00000131473,126,150,146,146,144,137,141,135
ENSG00000123130,4,4,2,3,0,4,1,1
ENSG00000151726,91,76,84,89,74,121,65,70
ENSG00000075624,713,836,733,996,657,858,808,759
ENSG00000266920,0,3,1,0,0,2,0,2
ENSG00000077522,1,0,0,0,0,0,2,0
ENSG00000131966,208,276,201,234,164,203,171,196
ENSG00000137845,231,280,252,292,205,212,140,226
ENSG00000114948,0,1,2,0,1,3,3,1
ENSG00000087116,0,1,0,0,0,0,0,0
ENSG00000197381,368,445,387,460,257,338,267,329
ENSG00000065457,20,27,17,9,8,7,13,12
ENSG00000163050,38,48,30,55,25,33,34,31
ENSG00000155897,0,1,0,0,0,0,0,0
ENSG00000162104,14,8,9,11,2,4,8,7
ENSG00000187758,1,0,0,0,0,0,0,0
ENSG00000182551,183,241,180,217,142,200,166,176
ENSG00000156110,494,627,573,549,317,449,317,428
ENSG00000148926,5,12,13,28,8,17,13,7
ENSG00000181915,194,161,135,186,116,172,97,126
ENSG00000163485,4,6,6,2,1,2,4,3
ENSG00000128271,0,0,1,0,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,3,1,3,1,1,2,3,2
ENSG00000173020,91,96,67,106,45,52,52,62
ENSG00000239900,3,0,0,0,0,1,2,0
ENSG00000169129,3,1,7,1,3,6,2,3
ENSG00000183077,38,42,33,37,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,54,71,52,56,26,41,35,47
ENSG00000169692,141,147,129,165,77,95,72,90
ENSG00000138678,17,17,16,21,14,17,7,12
ENSG00000188157,1262,1418,1071,1242,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,26,30,32,20,32,34,21,28
ENSG00000156709,215,241,198,293,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,47,64,60,74,28,40,32,38
ENSG00000105127,269,286,259,366,196,304,181,232
ENSG00000011243,16,21,16,21,8,24,12,14
ENSG00000085662,2,1,1,0,0,0,1,0
ENSG00000187134,6,4,8,5,6,8,2,4
ENSG00000196139,127,174,145,169,111,136,158,112
ENSG00000122787,0,1,2,1,0,1,5,0
ENSG00000142208,2812,3212,2882,3524,2074,2868,1990,2424
ENSG00000105221,39,43,24,39,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,7,16,6,9,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,2,5,6,4,2,3,0,3
ENSG00000159423,80,71,62,87,42,47,48,51
ENSG00000164904,2,0,1,2,1,0,0,0
ENSG00000143149,64,73,71,82,39,50,42,45
ENSG00000149925,1730,2074,2176,2185,1477,2045,1145,1703
ENSG00000109107,4,7,11,7,7,7,4,9
ENSG00000253710,52,65,62,53,19,49,35,33
ENSG00000159063,5,3,8,3,3,4,2,4
ENSG00000162551,0,0,0,0,0,0,2,0
ENSG00000123505,135,141,172,154,99,170,100,138
ENSG00000162066,190,224,175,210,73,160,102,131
ENSG00000144233,70,88,76,92,49,64,58,78
ENSG00000243480,2,0,5,4,1,3,2,4
ENSG00000214174,5,16,9,20,7,17,10,8
ENSG00000153107,99,105,90,116,52,99,47,92
ENSG00000141552,33,41,26,40,11,30,13,20
ENSG00000089053,1143,1318,1126,1424,820,1147,788,912
ENSG00000088448,692,744,610,789,442,576,386,556
ENSG00000132466,15,23,9,18,8,5,7,5
ENSG00000215559,7,5,6,2,2,5,2,8
ENSG00000251056,32,45,34,53,22,36,27,23
ENSG00000206192,1,5,1,2,0,0,2,0
ENSG00000105186,196,209,185,209,118,174,88,116
ENSG00000196912,19,28,18,24,7,18,16,14
ENSG00000160746,86,109,124,145,59,82,44,76
ENSG00000164111,532,579,586,631,442,636,404,602
ENSG00000138279,206,245,226,260,145,152,153,172
ENSG00000166747,147,142,133,176,64,110,107,70
ENSG00000106367,872,999,887,1159,507,714,582,571
ENSG00000183020,6,10,20,21,12,8,11,7
ENSG00000161203,16,17,20,16,5,13,14,11
ENSG00000132842,115,141,112,179,97,107,103,94
