"gene","ensembl_id","stat","log2FoldChange"
"PPIAL4A","ENSG00000263353",4.05651097189691e-09,-0.660560155832916
"RPL6","ENSG00000089009",5.72197301608007e-09,0.536843541933225
"RPL12","ENSG00000197958",2.06331183941791e-07,0.691115790812726
"LMAN2","ENSG00000169223",2.91973970692903e-07,0.491093740357194
"PIGP","ENSG00000185808",8.43313084372586e-07,-0.825063890878228
"RPS15","ENSG00000115268",7.83356028419317e-06,0.440151938600596
"RPS4X","ENSG00000198034",7.83356028419317e-06,0.528219998979158
"SRSF1","ENSG00000136450",7.83356028419317e-06,-0.378519094768323
"HM13","ENSG00000101294",1.05407291901534e-05,-0.559130727454226
"ELOB","ENSG00000103363",1.74702455504514e-05,0.39051865217193
"ZNF808","ENSG00000198482",1.74702455504514e-05,-0.766504446217626
"XPO1","ENSG00000082898",3.01105681392962e-05,-0.353125097966586
"SUPT4H1","ENSG00000213246",3.01105681392962e-05,0.49314864833422
"NULL","",4.40277971102154e-05,-0.437246248685801
"ZNF141","ENSG00000131127",4.40277971102154e-05,-0.486372690050485
"U2AF1","ENSG00000160201",5.60098877779268e-05,0.375597617296439
"RPL9","ENSG00000163682",6.17055379534557e-05,0.439742015747341
"RPL22","ENSG00000116251",6.17055379534557e-05,-0.325469005981822
"HSP90AB1","ENSG00000096384",6.82635771395222e-05,0.361511968145837
"ATOSA","ENSG00000047346",6.82635771395222e-05,-0.359467981339645
"PSME4","ENSG00000068878",8.0292268127997e-05,-0.504204815605059
"LAMP1","ENSG00000185896",9.82602429475402e-05,0.366395762720801
"PSMA3","ENSG00000100567",9.92262344700063e-05,-0.367200307147738
"RPL7A","ENSG00000148303",0.00010011772829569,0.469507517689768
"OTUD1","ENSG00000165312",0.000125255357412558,-0.454723003158015
"RPS27","ENSG00000177954",0.000218183344911677,-0.302264336724922
"CETN2","ENSG00000147400",0.000243502240722966,0.457835103280476
"NSDHL","ENSG00000147383",0.00025505733918968,-0.314458586311411
"SMC5","ENSG00000198887",0.00025505733918968,-0.438756031702751
"RPS21","ENSG00000171858",0.000259538495559851,0.308242607021951
"UBAP2L","ENSG00000143569",0.000259538495559851,-0.46158677344875
"INTS3","ENSG00000143624",0.000293559790387693,-0.354841572764268
"RAB10","ENSG00000084733",0.000327689526638961,-0.301873562946279
"ATG101","ENSG00000123395",0.000342468292834931,0.567641009370958
"C12orf57","ENSG00000111678",0.000360129393568774,0.648961197470125
"OS9","ENSG00000135506",0.000360129393568774,0.580780058281605
"NBPF12","ENSG00000268043",0.000360129393568774,-0.298275655695351
"UBL5","ENSG00000198258",0.000410517360186672,0.36406697633607
"ST14","ENSG00000149418",0.000410517360186672,-0.358785919631356
"ALKBH5","ENSG00000091542",0.000410517360186672,0.784539833266901
"MED10","ENSG00000133398",0.000429284152105084,-0.791986100470729
"COBLL1","ENSG00000082438",0.000429284152105084,-0.380623068292796
"ABHD17C","ENSG00000136379",0.000446057963269493,-0.50713084546583
"RPL36AL","ENSG00000165502",0.000461327035033721,-0.283109396835375
"ZFAND3","ENSG00000156639",0.000483178735345589,-0.432435327476794
"LLGL2","ENSG00000073350",0.000496625832957399,0.30378050857469
"FAM107B","ENSG00000065809",0.000602562461507165,-0.45257429516621
"BRD2","ENSG00000204256",0.000602562461507165,-0.488512912950034
"ZBTB8OS","ENSG00000176261",0.00061296048399127,-0.357989501330519
"ARLN","ENSG00000164096",0.000617305067281654,-0.459479884829747
"ANP32A","ENSG00000140350",0.000617305067281654,-0.487233932701184
"PCBP2","ENSG00000197111",0.000661613248840998,0.391468409729268
"TMEM59","ENSG00000116209",0.000661613248840998,-0.330188923397916
"LSM5","ENSG00000106355",0.000745880969362985,-0.680461322205379
"NDUFS5","ENSG00000168653",0.000745880969362985,-0.405364534380629
"RPL13A","ENSG00000142541",0.000900937332182056,0.512988877277554
"WAC","ENSG00000095787",0.000950463552132316,-0.412489122667691
"COX20","ENSG00000203667",0.000958536602409913,-0.740375273502957
"PANK3","ENSG00000120137",0.000986683462751787,-0.291729443818738
"ISCU","ENSG00000136003",0.00100125898075665,0.441688554239676
"SPINT1","ENSG00000166145",0.00112802747266244,0.317607453389136
"ZNF721","ENSG00000182903",0.00122440128818928,-0.681021192114203
"LGALS3","ENSG00000131981",0.00135534687351073,-0.354774749546097
"NPY1R","ENSG00000164128",0.00135534687351073,-0.333729521391684
"HSPB1","ENSG00000106211",0.00135534687351073,-0.239919027510314
"ZNF354A","ENSG00000169131",0.00147989578398526,-0.421287271140084
"RBBP4","ENSG00000162521",0.00151334067864369,-0.415178845424184
"RHOA","ENSG00000067560",0.00173466629294874,0.28776448907994
"ABAT","ENSG00000183044",0.00188470347686233,0.625574367496541
"SLC19A2","ENSG00000117479",0.00209894578980832,0.500931587364902
"DENR","ENSG00000139726",0.00220784957361107,-0.279306143745117
"MRFAP1","ENSG00000179010",0.00220784957361107,-0.26263498266236
"HIF1A","ENSG00000100644",0.00221314797810976,0.510428997971702
"IDH2","ENSG00000182054",0.00221314797810976,-0.337670882946146
"TRIB3","ENSG00000101255",0.00221468604426604,-0.342330382368825
"JUN","ENSG00000177606",0.00227951550323417,-0.564911863418294
"TMEM123","ENSG00000152558",0.00249188431225208,-0.550510440381137
"EEF1E1","ENSG00000124802",0.00249188431225208,-0.293077679462258
"P4HTM","ENSG00000178467",0.00265804067099871,0.716639240664188
"RPS15A","ENSG00000134419",0.00265804067099871,0.363851535448948
