NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	37	0.4304546	1.4321833	0.08183633	0.5531948	0.338	1761	tags=32%, list=19%, signal=40%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	24	0.51217645	1.3371327	0.053784862	0.6242293	0.556	1173	tags=33%, list=12%, signal=38%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	152	0.29698154	1.3053614	0.0	0.5390352	0.64	1729	tags=28%, list=18%, signal=33%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	107	0.2945485	1.2614801	0.082987554	0.59290075	0.737	2020	tags=32%, list=21%, signal=40%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	48	0.33019134	1.2162409	0.12890625	0.6945473	0.801	2315	tags=42%, list=25%, signal=55%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	111	0.27606654	1.174237	0.114583336	0.7501389	0.877	1964	tags=28%, list=21%, signal=35%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	21	0.3970984	1.150938	0.0729783	0.7264715	0.895	1108	tags=33%, list=12%, signal=38%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	51	0.35558394	1.1494405	0.3015873	0.6376627	0.895	2105	tags=31%, list=22%, signal=40%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	99	0.2712913	1.1419373	0.16071428	0.5870901	0.895	1979	tags=28%, list=21%, signal=35%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	109	0.27303526	1.1388582	0.1960396	0.5439762	0.911	1865	tags=25%, list=20%, signal=31%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	46	0.2717387	1.1112298	0.18787879	0.5795128	0.955	2254	tags=35%, list=24%, signal=46%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	121	0.26041847	1.096698	0.25948104	0.6000201	0.955	1628	tags=25%, list=17%, signal=30%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	127	0.29218242	1.0906516	0.24501993	0.57861656	0.955	1598	tags=26%, list=17%, signal=31%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	176	0.19749652	0.9712152	0.43061224	1.0	1.0	2068	tags=24%, list=22%, signal=31%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	93	0.24343938	0.93695307	0.52244896	1.0	1.0	1460	tags=18%, list=16%, signal=21%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	73	0.22191916	0.90999675	0.6226804	1.0	1.0	2333	tags=33%, list=25%, signal=43%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	84	0.22011565	0.8943607	0.70672095	1.0	1.0	1394	tags=19%, list=15%, signal=22%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	70	0.2211306	0.8834254	0.66088635	1.0	1.0	2056	tags=27%, list=22%, signal=34%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	139	0.17731279	0.8797813	0.7128906	1.0	1.0	1253	tags=14%, list=13%, signal=16%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	18	0.31662032	0.8573253	0.67676765	1.0	1.0	1215	tags=22%, list=13%, signal=25%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE		103	0.2118805	0.78473675	0.7983539	1.0	1.0	2502	tags=26%, list=27%, signal=35%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		99	0.17469999	0.7716283	0.9330544	1.0	1.0	1841	tags=23%, list=20%, signal=29%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		78	0.1897665	0.7711669	0.76842105	1.0	1.0	2649	tags=33%, list=28%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		124	0.20385939	0.76383543	0.73015875	1.0	1.0	2340	tags=31%, list=25%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		145	0.16594954	0.7404591	0.88866395	1.0	1.0	2574	tags=28%, list=27%, signal=37%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		21	0.22878686	0.71495295	0.82329315	1.0	1.0	1378	tags=19%, list=15%, signal=22%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		106	0.17372286	0.6100656	0.96793586	1.0	1.0	2950	tags=37%, list=31%, signal=53%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		76	0.13538992	0.5853452	0.9665971	0.9959414	1.0	2770	tags=28%, list=29%, signal=39%	
