Geneid,SRR21043632,SRR21043680,SRR21043747,SRR21043825,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,0,0,0,3,0,0
ENSG00000127837,173,161,258,248,110,122,128,157
ENSG00000090861,292,284,364,374,167,265,185,246
ENSG00000275700,38,31,46,60,23,29,30,23
ENSG00000085563,1,5,1,4,6,8,3,3
ENSG00000023839,61,55,81,61,44,47,38,58
ENSG00000114770,545,433,773,536,361,546,408,498
ENSG00000164163,39,55,33,26,23,61,28,41
ENSG00000204574,254,400,365,344,241,325,233,283
ENSG00000161204,19,7,21,12,12,11,8,5
ENSG00000160179,1,4,3,1,1,4,6,1
ENSG00000108846,13,14,28,22,10,17,7,17
ENSG00000118777,207,241,261,184,120,202,131,170
ENSG00000163686,12,8,22,10,13,4,7,13
ENSG00000097007,16,16,13,14,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,63,72,55,95,44,60,29,32
ENSG00000182827,71,97,141,101,65,85,52,75
ENSG00000102977,12,16,10,7,8,11,7,14
ENSG00000159640,5,5,8,2,3,8,6,7
ENSG00000087085,24,18,25,16,22,18,23,21
ENSG00000131473,85,181,126,161,144,137,141,135
ENSG00000123130,1,6,4,3,0,4,1,1
ENSG00000151726,66,87,57,64,74,121,65,70
ENSG00000075624,615,932,833,994,657,858,808,759
ENSG00000266920,0,0,2,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,175,281,202,149,164,203,171,196
ENSG00000137845,201,253,268,66,205,212,140,226
ENSG00000114948,1,3,0,3,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,324,332,417,344,257,338,267,329
ENSG00000065457,5,17,10,7,8,7,13,12
ENSG00000163050,33,40,40,32,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,14,12,13,21,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,136,240,159,221,142,200,166,176
ENSG00000156110,514,577,629,451,317,449,317,428
ENSG00000148926,13,21,30,21,8,17,13,7
ENSG00000181915,150,180,151,114,116,172,97,126
ENSG00000163485,12,21,11,15,1,2,4,3
ENSG00000128271,1,0,0,2,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,1,0,0,2,1,2,3,2
ENSG00000173020,61,73,108,98,45,52,52,62
ENSG00000239900,1,0,0,1,0,1,2,0
ENSG00000169129,3,3,10,7,3,6,2,3
ENSG00000183077,27,42,35,49,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,72,64,54,44,26,41,35,47
ENSG00000169692,102,101,118,101,77,95,72,90
ENSG00000138678,9,7,15,17,14,17,7,12
ENSG00000188157,989,1096,1422,339,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,20,51,30,28,32,34,21,28
ENSG00000156709,165,255,216,249,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,66,35,70,88,28,40,32,38
ENSG00000105127,270,287,351,254,196,304,181,232
ENSG00000011243,13,28,12,28,8,24,12,14
ENSG00000085662,0,3,5,2,0,0,1,0
ENSG00000187134,2,4,4,6,6,8,2,4
ENSG00000196139,66,188,96,100,111,136,158,112
ENSG00000122787,0,1,4,2,0,1,5,0
ENSG00000142208,2614,2760,3890,2013,2074,2868,1990,2424
ENSG00000105221,46,26,61,27,17,29,15,20
ENSG00000117020,0,0,2,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,4,10,4,7,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,4,4,4,6,2,3,0,3
ENSG00000159423,55,49,84,92,42,47,48,51
ENSG00000164904,1,2,3,0,1,0,0,0
ENSG00000143149,45,76,72,40,39,50,42,45
ENSG00000149925,1611,1997,2031,1632,1477,2045,1145,1703
ENSG00000109107,7,9,9,7,7,7,4,9
ENSG00000253710,52,60,82,63,19,49,35,33
ENSG00000159063,4,3,4,4,3,4,2,4
ENSG00000162551,0,1,0,0,0,0,2,0
ENSG00000123505,144,199,147,104,99,170,100,138
ENSG00000162066,156,132,232,139,73,160,102,131
