"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",1.18520409056833e-43,2.28049421737794
"TFF1","ENSG00000160182",8.4985847866378e-36,1.46042987495254
"AGR2","ENSG00000106541",6.23755942096652e-24,1.36733729648477
"SDK2","ENSG00000069188",2.79836634859124e-23,3.0804712072649
"CALCR","ENSG00000004948",2.40153670981372e-21,1.46841258259971
"ASCL1","ENSG00000139352",1.32150890069371e-20,1.77994012788283
"RET","ENSG00000165731",1.38124300235492e-18,2.16555865308855
"TPD52L1","ENSG00000111907",2.475891234372e-18,0.975444795718749
"CDK1","ENSG00000170312",2.73769516454121e-18,1.60515099351246
"KRT15","ENSG00000171346",4.06601967646877e-17,1.76578006519606
"SFXN2","ENSG00000156398",2.34021421676911e-15,2.27925536711464
"ARL3","ENSG00000138175",3.27966425572422e-14,0.849641492140139
"CELSR2","ENSG00000143126",3.20436245386388e-13,1.07683661964006
"AGR3","ENSG00000173467",4.38209990904523e-13,2.14523681224577
"KRT81","ENSG00000205426",8.30438900499347e-13,-1.0149848078351
"XBP1","ENSG00000100219",8.90413988263615e-13,1.18659225243134
"PRR11","ENSG00000068489",1.52108710087724e-12,1.1174191313541
"BCAS1","ENSG00000064787",2.33096820736168e-12,-1.56706201850364
"TMEM64","ENSG00000180694",9.74435951943992e-12,1.63117994768585
"TUBA1B","ENSG00000123416",5.6118718582017e-11,1.02642820878474
"ARHGAP11A","ENSG00000198826",1.07810105883144e-10,1.19044396988314
"RPL6","ENSG00000089009",1.68677084054544e-10,0.792477984374466
"TST","ENSG00000128311",2.60997897970132e-10,1.00281013770163
"PRC1","ENSG00000198901",3.49944831645415e-10,1.44318291780223
"FAM107B","ENSG00000065809",5.27417703533458e-10,-1.04539050449209
"H4C1","ENSG00000278637",1.35703191649591e-09,1.23666056270526
"PREX1","ENSG00000124126",1.71975893467046e-09,1.12197487505506
"PABPC3","ENSG00000151846",2.14197076228173e-09,-1.86935940165911
"HMMR","ENSG00000072571",2.8468365327907e-09,1.08143541085422
"TBC1D9","ENSG00000109436",2.99780760931639e-09,-0.755697965099591
"ID2","ENSG00000115738",4.50473227066466e-09,-0.93332083424554
"OTUD1","ENSG00000165312",6.2519823854998e-09,-0.89637883656791
"PSCA","ENSG00000167653",7.32606853722831e-09,-1.09983038145222
"ZNF354A","ENSG00000169131",9.76212963636189e-09,-1.01170869723801
"L1CAM","ENSG00000198910",1.05325284788021e-08,-0.694858888138384
"CENPI","ENSG00000102384",1.14449191131569e-08,1.28582694797814
"ABHD2","ENSG00000140526",1.14946614111045e-08,0.930638681115826
"CLIP4","ENSG00000115295",1.14946614111045e-08,-1.17604746189592
"PIGP","ENSG00000185808",1.36650795299006e-08,-1.08519116048294
"H3C7","ENSG00000277775",1.88119889002951e-08,1.71733827617986
"NUSAP1","ENSG00000137804",1.99550799379383e-08,1.31015732406623
"TMEM120B","ENSG00000188735",2.40987430198032e-08,1.37441757998891
"TMEM164","ENSG00000157600",2.45296308226525e-08,1.95501018369387
"TPX2","ENSG00000088325",3.34997174267513e-08,2.05660174800393
"HM13","ENSG00000101294",3.34997174267513e-08,-0.812517748861828
"AMZ1","ENSG00000174945",4.07454489098797e-08,1.24151636793977
"RPS4X","ENSG00000198034",4.13305749457086e-08,0.752843759546201
"LACTB","ENSG00000103642",4.71822336726619e-08,-0.633586058602985
"LMBR1","ENSG00000105983",4.79132043034634e-08,1.13018724851666
"APOD","ENSG00000189058",5.70978359545086e-08,-1.45582856802186
"KAT2B","ENSG00000114166",6.04513126165021e-08,-0.858924574395656
"YPEL3","ENSG00000090238",6.887239473796e-08,-0.775858627465882
"PGR","ENSG00000082175",8.33206131728911e-08,1.6091865515466
