Geneid,SRR21043325,SRR21043400,SRR21043794,SRR21043951,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,0,0,0,3,0,0
ENSG00000127837,165,160,147,221,110,122,128,157
ENSG00000090861,323,362,306,390,167,265,185,246
ENSG00000275700,44,35,35,51,23,29,30,23
ENSG00000085563,2,6,8,5,6,8,3,3
ENSG00000023839,51,48,40,60,44,47,38,58
ENSG00000114770,558,620,548,862,361,546,408,498
ENSG00000164163,39,40,27,44,23,61,28,41
ENSG00000204574,339,376,261,381,241,325,233,283
ENSG00000161204,19,17,23,15,12,11,8,5
ENSG00000160179,5,1,5,4,1,4,6,1
ENSG00000108846,13,18,12,20,10,17,7,17
ENSG00000118777,180,193,147,243,120,202,131,170
ENSG00000163686,13,10,12,21,13,4,7,13
ENSG00000097007,17,13,12,15,10,13,9,8
ENSG00000115361,1,0,1,0,0,0,0,1
ENSG00000120437,57,72,64,76,44,60,29,32
ENSG00000182827,97,110,88,118,65,85,52,75
ENSG00000102977,15,18,11,18,8,11,7,14
ENSG00000159640,3,4,5,12,3,8,6,7
ENSG00000087085,21,35,34,46,22,18,23,21
ENSG00000131473,121,165,109,190,144,137,141,135
ENSG00000123130,3,5,1,6,0,4,1,1
ENSG00000151726,97,108,77,99,74,121,65,70
ENSG00000075624,750,811,523,819,657,858,808,759
ENSG00000266920,0,1,1,1,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,209,244,172,214,164,203,171,196
ENSG00000137845,200,208,180,295,205,212,140,226
ENSG00000114948,0,2,2,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,272,387,291,405,257,338,267,329
ENSG00000065457,13,18,8,11,8,7,13,12
ENSG00000163050,28,34,33,32,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,4,4,7,15,2,4,8,7
ENSG00000187758,1,1,0,1,0,0,0,0
ENSG00000182551,153,209,164,215,142,200,166,176
ENSG00000156110,441,538,434,563,317,449,317,428
ENSG00000148926,4,10,5,10,8,17,13,7
ENSG00000181915,134,161,134,147,116,172,97,126
ENSG00000163485,1,4,5,2,1,2,4,3
ENSG00000128271,2,1,1,2,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,1,2,2,1,2,3,2
ENSG00000173020,88,67,73,116,45,52,52,62
ENSG00000239900,1,0,0,5,0,1,2,0
ENSG00000169129,1,0,2,4,3,6,2,3
ENSG00000183077,22,20,23,36,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,44,39,40,49,26,41,35,47
ENSG00000169692,96,150,96,147,77,95,72,90
ENSG00000138678,14,9,9,11,14,17,7,12
