"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"ATOSA","ENSG00000047346",3.66115181084589e-09,-0.628547145960354,5.80030388283569e-13,982.037059569138
"HSPA5","ENSG00000044574",2.56869792154545e-07,0.935187186782963,8.13909354101855e-11,639.595741586344
"RPL7A","ENSG00000148303",2.7025463886682e-07,0.810772352000773,1.34483273007231e-10,660.219508352936
"RPS15","ENSG00000115268",2.7025463886682e-07,0.653551731939313,1.71264029700139e-10,800.372941753931
"USP34","ENSG00000115464",2.06372414433686e-06,-0.844287747535711,1.87747663956866e-09,273.486747906808
"RBBP4","ENSG00000162521",2.06372414433686e-06,-0.654762654375731,1.96171496609968e-09,438.766840753266
"ZNF808","ENSG00000198482",2.42030800899469e-06,-0.889776871968017,2.6841185144111e-09,131.748199918293
"ABHD17C","ENSG00000136379",4.21987287472318e-06,-0.716209063313351,5.34838133678477e-09,250.931921798117
"PSMA3","ENSG00000100567",6.48151650476412e-06,-0.548979761573296,9.24170604291463e-09,1130.16538359987
"ST14","ENSG00000149418",8.02910237312806e-06,-0.594401801648972,1.27203776507099e-08,716.982287184581
"PPIAL4A","ENSG00000263353",1.16392529372779e-05,-0.747769814401725,2.02838691872714e-08,1389.61723653422
"FAM107B","ENSG00000065809",1.27547023793543e-05,-0.721026496640076,2.42484836109398e-08,322.073209168052
"RPS4X","ENSG00000198034",1.36302140331919e-05,0.62600881971462,2.80723673053699e-08,456.696726935608
"UBAP2L","ENSG00000143569",1.53680479638273e-05,-0.657823071147139,3.40862914280073e-08,401.175794978395
"ATG101","ENSG00000123395",1.60198026273395e-05,0.762295698292777,4.06078647080849e-08,193.558908380257
"PPP1CC","ENSG00000186298",1.60198026273395e-05,-0.7062375815985,3.96492653525223e-08,232.117837124624
"RPS2","ENSG00000140988",4.17072932937404e-05,0.500073369456307,1.12329528832951e-07,1426.64233536757
"TWSG1","ENSG00000128791",4.50704538970703e-05,-0.937738391957818,1.34933485516865e-07,192.001687060278
"NUDT19","ENSG00000213965",4.50704538970703e-05,-0.74626779703239,1.3566834981691e-07,193.071880428487
"PRPF38B","ENSG00000134186",4.70469604156805e-05,-0.565557580161916,1.51979896541041e-07,579.962230431383
"OTUD1","ENSG00000165312",4.70469604156805e-05,-0.601877577531738,1.56525058417188e-07,447.101930213009
"ZNF480","ENSG00000198464",5.28819184394284e-05,-0.746008039301867,1.84315938793952e-07,149.648408996412
"KAT2B","ENSG00000114166",0.000125678109182807,-0.695684115403856,4.66750632861586e-07,196.461435229046
"SCAMP1","ENSG00000085365",0.000125678109182807,-0.61905087787101,4.77863533014477e-07,415.461420935367
"DDIT3","ENSG00000175197",0.000158083523741753,0.697265546068691,6.69946990840683e-07,718.472567754533
"FOXP2","ENSG00000128573",0.000158083523741753,-0.608073865695239,6.41512846197711e-07,609.809121984287
"SF3B1","ENSG00000115524",0.000158083523741753,-0.483777749967193,7.00255422160956e-07,431.907530319797
"MED12","ENSG00000184634",0.000158083523741753,-0.606567222487975,7.01257709881033e-07,301.878240089908
"ZNF721","ENSG00000182903",0.00018172698612985,-0.948889567721332,8.34930703068068e-07,99.5973964595684
"EMC4","ENSG00000128463",0.000192554226481865,0.678919706823093,9.37386385609602e-07,164.760686768375
"ISCU","ENSG00000136003",0.000192554226481865,0.537082460277887,9.45687740959732e-07,303.697250004372
"UPF3A","ENSG00000169062",0.000229215676782367,-0.848938250952582,1.16205666302848e-06,97.8324474805427
"PREX1","ENSG00000124126",0.000242033673334249,0.630306666720033,1.26538517427602e-06,244.118776518326
"LSM5","ENSG00000106355",0.000248791587246953,-0.959668069826739,1.3401321239538e-06,150.715673766163
"OS9","ENSG00000135506",0.000257257583407789,0.645969706004987,1.46680435865642e-06,164.431664778269
"RPL6","ENSG00000089009",0.000257257583407789,0.586166607795027,1.47263828375257e-06,628.294477188508
"SYNGR2","ENSG00000108639",0.000257257583407789,0.483717239245729,1.50800547941828e-06,530.729513728475
"DSP","ENSG00000096696",0.000267942217155255,0.582714804754926,1.61308685866598e-06,999.006530448786
"TMSB4X","ENSG00000205542",0.000277521855380091,-0.50093372051416,1.71472629274771e-06,1569.19033569159
"PCF11","ENSG00000165494",0.000278302686407297,-0.453316483260605,1.80773291234144e-06,616.677238372899
"PLEKHF2","ENSG00000175895",0.000278302686407297,-0.439298007000949,1.78722419499614e-06,740.160315581783
"NONO","ENSG00000147140",0.00033884921417331,-0.618379665156274,2.2547000943091e-06,582.664334939779
"TSPAN6","ENSG00000000003",0.000428165750958532,-0.645239184292418,2.91684526159963e-06,241.800871765933
"NULL","",0.000432004250383419,-0.423516450293725,3.01267462737102e-06,4970.91527994608
"TSC1","ENSG00000165699",0.000432004250383419,-0.473857394053239,3.0798782109084e-06,397.748872920132
"COX20","ENSG00000203667",0.000446388670353528,-0.870054451450173,3.32387001055384e-06,97.2539648493505
"HMGCS1","ENSG00000112972",0.000446388670353528,0.613648157657806,3.30796102861015e-06,673.767878298686
"PIGP","ENSG00000185808",0.000463011452432238,-0.91277152225924,3.52099963826797e-06,154.052940050051
"ZNF28","ENSG00000198538",0.000570435883937025,-0.542073778789265,4.42828870610175e-06,325.252393065821
"UBL5","ENSG00000198258",0.000584098677542177,0.441449281305159,4.6268906649412e-06,544.813660137762
"ATF7IP","ENSG00000171681",0.00059453222577764,-0.643928162710979,4.80372996113112e-06,161.486458138462
"YTHDF3","ENSG00000185728",0.000597437494679794,-0.36768948405613,4.92185515262188e-06,1236.64652123505
"GSPT1","ENSG00000103342",0.000654936217374799,-0.444474523378484,5.70682698916571e-06,506.407498988834
"HAPSTR1","ENSG00000182831",0.000654936217374799,-0.536415107323874,5.62869479480492e-06,485.191691962469
"NOL10","ENSG00000115761",0.000654936217374799,-0.60667788378102,5.69114332797262e-06,215.738305169654
"TXNIP","ENSG00000265972",0.000693972176746863,0.507888331195596,6.15691411562489e-06,442.052768767175
"FBXO11","ENSG00000138081",0.000729610467497747,-0.528813172607303,6.61387278900742e-06,295.656884389868
"RNF24","ENSG00000101236",0.000729610467497747,-0.904418493480621,6.70427869373722e-06,68.1160203049925
"RPN1","ENSG00000163902",0.000741601459810844,0.518340856062472,6.93195280875155e-06,1667.6603011185
"LACTB","ENSG00000103642",0.000792538961594687,-0.436178023284775,7.53364031934113e-06,565.317631133997
"TMEM59","ENSG00000116209",0.000803956899648981,-0.444426341169723,7.7695454497129e-06,884.784221514273
"ZNF765","ENSG00000196417",0.000841287148798719,-0.67633014292305,8.26359366690757e-06,207.210700910031
"INSIG1","ENSG00000186480",0.000854667913525033,0.636535336830722,8.5304306958297e-06,1062.9739854554
"RELL1","ENSG00000181826",0.000878472736253062,-0.484958291136314,8.90720138152662e-06,325.840767205551
"PTBP3","ENSG00000119314",0.00090593186484631,-0.59901110722401,9.32914626346803e-06,731.439329694279
"RPS17","ENSG00000182774",0.000956818193709442,0.858732084357854,1.00047529760493e-05,177.459976772004
"ZNF564","ENSG00000249709",0.00101421199869453,-0.559696359728155,1.07655582877905e-05,228.890977684032
"ENSG00000224032","ENSG00000224032",0.00111695314457956,0.489033372215385,1.20330820391968e-05,625.404599136861
"UBE2L5","ENSG00000236444",0.00117644315046425,-0.74278238437496,1.2860357633402e-05,203.868683642472
"ZNF141","ENSG00000131127",0.00120004996715787,-0.470302130512041,1.3308538926022e-05,415.865913810722
"MTA3","ENSG00000057935",0.00123632380986427,-0.579763158744316,1.39066841730613e-05,181.96774706494
"BAG1","ENSG00000107262",0.00128868913473696,-0.446911251641253,1.46998760616384e-05,571.211781805835
"MED21","ENSG00000152944",0.00130936555920288,-0.598887822814695,1.51431694901474e-05,158.787532863872
"HSP90AA1","ENSG00000080824",0.00131449653623346,-0.424892350766442,1.6152121375789e-05,962.657373996713
"GOLM2","ENSG00000166734",0.00131449653623346,-0.432799018145192,1.55700992945471e-05,422.995220373637
"TMEM165","ENSG00000134851",0.00131449653623346,-0.75006823088559,1.58768354429407e-05,177.197596972146
"RPS11","ENSG00000142534",0.00131449653623346,-0.506698273200083,1.62299298814141e-05,303.122436888278
"SMC5","ENSG00000198887",0.00131449653623346,-0.454874495838688,1.62437784895769e-05,416.252423255997
"ZBTB8OS","ENSG00000176261",0.0014284418498476,-0.50324464631247,1.78781536973955e-05,789.499586781077
"RPL12","ENSG00000197958",0.00145196330797661,0.586015227169027,1.86326089901941e-05,231.640762108879
"AGR2","ENSG00000106541",0.00145196330797661,0.533967229311144,1.86141007852963e-05,485.414833381014
"ALS2","ENSG00000003393",0.00158545164499305,-0.562329157622765,2.05968052739909e-05,213.911420326869
