"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",4.04877456327958e-52,1.90970217392812
"TFF1","ENSG00000160182",7.38182970306395e-35,1.25811721677728
"PRR11","ENSG00000068489",1.8735826946236e-24,1.34487320419399
"ARHGAP11A","ENSG00000198826",2.08672947182043e-16,1.40456420882742
"CDK1","ENSG00000170312",5.92317663803944e-14,1.39329046009041
"AGR2","ENSG00000106541",6.28803199111717e-13,0.891890596448964
"ID2","ENSG00000115738",3.45077272629634e-12,-0.96320130544573
"SFXN2","ENSG00000156398",4.37770784213734e-12,2.07350848741044
"LGALS3","ENSG00000131981",9.77314806012474e-12,-0.793239308441364
"TPD52L1","ENSG00000111907",1.52127068293142e-11,0.724398484053117
"RPL7A","ENSG00000148303",3.36595009531622e-11,0.797306067796472
"FAM107B","ENSG00000065809",7.58014844011921e-11,-0.949980276253778
"PREX1","ENSG00000124126",1.76503151389318e-10,0.930361484551636
"NPIPB3","ENSG00000169246",4.00589379618871e-10,0.738043193416482
"HMMR","ENSG00000072571",4.41110338246778e-10,1.10616802991042
"RPN1","ENSG00000163902",4.41110338246778e-10,0.587352817343364
"CELSR2","ENSG00000143126",3.28086032304197e-09,0.796970986816057
"RET","ENSG00000165731",4.3279282025714e-09,1.58207268369868
"SLC19A2","ENSG00000117479",4.51111859788771e-09,0.907013833069075
"FOXP2","ENSG00000128573",4.71437644629166e-09,-0.689782047784764
"PPIAL4A","ENSG00000263353",4.71437644629166e-09,-0.793739678397814
"CALCR","ENSG00000004948",5.72866453098239e-09,1.0548416568806
"RPS4X","ENSG00000198034",7.40389731943152e-09,0.725109563855851
"ZFP36L2","ENSG00000152518",7.40389731943152e-09,-0.971957165796313
"ARLN","ENSG00000164096",7.40389731943152e-09,-0.836083339868442
"TMSB4X","ENSG00000205542",1.54545096528145e-08,-0.572303753481898
"PIGP","ENSG00000185808",1.76986817903566e-08,-1.20661332128796
"KIF11","ENSG00000138160",1.8985853641182e-08,1.2812840256693
"UBAP2L","ENSG00000143569",2.19954654382115e-08,-0.699864696606174
"LMBR1","ENSG00000105983",2.63874508187148e-08,0.926223035539071
"HSPA5","ENSG00000044574",3.11682026122878e-08,0.848541709087743
"ABAT","ENSG00000183044",8.14506611678356e-08,0.950121390073207
"HMGCS1","ENSG00000112972",8.14506611678356e-08,0.616669306926928
"LACTB","ENSG00000103642",9.24325898332822e-08,-0.576426363157462
"DSP","ENSG00000096696",9.43405263772792e-08,0.639336200947268
"RPS15","ENSG00000115268",1.08859835788963e-07,0.535099044735869
"CETN2","ENSG00000147400",1.08859835788963e-07,0.712678666053835
"ASCL1","ENSG00000139352",1.12593429763077e-07,0.955790779797938
"CENPI","ENSG00000102384",1.19210972860375e-07,1.18044830818698
"RPS27A","ENSG00000143947",1.2816567329338e-07,-0.767011402859942
"OTUD1","ENSG00000165312",1.45636350266321e-07,-0.692430175980603
"PRC1","ENSG00000198901",1.47840381406403e-07,1.25356416727933
"HMGB2","ENSG00000164104",1.72447725042848e-07,0.892574724404155
"HM13","ENSG00000101294",1.86545437060412e-07,-0.793903072406402
"KYNU","ENSG00000115919",2.5403972734242e-07,-0.522522794667351
"DAD1","ENSG00000129562",2.77815490716564e-07,-0.561023725455115
"TOP2A","ENSG00000131747",2.83087366861555e-07,1.80805168195803
"AMZ1","ENSG00000174945",2.83087366861555e-07,1.1696196350442
"LMAN2","ENSG00000169223",3.09145191898794e-07,0.607630902078185
"ATG101","ENSG00000123395",3.27777387963751e-07,0.806384464744305
"KIF2C","ENSG00000142945",4.11236271181976e-07,1.6253535540462
"GTF3A","ENSG00000122034",4.38075485401929e-07,-0.725269356534408
"RBBP4","ENSG00000162521",4.54282052960902e-07,-0.599698737351272
"BCAS1","ENSG00000064787",4.71602003926003e-07,-1.10294603220994
"KRT15","ENSG00000171346",7.01022556689316e-07,1.01595366416348
"H4C1","ENSG00000278637",7.40395069248366e-07,0.969009610012144
"SDK2","ENSG00000069188",7.40395069248366e-07,1.91557018687973
"KAT2B","ENSG00000114166",8.57046852750026e-07,-0.807351652337615
"SNRPC","ENSG00000124562",8.75084683926228e-07,-0.715663614530184
"RAB12","ENSG00000206418",9.3475425167155e-07,-0.742798970139944
"UBL5","ENSG00000198258",9.77201133330367e-07,0.521559313885371
"KIF23","ENSG00000137807",1.03895141057908e-06,1.00568210870781
"PLEKHF2","ENSG00000175895",1.32175740156526e-06,-0.534661298208182
"DEPDC1","ENSG00000024526",1.45793143305599e-06,1.58403118978528
"DENR","ENSG00000139726",1.51383217644882e-06,-0.4797689779263
"APOD","ENSG00000189058",1.624209730173e-06,-1.23149227884724
"TBC1D9","ENSG00000109436",1.90360367318494e-06,-0.646975371830923
"UBP1","ENSG00000153560",1.90360367318494e-06,-0.584779590685525
"ATOSA","ENSG00000047346",2.12145349086884e-06,-0.477697816011197
"KIF14","ENSG00000118193",2.15632576481135e-06,1.41007369948875
"PSCA","ENSG00000167653",2.18086198121799e-06,-1.005164018715
"KRT81","ENSG00000205426",2.18209750492422e-06,-0.6141207604921
"RPL6","ENSG00000089009",2.27046454832844e-06,0.549101413828519
"INSIG1","ENSG00000186480",2.27396486060269e-06,0.606091765504261
"JUN","ENSG00000177606",2.46791513074811e-06,-0.933925411182848
"SAP18","ENSG00000150459",2.46791513074811e-06,-0.573641903323046
"NUSAP1","ENSG00000137804",2.50871274380926e-06,1.21813622205321
"NPIPB4","ENSG00000185864",2.874466136281e-06,-0.53078823965609
"BCLAF1","ENSG00000029363",2.95773073480291e-06,-0.653893393111695
"TUBA1B","ENSG00000123416",2.99258267005678e-06,0.719064968517532
"TWSG1","ENSG00000128791",3.14500957762031e-06,-0.845626931152562
"SYTL2","ENSG00000137501",3.58678080551861e-06,-0.610386569240575
"OS9","ENSG00000135506",3.8460883316388e-06,0.766364400039888
"TYMS","ENSG00000176890",3.8460883316388e-06,0.75327452331846
"MYB","ENSG00000118513",4.17732898692588e-06,0.82711222264934
"KIF20A","ENSG00000112984",5.76946863313437e-06,1.64264450823194
"GSPT1","ENSG00000103342",5.87906080903201e-06,-0.533879601646299
"ATP5MG","ENSG00000167283",6.07327163774201e-06,-0.545320807850309
"H3C7","ENSG00000277775",7.05778263744195e-06,1.12760664894046
"CD24","ENSG00000272398",7.29464433261648e-06,-1.12409084895804
"DDA1","ENSG00000130311",8.77899715210553e-06,-0.629776771128211
"CBX6","ENSG00000183741",9.26147892036679e-06,-0.544784903122834
"GPSM2","ENSG00000121957",9.37017794319103e-06,0.733593895146153
"NULL","",1.03284969019171e-05,-0.517475467166319
"NEDD4","ENSG00000069869",1.03650665622537e-05,-0.571228935141126
"ZNF354A","ENSG00000169131",1.22453136932507e-05,-0.702901401132337
"ABHD17C","ENSG00000136379",1.38223189596132e-05,-0.648380674157786
"CLIP4","ENSG00000115295",1.38745786476447e-05,-0.814107621953156
"CCNB1","ENSG00000134057",1.41914753010294e-05,0.942376763032588
"NUDT4","ENSG00000173598",1.46898660411393e-05,-0.818901708843249
"H1-5","ENSG00000184357",1.67396830624352e-05,1.03224766147783
"CD47","ENSG00000196776",1.70698853559489e-05,-0.531845401191347
"ABHD2","ENSG00000140526",1.70698853559489e-05,0.693836607809237
"RPL9","ENSG00000163682",1.76934048477409e-05,0.520698367717336
"IQGAP3","ENSG00000183856",2.01390222243545e-05,1.57878226608848
"ENSG00000278272","ENSG00000278272",2.09004287849539e-05,1.63717197981616
"RPS2","ENSG00000140988",2.33413529197061e-05,0.482037905925202
"NPNT","ENSG00000168743",2.33808113993594e-05,-0.566714442218241
"NPY1R","ENSG00000164128",2.33808113993594e-05,0.490053277466632
"TSPAN6","ENSG00000000003",2.33808113993594e-05,-0.626071078191987
"MTA3","ENSG00000057935",2.33808113993594e-05,-0.664015121687205
"TRIM37","ENSG00000108395",2.42624470375451e-05,0.507345951429342
"MUC5B","ENSG00000117983",2.5156640277767e-05,0.872041757060926
"WAC","ENSG00000095787",2.74315498472361e-05,-0.643735173952126
"MOB1B","ENSG00000173542",2.89429578862705e-05,0.812750147213635
"PRPF38B","ENSG00000134186",2.93505994037448e-05,-0.710140253345249
"CSTB","ENSG00000160213",2.93505994037448e-05,-0.540026879292311
"MRPL45","ENSG00000278845",2.93505994037448e-05,-0.713958535136391
"SCAMP1","ENSG00000085365",3.10919862108415e-05,-0.591610974235795
"UBE2L5","ENSG00000236444",3.26855422210652e-05,-0.793956619786789
"TPX2","ENSG00000088325",3.29406394223308e-05,1.69445613445111
"CENPN","ENSG00000166451",3.29406394223308e-05,0.735192664474204
"NDUFS5","ENSG00000168653",3.29406394223308e-05,-0.541322076529725
"ULK1","ENSG00000177169",3.3228424142347e-05,0.584300282340107
"CA5B","ENSG00000169239",3.40901761307735e-05,-0.77975034757129
"NPIPA5","ENSG00000183793",3.40901761307735e-05,0.504107068489057
"RPS27","ENSG00000177954",3.40901761307735e-05,-0.405004364387778
"SALL4","ENSG00000101115",3.64798760608261e-05,-0.720419116030376
"NACA","ENSG00000196531",3.90854681473346e-05,-0.739791713422295
"CDC42","ENSG00000070831",4.23718182517121e-05,-0.407787770307437
"EPS15L1","ENSG00000127527",4.4045286085005e-05,0.647664966455011
"TXNIP","ENSG00000265972",4.56160735160464e-05,0.553306398099244
"UCP2","ENSG00000175567",4.60139614227967e-05,0.57466300023939
"TMED8","ENSG00000100580",4.69659058573347e-05,0.890029941560461
"RAB11FIP3","ENSG00000090565",5.33707764526225e-05,0.849799694629163
"RAPGEFL1","ENSG00000108352",5.47038147401627e-05,0.908274426689687
"UBE2R2","ENSG00000107341",5.64845165048901e-05,0.555327883685588
"DHCR7","ENSG00000172893",5.95282253137052e-05,0.334262820072331
"PRXL2C","ENSG00000158122",5.97455135799734e-05,-1.15405634837965
"PSMA3","ENSG00000100567",6.6959402613864e-05,-0.453043842755918
"DHRS4L2","ENSG00000187630",6.79916535976095e-05,0.600270544533583
"FUBP1","ENSG00000162613",6.84798812143652e-05,0.591255433029728
"SLC25A6","ENSG00000169100",6.92266206394189e-05,-0.516111081705338
"CLMN","ENSG00000165959",7.39630170284222e-05,-0.721012171560149
"MKI67","ENSG00000148773",7.39630170284222e-05,1.03728232058143
"ACTR2","ENSG00000138071",7.39630170284222e-05,-1.22705961053707
"EMC4","ENSG00000128463",7.44606983139733e-05,0.682644266431165
"ZWILCH","ENSG00000174442",7.44606983139733e-05,0.874707966699465
"BCAP29","ENSG00000075790",7.45811612959912e-05,-0.559788776720943
"VPS54","ENSG00000143952",8.35162363781979e-05,-0.504874055134167
"TSPAN31","ENSG00000135452",8.35162363781979e-05,-0.533728852926061
"USP34","ENSG00000115464",8.37171008460425e-05,-0.617876607926889
"KICS2","ENSG00000174206",8.52565490374125e-05,1.00835793446553
"CKMT1B","ENSG00000223572",8.99221932145822e-05,-0.583813199394488
"BCL6","ENSG00000113916",9.41356142319895e-05,-0.637930938034184
"YWHAE","ENSG00000108953",9.68806929202483e-05,-0.493925630621829
"CTSA","ENSG00000064601",9.92601659168904e-05,-0.46369816263672
"ADRM1","ENSG00000130706",0.000100894263400737,-1.04772713552877
"KNSTRN","ENSG00000128944",0.000104156398798617,1.15147448711225
"ACTG1","ENSG00000184009",0.000108227036780043,-0.401382232077249
"SCUBE2","ENSG00000175356",0.000110693282237764,0.681202781319812
"RPL8","ENSG00000161016",0.000110693282237764,-0.453888373157123
"ANXA2","ENSG00000182718",0.000110693282237764,-0.38053644779056
"CDT1","ENSG00000167513",0.000115492633665588,1.03763816866116
"DDIT3","ENSG00000175197",0.000116172694280183,0.479941656661336
"CDK8","ENSG00000132964",0.000116732953187778,-0.880253856790287
"ARL3","ENSG00000138175",0.000117493852142978,0.492113235488951
"TMEM120B","ENSG00000188735",0.000118788569553016,1.03138513401077
"NHERF2","ENSG00000065054",0.000119911369380896,-0.615723822034087
"ANKRD18A","ENSG00000180071",0.000123028990643755,0.622683990887156
"SMAP1","ENSG00000112305",0.000134121788029286,-0.588053517781182
"NONO","ENSG00000147140",0.000141215523126093,-0.528648114112626
"RPL12","ENSG00000197958",0.000143294047661132,0.61903295691952
"TMED3","ENSG00000166557",0.00014550288324264,-0.389350534417351
"SUMF2","ENSG00000129103",0.000149086264909502,0.558211278080981
"TMEM164","ENSG00000157600",0.000162955186964371,1.36946660746635
"SRRM2","ENSG00000167978",0.000169488473351251,-0.897698898432711
"ZBTB8OS","ENSG00000176261",0.000171272827753659,-0.477721535754158
"SND1","ENSG00000197157",0.00017488822939198,0.455786531444749
"HIF1A","ENSG00000100644",0.0001797683431555,0.67434151736805
"TENT5C","ENSG00000183508",0.0001797683431555,0.632424582746381
"ST14","ENSG00000149418",0.000186375384771179,-0.498734110026139
"CEP55","ENSG00000138180",0.000186375384771179,1.22217408537728
"SLC9A2","ENSG00000115616",0.00018710690942528,-0.506418270002128
"PCBP2","ENSG00000197111",0.000187180597067038,0.49479071794899
"GSE1","ENSG00000131149",0.000187180597067038,0.625879289266085
"MEF2D","ENSG00000116604",0.000190953396836094,-0.569831789565307
"ANLN","ENSG00000011426",0.000194422462716613,0.989327575589136
"POGLUT3","ENSG00000178202",0.000202475092813391,-1.48040994106948
"NUDT19","ENSG00000213965",0.000203226034930362,-0.620060639545896
"AKR1C3","ENSG00000196139",0.000205091564480508,-0.805619292778397
"GORASP2","ENSG00000115806",0.000215521409851656,-0.641807462807127
"TST","ENSG00000128311",0.000218765378226368,0.712934347100161
"CCDC47","ENSG00000108588",0.000220755416592696,0.441030091572679
"PDCD10","ENSG00000114209",0.000233808940054957,-0.487363799120364
"EIF3L","ENSG00000100129",0.000236823998256374,0.561149946548112
"METTL9","ENSG00000197006",0.000236856926221636,-0.459326706637488
"GSTM3","ENSG00000134202",0.000236956521446642,-0.6225020522438
"RNF6","ENSG00000127870",0.000236956521446642,0.495398658746033
"BAG3","ENSG00000151929",0.00024108770821454,-0.550823042889818
"COL12A1","ENSG00000111799",0.000243923534667697,0.67065908298923
"ATP6V0C","ENSG00000185883",0.00025303608119594,-0.612517636729629
"SLC7A5","ENSG00000103257",0.00025303608119594,0.452383533207605
"BUB1","ENSG00000169679",0.000262562485625215,1.42269692756527
"CCNB2","ENSG00000157456",0.000264006481805737,1.0063070357756
"THG1L","ENSG00000113272",0.000279133964694369,0.701551556259207
"SHB","ENSG00000107338",0.000280550074206402,-0.449067554339615
"USP5","ENSG00000111667",0.000283062852378098,0.721916495513613
"HPRT1","ENSG00000165704",0.000283062852378098,0.600863339732987
"UPF3A","ENSG00000169062",0.000292565290024238,-1.00208356763635
"IFT25","ENSG00000081870",0.000299579591565769,-0.918054706343811
"ITM2B","ENSG00000136156",0.000299579591565769,-1.2931579119393
"ATP5F1B","ENSG00000110955",0.000299579591565769,0.442549513310083
"CPNE3","ENSG00000085719",0.000304413767976668,0.446889492129267
"DHDDS","ENSG00000117682",0.000313091879616478,0.993973029120291
"MLST8","ENSG00000167965",0.000323851412544122,-0.919762096586744
"SPC24","ENSG00000161888",0.000325065697139963,1.71654961739333
"ABCA12","ENSG00000144452",0.000329006592855292,0.910227772050461
"CCNT1","ENSG00000129315",0.00033294690577719,0.740480569864245
"ADRA2C","ENSG00000184160",0.00033294690577719,-0.696496851840911
"TNKS2","ENSG00000107854",0.000341727288884626,0.599679833310339
"DOLPP1","ENSG00000167130",0.000346681809401073,0.735256860101876
"MAL2","ENSG00000147676",0.000347451351492607,-0.533516246296264
"AP1S1","ENSG00000106367",0.000354153525284966,0.398502762405881
"MRPS34","ENSG00000074071",0.000363208300843089,-0.395359411348714
"LMNA","ENSG00000160789",0.000370148601323118,0.396904666413456
"RRP7A","ENSG00000189306",0.000370148601323118,-0.537664286978608
"GGPS1","ENSG00000152904",0.000373143897848843,-0.701823523099124
"EIF3E","ENSG00000104408",0.000394105877312401,0.415589278420699
"SYNGR2","ENSG00000108639",0.000394105877312401,0.415038714275913
"CHMP2A","ENSG00000130724",0.000412788771422354,-0.614520135132888
"PCBD2","ENSG00000132570",0.000414032638032239,0.555354237028598
"LAD1","ENSG00000159166",0.000426971201666635,-0.45493499417046
"FASTKD2","ENSG00000118246",0.000440904367185592,0.596005905347961
"DHX15","ENSG00000109606",0.000477236845754064,-0.395292332307743
"ING3","ENSG00000071243",0.000477954410999948,-1.06155948670717
"NDUFV3","ENSG00000160194",0.00048756728847471,-0.455140070351355
"PDIA6","ENSG00000143870",0.000494122298911747,0.401122043737466
"COX7C","ENSG00000127184",0.000545758756474142,-0.485616835632359
"LDHA","ENSG00000134333",0.000545758756474142,0.600805598745594
"USP47","ENSG00000170242",0.000545758756474142,0.496637319473456
"LMNB1","ENSG00000113368",0.000545758756474142,0.912329300189314
"RPL22","ENSG00000116251",0.000551359051540355,-0.353272489468687
"IK","ENSG00000113141",0.000551467269255512,-0.420560221892227
"ATP2A3","ENSG00000074370",0.000558432899300597,-0.595037710872917
"ZNF808","ENSG00000198482",0.000558432899300597,-0.632558227978963
"IMPDH2","ENSG00000178035",0.000594801407482689,0.515976983844086
"INTS3","ENSG00000143624",0.000605931641684629,-0.369127963886088
"WBP1L","ENSG00000166272",0.000614586811191354,-0.746039559879307
"ZFAND3","ENSG00000156639",0.000626348886832328,-0.46886122516608
"P4HA1","ENSG00000122884",0.000647066195967508,1.10968661072876
"PLXND1","ENSG00000004399",0.000668750412569076,-0.420672309975121
"ISCU","ENSG00000136003",0.000683038607781417,0.464819336866798
"AGR3","ENSG00000173467",0.000700237950872945,1.22937847711367
"TRIQK","ENSG00000205133",0.000701013061429865,-0.417551801618102
"RAB10","ENSG00000084733",0.000704516252915842,-0.40660686750799
"WASHC5","ENSG00000164961",0.0007241516105308,-0.375668942916042
"CCDC167","ENSG00000198937",0.000745504903908527,0.565655957270374
"HSP90AA1","ENSG00000080824",0.000785912739117839,-0.433165544585465
"ZNF117","ENSG00000152926",0.000789903082823047,-0.87342741503492
"ATG5","ENSG00000057663",0.000813760032908947,-0.551761591374562
"STC2","ENSG00000113739",0.000859206395426132,1.21303336079643
"RPL19","ENSG00000108298",0.000891010054967631,-0.456780048065022
"TACC3","ENSG00000013810",0.00090609840272566,0.979531370820252
"CENPK","ENSG00000123219",0.000929551037990295,0.754831934557614
"ADAM17","ENSG00000151694",0.000929551037990295,0.514578157246366
"LMBRD1","ENSG00000168216",0.000929551037990295,-0.511647761936289
"GABARAPL2","ENSG00000034713",0.000929551037990295,-0.349310625688753
"VAMP8","ENSG00000118640",0.000938513797230729,-0.354044021553139
"MYBL1","ENSG00000185697",0.000939328255922199,1.02842179678083
"SRGAP2B","ENSG00000196369",0.000958852653065967,0.635069461608581
"RELL1","ENSG00000181826",0.000958852653065967,-0.524944678284275
"PPM1A","ENSG00000100614",0.000964971901306759,-0.853688352286015
"GTF2F2","ENSG00000188342",0.000972074148743842,0.846939028976525
"FAM32A","ENSG00000105058",0.00101077756666488,-0.453395302956971
"DLGAP5","ENSG00000126787",0.00101543746762555,1.09217683901823
"EPB41","ENSG00000159023",0.0010176079901177,0.461313402756703
"LTBR","ENSG00000111321",0.00104710124250882,-0.418949549336212
"ANKRD52","ENSG00000139645",0.00107539367112865,0.714709582426019
"DRAM1","ENSG00000136048",0.00109279180220744,-1.21717834533615
"CDK5RAP2","ENSG00000136861",0.00110025408292064,0.625869672003718
"NQO1","ENSG00000181019",0.00110221815796684,-0.352504108637298
"SLC35E2B","ENSG00000189339",0.00110567750132023,0.658236546556166
"ATF7IP","ENSG00000171681",0.0011234553250638,-0.571847476482723
"SLC35D2","ENSG00000130958",0.00113822525447215,-0.836198084762298
"FAM72A","ENSG00000196550",0.00121306476678565,0.932934309449134
"SELENOI","ENSG00000138018",0.00121827518592736,0.507860246076535
"GGH","ENSG00000137563",0.00124585174745761,1.37830448961265
"TES","ENSG00000135269",0.00126105039976831,0.7593385299557
"NKIRAS1","ENSG00000197885",0.00127356244702857,-0.544459307425136
"RPL18A","ENSG00000105640",0.00138523965759434,0.669865391262352
"NDUFB5","ENSG00000136521",0.00140511536292165,-0.358783028761108
"GNS","ENSG00000135677",0.00144462006093908,-0.458897949396149
"HACD1","ENSG00000165996",0.00147403958480841,-0.892523448517526
"MAGED1","ENSG00000179222",0.00148720014208468,0.699537265210601
"EVL","ENSG00000196405",0.00148974861311478,0.394810319179053
"ENTREP3","ENSG00000160767",0.00148974861311478,-1.44496069611636
"FARP1","ENSG00000152767",0.00149688615508895,0.543000322449655
"ZNG1B","ENSG00000136682",0.00149688615508895,-0.361765269148175
"HSPE1","ENSG00000115541",0.00149688615508895,-0.440906027888405
"AURKA","ENSG00000087586",0.0015009616016717,1.18831697441355
"MED21","ENSG00000152944",0.00152303335157664,-0.567373309243908
"PGR","ENSG00000082175",0.00152303335157664,1.05827692613465
"CDKN3","ENSG00000100526",0.00152303335157664,1.27007589717851
"DDX39B","ENSG00000198563",0.00152335773592413,0.586989133534731
"SP100","ENSG00000067066",0.00156135695486511,-1.24061226679613
"CLTB","ENSG00000175416",0.00156586570132144,-0.334984438956108
"GAB1","ENSG00000109458",0.00159563816779017,-0.852968184503189
"DOK7","ENSG00000175920",0.00164364577944758,0.80778594519042
"HSP90AB1","ENSG00000096384",0.00166956236232401,0.366576911788747
"PDHB","ENSG00000168291",0.00171776054753881,0.524650983847515
"CCNA2","ENSG00000145386",0.00174556795935264,1.10285287834937
"GOLGA5","ENSG00000066455",0.00179920044540925,0.686749952232103
"SPIN1","ENSG00000106723",0.00180785166505355,-0.626151986610053
"KDM5C","ENSG00000126012",0.00183132034886917,0.40418966671586
"BMI1","ENSG00000168283",0.00190256802880088,-0.416373632688166
"PTPN1","ENSG00000196396",0.00194154145344068,1.14770183662815
"NOC2L","ENSG00000188976",0.00194154145344068,0.498820577380861
"ALKBH5","ENSG00000091542",0.00199487558741625,0.743567817336794
"RBM41","ENSG00000089682",0.00202800697667032,0.600827555256533
"TICAM1","ENSG00000127666",0.00204496374522113,-0.842383674503457
"UGT1A8","ENSG00000242366",0.00206288897222835,-1.06912282025764
"YWHAZ","ENSG00000164924",0.00206786887437548,-0.315035692262533
"GPR107","ENSG00000148358",0.00207615073618217,0.428538997827572
"ATP2C1","ENSG00000017260",0.0020800955022559,0.595076260812603
"GATA6","ENSG00000141448",0.00211260095412917,-0.681965748023002
"ACTB","ENSG00000075624",0.00212368061379397,-0.427556009444729
"TMEM87B","ENSG00000153214",0.00213099553868657,0.351667380566222
"ZNF721","ENSG00000182903",0.00214903276874216,-0.725188332173971
"E2F5","ENSG00000133740",0.00221726516686437,0.588106603834234
"NSA2","ENSG00000164346",0.00224703220649182,-0.369367407583318
"TRAPPC12","ENSG00000171853",0.00226719459831972,0.571839678067406
"CA12","ENSG00000074410",0.00226914232467318,0.45618613704379
"RWDD2B","ENSG00000156253",0.00227644582079603,0.517955887708075
"ENSG00000271880","ENSG00000271880",0.00227644582079603,0.677970275760883
"EDF1","ENSG00000107223",0.0023047088845325,-0.383210180719132
"HDLBP","ENSG00000115677",0.00234037976771971,-0.479827548259606
"YPEL3","ENSG00000090238",0.00237588682486897,-0.459507631742566
"RAD51C","ENSG00000108384",0.00239434422041694,0.710443029341091
"THAP5","ENSG00000177683",0.00245922201974631,-1.26367600836323
"NOS1AP","ENSG00000198929",0.00245922201974631,0.582007950884218
"AARS1","ENSG00000090861",0.00246954881566362,0.427443143910972
"AKR1C2","ENSG00000151632",0.00257305400891945,-0.697193705137431
"NPEPPS","ENSG00000141279",0.00261520531692747,0.683971512881098
