"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"GREB1","ENSG00000196208",2.83159100131875e-163,3.07617669315801,3.1157471405356e-167,1253.04865085464
"TFF1","ENSG00000160182",4.58761142491076e-96,1.98876633283386,1.00959758470747e-99,4604.03379734354
"PRR11","ENSG00000068489",2.53292112772814e-39,1.77415747410079,8.36131534241243e-43,306.801876525247
"CELSR2","ENSG00000143126",2.06151655426506e-37,1.41357319442336,9.07357638320887e-41,429.46723600274
"KRT81","ENSG00000205426",1.33101031840299e-29,-1.19142927427406,7.32290007924181e-33,486.448443079853
"TPD52L1","ENSG00000111907",1.54829023070758e-28,1.10378167283051,1.02219865583687e-31,1215.20577805403
"LMBR1","ENSG00000105983",3.6592878677936e-28,1.42745805449572,2.81855359535159e-31,267.963143554356
"ARHGAP11A","ENSG00000198826",6.30972283735924e-26,1.63972498761037,5.55433348359088e-29,150.419391069637
"PSCA","ENSG00000167653",7.4081493797549e-26,-1.89711344606988,7.33641553892981e-29,128.766398901873
"NPY1R","ENSG00000164128",2.65447697951629e-25,1.09242471902594,2.92085935246071e-28,1057.32252926046
"CDK1","ENSG00000170312",1.60746358777075e-24,1.85528376106633,1.94565355033872e-27,148.411377411036
"AGR2","ENSG00000106541",4.50398366749009e-24,1.10514601836865,5.9471615327774e-27,577.36375771755
"TST","ENSG00000128311",5.61805395166066e-24,1.40997668940202,8.03638879528924e-27,346.069783212965
"CALCR","ENSG00000004948",6.667073699979e-24,1.49999734173507,1.02705800835944e-26,181.310836851555
"RAPGEFL1","ENSG00000108352",1.98467363282161e-21,1.74396648781131,3.27575973727158e-24,109.699029559634
"MYB","ENSG00000118513",2.96122199244814e-21,1.37314771480401,5.21341900078897e-24,160.36761625717
"SFXN2","ENSG00000156398",5.04155676008567e-21,2.67346619991018,9.43072897463208e-24,67.0024409949104
"HMMR","ENSG00000072571",1.30366722575056e-19,1.49220741114654,2.72553667355421e-22,172.397137616788
"CLIP4","ENSG00000115295",1.30366722575056e-19,-1.75538751036835,2.61156087057884e-22,86.8653273651707
"TBC1D9","ENSG00000109436",4.80424188376486e-19,-0.861185061695507,1.05727154132149e-21,1756.3402499525
"TMED8","ENSG00000100580",3.18859719479433e-18,1.50479444669699,7.36801728550627e-21,158.419677356545
