Geneid,SRR21043384,SRR21043738,SRR21043786,SRR21043872,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,0,0,0,3,0,0
ENSG00000127837,152,246,157,153,110,122,128,157
ENSG00000090861,398,509,376,416,167,265,185,246
ENSG00000275700,18,34,17,20,23,29,30,23
ENSG00000085563,0,0,1,0,6,8,3,3
ENSG00000023839,5,10,3,4,44,47,38,58
ENSG00000114770,83,110,106,99,361,546,408,498
ENSG00000164163,101,65,75,65,23,61,28,41
ENSG00000204574,412,404,358,316,241,325,233,283
ENSG00000161204,9,7,4,7,12,11,8,5
ENSG00000160179,4,3,0,2,1,4,6,1
ENSG00000108846,45,54,20,27,10,17,7,17
ENSG00000118777,37,44,24,27,120,202,131,170
ENSG00000163686,20,21,7,7,13,4,7,13
ENSG00000097007,17,18,21,18,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,60,63,58,64,44,60,29,32
ENSG00000182827,156,247,174,188,65,85,52,75
ENSG00000102977,21,28,15,10,8,11,7,14
ENSG00000159640,2,2,1,4,3,8,6,7
ENSG00000087085,44,77,79,52,22,18,23,21
ENSG00000131473,57,76,89,56,144,137,141,135
ENSG00000123130,0,6,2,7,0,4,1,1
ENSG00000151726,135,144,137,150,74,121,65,70
ENSG00000075624,408,376,261,229,657,858,808,759
ENSG00000266920,0,0,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,189,178,174,149,164,203,171,196
ENSG00000137845,137,186,128,118,205,212,140,226
ENSG00000114948,6,1,1,0,1,3,3,1
ENSG00000087116,0,0,0,1,0,0,0,0
ENSG00000197381,104,125,114,100,257,338,267,329
ENSG00000065457,8,2,4,9,8,7,13,12
ENSG00000163050,19,13,18,12,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,1,4,2,1,2,4,8,7
ENSG00000187758,0,1,0,0,0,0,0,0
ENSG00000182551,69,53,42,60,142,200,166,176
ENSG00000156110,431,522,379,360,317,449,317,428
ENSG00000148926,27,26,27,29,8,17,13,7
ENSG00000181915,166,183,102,101,116,172,97,126
ENSG00000163485,1,1,1,1,1,2,4,3
ENSG00000128271,3,2,10,7,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,3,0,0,1,2,3,2
ENSG00000173020,61,58,62,46,45,52,52,62
ENSG00000239900,2,4,0,0,0,1,2,0
ENSG00000169129,1,1,0,1,3,6,2,3
ENSG00000183077,23,46,28,24,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,24,19,12,12,26,41,35,47
ENSG00000169692,30,60,45,39,77,95,72,90
ENSG00000138678,6,15,15,17,14,17,7,12
ENSG00000188157,593,568,440,424,846,1082,729,880
ENSG00000135744,3,0,0,0,0,0,0,0
ENSG00000144891,0,1,0,0,0,2,0,1
ENSG00000177674,25,36,43,24,32,34,21,28
ENSG00000156709,152,153,116,111,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,91,118,80,61,28,40,32,38
ENSG00000105127,258,279,202,173,196,304,181,232
ENSG00000011243,27,33,30,32,8,24,12,14
ENSG00000085662,1,0,2,2,0,0,1,0
ENSG00000187134,21,38,22,32,6,8,2,4
ENSG00000196139,211,164,165,164,111,136,158,112
ENSG00000122787,1,3,0,0,0,1,5,0
ENSG00000142208,885,964,722,715,2074,2868,1990,2424
ENSG00000105221,22,47,42,24,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,5,19,10,7,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,4,10,7,4,2,3,0,3
ENSG00000159423,8,9,12,11,42,47,48,51
ENSG00000164904,0,0,2,0,1,0,0,0
ENSG00000143149,23,48,20,21,39,50,42,45
ENSG00000149925,2233,2580,1934,2045,1477,2045,1145,1703
ENSG00000109107,2,9,8,9,7,7,4,9
ENSG00000253710,41,70,65,65,19,49,35,33
ENSG00000159063,0,4,0,3,3,4,2,4
ENSG00000162551,0,1,0,0,0,0,2,0
ENSG00000123505,304,259,287,272,99,170,100,138
ENSG00000162066,73,118,102,79,73,160,102,131
ENSG00000144233,81,99,77,53,49,64,58,78
ENSG00000243480,6,1,1,4,1,3,2,4
ENSG00000214174,12,25,14,8,7,17,10,8
ENSG00000153107,90,80,81,65,52,99,47,92
ENSG00000141552,33,42,34,36,11,30,13,20
ENSG00000089053,762,764,558,495,820,1147,788,912
ENSG00000088448,438,500,402,355,442,576,386,556
ENSG00000132466,8,14,14,5,8,5,7,5
ENSG00000215559,0,0,2,1,2,5,2,8
ENSG00000251056,20,23,14,14,22,36,27,23
ENSG00000206192,0,2,0,0,0,0,2,0
ENSG00000105186,102,156,80,91,118,174,88,116
ENSG00000196912,4,6,10,4,7,18,16,14
ENSG00000160746,53,60,53,49,59,82,44,76
ENSG00000164111,1357,1190,1041,982,442,636,404,602
ENSG00000138279,100,176,151,138,145,152,153,172
ENSG00000166747,72,115,101,89,64,110,107,70
ENSG00000106367,306,365,290,282,507,714,582,571
ENSG00000183020,2,0,6,5,12,8,11,7
ENSG00000161203,2,6,2,2,5,13,14,11
ENSG00000132842,73,100,52,70,97,107,103,94
ENSG00000221838,26,27,28,21,22,40,32,25
ENSG00000011132,24,20,17,11,10,20,9,17
ENSG00000163697,33,44,36,29,143,186,161,177
ENSG00000171388,0,0,0,0,0,0,1,1
ENSG00000110244,0,0,0,0,0,1,1,1
ENSG00000239713,0,0,0,0,0,1,1,0
ENSG00000110245,0,0,0,0,0,0,0,0
ENSG00000189058,5,2,6,3,85,80,71,69
ENSG00000130203,2,0,4,0,0,2,1,0
ENSG00000184831,44,72,48,40,34,44,23,30
ENSG00000256053,399,365,274,259,292,447,247,383
ENSG00000142192,199,183,165,139,234,432,210,362
ENSG00000062725,2464,2483,2026,1802,2002,2996,2263,2718
ENSG00000157500,0,2,1,1,1,2,4,8
ENSG00000165272,7,9,10,7,8,12,18,9
ENSG00000086159,0,0,1,0,0,1,0,0
ENSG00000103569,0,1,1,0,0,0,0,0
ENSG00000109321,112,82,69,93,40,51,28,32
ENSG00000143761,60,54,61,48,31,74,52,44
ENSG00000004059,2,13,8,10,10,20,12,16
ENSG00000101199,220,267,217,177,122,165,128,142
ENSG00000242247,67,142,79,82,25,50,30,33
ENSG00000124198,211,271,216,242,123,227,165,165
ENSG00000132254,71,84,83,61,52,91,53,71
ENSG00000134884,254,188,156,149,252,282,208,265
ENSG00000175220,8,16,16,24,18,26,22,22
ENSG00000147256,0,2,1,0,0,0,0,0
ENSG00000196914,208,188,165,124,205,317,206,273
ENSG00000116584,92,111,103,82,26,24,19,21
ENSG00000129675,0,0,0,0,0,0,0,0
ENSG00000131089,44,49,63,78,44,53,49,66
ENSG00000054267,287,243,225,189,175,285,224,272
ENSG00000182196,420,344,281,232,290,466,254,370
ENSG00000144746,78,107,68,65,101,135,102,117
ENSG00000241553,9,7,22,11,6,23,20,11
ENSG00000162704,24,33,25,27,42,60,46,50
ENSG00000136950,269,351,260,233,185,212,155,199
ENSG00000128989,306,304,318,264,188,220,225,232
ENSG00000157399,0,0,0,0,0,0,0,0
ENSG00000104763,21,12,13,11,33,33,26,36
ENSG00000102048,2,4,1,0,20,31,20,22
ENSG00000112249,207,264,206,214,153,201,156,180
ENSG00000198356,151,162,107,104,76,115,63,87
ENSG00000066279,0,1,1,0,1,3,0,0
ENSG00000106819,0,0,1,1,2,2,1,2
ENSG00000123268,4,7,4,2,4,7,1,9
ENSG00000162772,9,15,11,8,4,7,7,13
ENSG00000169136,32,63,32,38,78,89,64,94
ENSG00000118217,53,51,55,45,47,58,31,58
ENSG00000213676,141,101,101,96,159,194,137,179
ENSG00000144848,259,231,170,183,137,188,148,173
ENSG00000138363,55,64,61,39,107,104,95,96
ENSG00000166454,121,154,113,99,137,158,113,139
ENSG00000145246,0,0,0,0,0,0,0,0
ENSG00000058063,33,67,54,53,73,91,63,93
ENSG00000143153,153,115,61,71,255,384,228,298
ENSG00000017260,140,260,189,180,114,244,182,159
ENSG00000165629,2181,2277,1583,1505,2075,2860,1706,2449
ENSG00000099624,38,45,35,20,40,63,61,51
ENSG00000135390,836,751,564,593,676,986,646,857
ENSG00000154518,192,183,155,176,223,241,182,223
ENSG00000167863,1234,1161,796,784,969,1311,850,1100
ENSG00000169020,1560,1373,940,904,1077,1396,858,1163
ENSG00000241468,118,139,119,102,131,199,219,172
ENSG00000106246,4,9,3,4,12,8,3,2
ENSG00000241837,620,546,430,399,420,660,417,620
ENSG00000125375,15,15,8,8,17,30,19,21
ENSG00000033627,1,2,0,2,7,2,2,4
ENSG00000117410,8,11,8,10,8,10,10,10
ENSG00000185883,270,240,251,212,271,343,318,264
ENSG00000159720,1345,1153,838,791,820,1106,645,919
ENSG00000100554,518,536,366,377,319,471,273,425
ENSG00000066427,195,194,189,158,120,172,122,165
ENSG00000087586,12,11,20,9,12,18,16,14
ENSG00000178999,7,9,13,11,21,16,15,18
ENSG00000155096,110,106,81,103,47,98,63,86
ENSG00000166710,500,452,363,327,295,354,168,288
ENSG00000183778,3,3,2,1,33,43,48,25
ENSG00000109956,0,0,0,0,0,0,0,0
ENSG00000174684,0,0,0,0,0,0,0,0
ENSG00000086062,2,1,0,1,4,3,2,4
ENSG00000158470,6,12,16,16,6,5,5,4
ENSG00000027847,106,124,80,91,84,91,68,85
ENSG00000136881,11,14,11,10,2,2,1,5
ENSG00000186318,23,39,24,18,34,43,28,36
ENSG00000182240,3,7,4,6,9,8,8,3
ENSG00000002330,2,3,2,2,2,2,6,0
ENSG00000151929,250,261,276,219,204,258,211,274
ENSG00000204463,219,249,205,196,205,322,226,257
ENSG00000030110,7,5,5,8,6,9,8,6
ENSG00000095739,705,586,557,544,1120,1509,1147,1407
ENSG00000175334,106,65,75,85,113,143,74,93
ENSG00000105327,944,1248,1040,936,479,831,515,715
ENSG00000185825,397,386,292,272,277,382,259,317
ENSG00000105552,5,0,2,5,15,17,11,10
ENSG00000127152,12,27,11,5,15,16,20,19
ENSG00000171791,1,3,1,0,8,19,14,11
ENSG00000171552,404,421,278,263,635,985,684,824
ENSG00000153094,211,278,237,251,300,410,289,391
ENSG00000099968,181,226,187,179,123,202,148,158
ENSG00000129473,26,78,52,43,45,45,37,53
ENSG00000258643,23,49,30,23,26,33,28,23
ENSG00000069399,233,286,187,244,135,233,200,196
ENSG00000106635,26,27,18,20,13,19,11,20
ENSG00000161267,4,9,13,10,18,32,21,11
ENSG00000176697,0,0,1,0,0,0,0,0
ENSG00000126581,75,70,63,54,75,80,70,73
ENSG00000134107,123,129,138,107,42,58,47,36
ENSG00000015475,42,96,58,45,134,210,114,178
ENSG00000110330,21,21,24,25,21,33,17,35
ENSG00000089685,0,0,2,0,2,4,0,2
ENSG00000197299,9,12,13,4,17,30,24,34
ENSG00000108578,4,6,6,9,6,7,8,10
ENSG00000095585,24,31,26,21,219,315,212,253
ENSG00000135441,25,31,16,16,49,49,48,54
ENSG00000186222,14,20,10,19,13,21,21,25
ENSG00000106605,66,62,46,45,39,82,83,69
ENSG00000168283,473,385,331,316,615,981,549,855
ENSG00000125378,4,11,5,2,14,25,10,15
ENSG00000104765,135,166,194,128,119,158,125,130
ENSG00000261236,1,2,2,1,1,5,1,1
ENSG00000012048,2,4,2,5,3,2,1,6
ENSG00000141867,154,233,177,132,79,124,118,126
ENSG00000184992,36,52,39,33,36,47,27,51
ENSG00000172270,459,459,334,295,483,700,587,620
ENSG00000064726,770,760,622,570,570,1019,642,842
ENSG00000132640,148,166,116,104,115,150,146,155
ENSG00000010671,0,1,0,0,0,0,0,0
ENSG00000186470,0,2,2,4,0,0,1,1
ENSG00000156970,3,0,2,1,6,6,10,5
ENSG00000112578,77,74,48,57,44,73,49,57
ENSG00000136261,91,71,68,77,92,124,74,104
,4538,4192,3740,3597,4011,5835,4502,5144
ENSG00000166275,26,42,23,16,98,153,114,129
ENSG00000175573,13,14,18,14,11,21,24,20
ENSG00000151135,79,122,83,102,34,72,45,48
ENSG00000133641,1,1,2,1,1,1,0,0
ENSG00000078237,1294,1140,843,754,531,692,451,650
ENSG00000111678,124,171,157,130,78,104,65,96
ENSG00000179933,517,564,414,401,302,395,239,313
ENSG00000170270,7,7,1,6,8,5,16,9
ENSG00000087302,1407,1361,1008,891,768,1044,716,949
ENSG00000070761,59,64,73,66,35,62,49,47
ENSG00000177576,231,187,136,133,231,337,225,291
ENSG00000214212,8,6,9,15,3,5,3,4
ENSG00000123144,642,676,553,538,642,803,573,691
ENSG00000183019,0,1,2,0,0,0,0,0
