"gene","ensembl_id","stat","log2FoldChange"
"LCN2","ENSG00000148346",0,5.88779589087082
"WSB1","ENSG00000109046",1.38515392458333e-200,2.94626646559755
"SLC12A2","ENSG00000064651",6.03701855588723e-195,-2.93862121813014
"ESR1","ENSG00000091831",2.31851178460056e-193,-3.19999434583343
"EVL","ENSG00000196405",2.72039390365162e-192,-3.02039263208453
"TBC1D9","ENSG00000109436",1.63817516974587e-189,-3.28448615797798
"MAP1LC3B","ENSG00000140941",2.29707952949096e-161,1.89883867395383
"SLC3A2","ENSG00000168003",1.78185982801095e-141,1.95628238433852
"HMOX1","ENSG00000100292",7.70986885924081e-141,4.11701461267649
"DNAJB11","ENSG00000090520",7.27290256772995e-140,2.24015376209705
"TACSTD2","ENSG00000184292",2.64910679894958e-133,-2.73484492980338
"KITLG","ENSG00000049130",3.9438467509756e-127,-3.42116766615908
"HSP90B1","ENSG00000166598",1.55530659641214e-123,2.45003665037038
"PPP1R15A","ENSG00000087074",1.91879778343566e-122,2.80196686745672
"SEC13","ENSG00000157020",2.99033048864281e-108,1.7770549509358
"NPY1R","ENSG00000164128",2.18038464403066e-107,-2.73129179268576
"SAT1","ENSG00000130066",2.33613227144324e-106,2.65926266399472
"PBX1","ENSG00000185630",2.0253996534944e-100,-3.3177897431129
"SPTY2D1","ENSG00000179119",3.70456331920174e-99,1.87865019329086
"SYTL2","ENSG00000137501",9.27631981613063e-99,-4.83403943079492
"FKBP11","ENSG00000134285",1.05161923542903e-94,2.79066685172668
"RDX","ENSG00000137710",7.88534763998635e-93,-2.709605663613
"DDIT3","ENSG00000175197",8.88834542207692e-92,2.05968236510347
"GCLM","ENSG00000023909",2.24973169630956e-91,1.9236756568481
"SLC6A14","ENSG00000268104",3.41085787257792e-91,-4.2257067377167
"TMED2","ENSG00000086598",3.18671403531892e-89,1.65942628333537
"RNFT1","ENSG00000189050",2.60842332769408e-88,2.32807383238915
"EEIG2","ENSG00000162636",1.81494799306042e-87,-2.83899623307154
"DCDC2","ENSG00000146038",9.21837685623171e-87,-2.30392459598058
"ERRFI1","ENSG00000116285",1.75342650981636e-86,1.82407747326589
"RBL2","ENSG00000103479",3.82682528247809e-84,-2.7520575608329
