Geneid,SRR21043276,SRR21043515,SRR21043598,SRR21043936,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,0,0,0,3,0,0
ENSG00000127837,163,176,195,198,110,122,128,157
ENSG00000090861,338,240,408,360,167,265,185,246
ENSG00000275700,48,42,55,56,23,29,30,23
ENSG00000085563,8,11,8,4,6,8,3,3
ENSG00000023839,64,53,100,66,44,47,38,58
ENSG00000114770,714,512,948,868,361,546,408,498
ENSG00000164163,37,43,63,20,23,61,28,41
ENSG00000204574,360,285,419,337,241,325,233,283
ENSG00000161204,14,11,21,23,12,11,8,5
ENSG00000160179,1,1,2,1,1,4,6,1
ENSG00000108846,16,13,24,16,10,17,7,17
ENSG00000118777,236,189,267,255,120,202,131,170
ENSG00000163686,19,8,12,26,13,4,7,13
ENSG00000097007,9,10,9,8,10,13,9,8
ENSG00000115361,0,0,1,0,0,0,0,1
ENSG00000120437,72,73,47,26,44,60,29,32
ENSG00000182827,93,103,100,88,65,85,52,75
ENSG00000102977,10,8,24,14,8,11,7,14
ENSG00000159640,12,9,11,6,3,8,6,7
ENSG00000087085,35,29,44,57,22,18,23,21
ENSG00000131473,118,126,128,57,144,137,141,135
ENSG00000123130,4,5,2,3,0,4,1,1
ENSG00000151726,98,66,92,38,74,121,65,70
ENSG00000075624,812,693,1047,561,657,858,808,759
ENSG00000266920,0,0,2,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,192,194,263,166,164,203,171,196
ENSG00000137845,212,177,413,296,205,212,140,226
ENSG00000114948,3,0,1,1,1,3,3,1
ENSG00000087116,0,0,1,0,0,0,0,0
ENSG00000197381,334,298,532,339,257,338,267,329
ENSG00000065457,13,13,13,10,8,7,13,12
ENSG00000163050,25,46,49,23,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,9,5,9,6,2,4,8,7
ENSG00000187758,0,0,1,0,0,0,0,0
ENSG00000182551,143,172,192,100,142,200,166,176
ENSG00000156110,441,401,755,400,317,449,317,428
ENSG00000148926,8,5,14,3,8,17,13,7
ENSG00000181915,134,134,234,155,116,172,97,126
ENSG00000163485,7,6,7,4,1,2,4,3
ENSG00000128271,2,1,0,0,1,0,4,3
ENSG00000120907,0,0,0,1,0,0,0,2
ENSG00000169252,1,1,3,1,1,2,3,2
ENSG00000173020,78,86,57,76,45,52,52,62
ENSG00000239900,0,0,2,0,0,1,2,0
ENSG00000169129,4,3,5,2,3,6,2,3
ENSG00000183077,28,21,30,22,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,47,44,87,37,26,41,35,47
ENSG00000169692,112,119,111,96,77,95,72,90
ENSG00000138678,15,13,10,4,14,17,7,12
ENSG00000188157,864,889,1877,1152,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2,0,1
ENSG00000177674,27,39,29,16,32,34,21,28
ENSG00000156709,215,201,284,213,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,53,38,57,66,28,40,32,38
ENSG00000105127,277,207,449,368,196,304,181,232
ENSG00000011243,23,22,18,5,8,24,12,14
ENSG00000085662,1,4,0,4,0,0,1,0
ENSG00000187134,6,9,15,9,6,8,2,4
ENSG00000196139,116,120,184,65,111,136,158,112
ENSG00000122787,0,3,2,6,0,1,5,0
ENSG00000142208,2498,2266,4988,4182,2074,2868,1990,2424
ENSG00000105221,28,31,76,26,17,29,15,20
ENSG00000117020,0,0,0,1,0,0,0,1
ENSG00000163631,0,1,0,0,0,0,0,0
ENSG00000059573,12,12,24,7,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,2,1,6,1,2,3,0,3
ENSG00000159423,73,58,77,105,42,47,48,51
ENSG00000164904,2,1,0,1,1,0,0,0
ENSG00000143149,55,59,116,69,39,50,42,45
ENSG00000149925,1678,1645,2796,2480,1477,2045,1145,1703
ENSG00000109107,10,11,4,5,7,7,4,9
ENSG00000253710,43,42,48,47,19,49,35,33
ENSG00000159063,0,3,3,0,3,4,2,4
ENSG00000162551,0,0,0,0,0,0,2,0
ENSG00000123505,101,117,206,70,99,170,100,138
ENSG00000162066,172,133,234,195,73,160,102,131
ENSG00000144233,68,61,119,55,49,64,58,78
ENSG00000243480,3,2,2,2,1,3,2,4
ENSG00000214174,7,6,18,6,7,17,10,8
ENSG00000153107,102,69,137,79,52,99,47,92
ENSG00000141552,18,25,22,26,11,30,13,20
ENSG00000089053,1015,894,1782,1525,820,1147,788,912
ENSG00000088448,528,492,985,762,442,576,386,556
ENSG00000132466,9,6,9,13,8,5,7,5
ENSG00000215559,3,3,11,5,2,5,2,8
ENSG00000251056,33,25,52,39,22,36,27,23
ENSG00000206192,0,0,1,0,0,0,2,0
ENSG00000105186,153,128,232,193,118,174,88,116
ENSG00000196912,16,18,30,15,7,18,16,14
ENSG00000160746,90,87,116,125,59,82,44,76
ENSG00000164111,463,546,901,373,442,636,404,602
ENSG00000138279,217,215,227,93,145,152,153,172
ENSG00000166747,138,124,111,63,64,110,107,70
ENSG00000106367,870,758,1018,1308,507,714,582,571
ENSG00000183020,8,16,16,9,12,8,11,7
ENSG00000161203,13,15,21,19,5,13,14,11
ENSG00000132842,126,109,165,139,97,107,103,94
ENSG00000221838,38,33,48,59,22,40,32,25
ENSG00000011132,18,9,22,10,10,20,9,17
ENSG00000163697,202,154,213,103,143,186,161,177
ENSG00000171388,0,0,0,0,0,0,1,1
ENSG00000110244,1,0,2,0,0,1,1,1
ENSG00000239713,0,0,0,0,0,1,1,0
ENSG00000110245,0,0,0,0,0,0,0,0
ENSG00000189058,49,71,141,73,85,80,71,69
ENSG00000130203,1,0,0,0,0,2,1,0
ENSG00000184831,43,39,74,59,34,44,23,30
ENSG00000256053,337,291,715,555,292,447,247,383
ENSG00000142192,334,312,550,307,234,432,210,362
ENSG00000062725,2535,2307,4141,2944,2002,2996,2263,2718
ENSG00000157500,4,5,5,2,1,2,4,8
ENSG00000165272,7,14,6,3,8,12,18,9
ENSG00000086159,2,0,0,1,0,1,0,0
ENSG00000103569,0,0,0,0,0,0,0,0
ENSG00000109321,40,38,52,33,40,51,28,32
ENSG00000143761,46,57,58,17,31,74,52,44
ENSG00000004059,16,19,23,14,10,20,12,16
ENSG00000101199,141,146,183,96,122,165,128,142
ENSG00000242247,51,49,52,36,25,50,30,33
ENSG00000124198,217,199,279,190,123,227,165,165
ENSG00000132254,59,63,72,47,52,91,53,71
ENSG00000134884,203,239,446,142,252,282,208,265
ENSG00000175220,22,24,22,19,18,26,22,22
ENSG00000147256,0,0,0,0,0,0,0,0
ENSG00000196914,249,212,480,360,205,317,206,273
ENSG00000116584,33,31,47,24,26,24,19,21
ENSG00000129675,0,0,0,0,0,0,0,0
ENSG00000131089,81,81,99,76,44,53,49,66
ENSG00000054267,290,265,386,440,175,285,224,272
ENSG00000182196,345,320,727,578,290,466,254,370
