Geneid,SRR21043274,SRR21043513,SRR21043596,SRR21043934,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,3,0,0,3,0,0
ENSG00000127837,128,163,190,247,110,122,128,157
ENSG00000090861,279,359,393,369,167,265,185,246
ENSG00000275700,36,55,51,49,23,29,30,23
ENSG00000085563,4,4,14,7,6,8,3,3
ENSG00000023839,51,63,112,67,44,47,38,58
ENSG00000114770,501,682,1364,737,361,546,408,498
ENSG00000164163,24,59,44,49,23,61,28,41
ENSG00000204574,296,352,371,381,241,325,233,283
ENSG00000161204,7,12,23,20,12,11,8,5
ENSG00000160179,3,1,2,0,1,4,6,1
ENSG00000108846,15,23,22,13,10,17,7,17
ENSG00000118777,141,175,263,242,120,202,131,170
ENSG00000163686,24,12,17,11,13,4,7,13
ENSG00000097007,13,14,17,11,10,13,9,8
ENSG00000115361,0,1,0,0,0,0,0,1
ENSG00000120437,55,73,75,68,44,60,29,32
ENSG00000182827,99,92,78,110,65,85,52,75
ENSG00000102977,17,18,20,15,8,11,7,14
ENSG00000159640,6,5,11,5,3,8,6,7
ENSG00000087085,18,25,67,41,22,18,23,21
ENSG00000131473,104,212,114,199,144,137,141,135
ENSG00000123130,1,0,1,5,0,4,1,1
ENSG00000151726,91,107,59,98,74,121,65,70
ENSG00000075624,582,828,783,853,657,858,808,759
ENSG00000266920,1,0,0,2,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,174,193,224,228,164,203,171,196
ENSG00000137845,168,239,382,286,205,212,140,226
ENSG00000114948,0,0,1,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,288,345,546,392,257,338,267,329
ENSG00000065457,8,14,10,19,8,7,13,12
ENSG00000163050,38,58,48,38,25,33,34,31
ENSG00000155897,0,0,2,0,0,0,0,0
ENSG00000162104,8,8,11,5,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,148,213,199,215,142,200,166,176
ENSG00000156110,364,499,656,495,317,449,317,428
ENSG00000148926,11,7,8,9,8,17,13,7
ENSG00000181915,141,150,220,218,116,172,97,126
ENSG00000163485,4,11,7,3,1,2,4,3
ENSG00000128271,0,3,1,0,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,1,0,3,1,2,3,2
ENSG00000173020,45,90,72,79,45,52,52,62
ENSG00000239900,0,0,3,1,0,1,2,0
ENSG00000169129,3,4,5,3,3,6,2,3
ENSG00000183077,20,38,35,20,21,28,15,18
