"gene","ensembl_id","stat","log2FoldChange"
"S100P","ENSG00000163993",2.92098764150072e-08,0.717398563132409
"PSCA","ENSG00000167653",0.000150122143765841,0.74849025746221
"PABPC3","ENSG00000151846",0.000475668250556346,-1.06543002502629
"ATF7IP","ENSG00000171681",0.000475668250556346,-0.771931860208754
"UBP1","ENSG00000153560",0.000726176616230645,-0.547610645753158
"AGR2","ENSG00000106541",0.00090824976827776,0.566187485796384
"PER1","ENSG00000179094",0.000927849270745822,0.701231573632026
"MAOB","ENSG00000069535",0.000961364536393643,1.09248079798091
"UBAP2L","ENSG00000143569",0.00105064678770728,-0.579099891229297
"FAM107B","ENSG00000065809",0.00105064678770728,-0.583416490474825
"FKBP5","ENSG00000096060",0.00105064678770728,1.1326530623973
"HMGCS1","ENSG00000112972",0.0022569912144326,0.495822627969014
"NBPF12","ENSG00000268043",0.00227438103489989,-0.409735164346097
"FAR2","ENSG00000064763",0.00263670481543624,0.728251037109766
"OS9","ENSG00000135506",0.00285833578315115,0.634043956904849
"RPS4X","ENSG00000198034",0.00286917291785512,0.552739792128677
"EIF3L","ENSG00000100129",0.00298711758616764,0.546529971260659
"ATG101","ENSG00000123395",0.00298711758616764,0.641825963671918
"MUC20","ENSG00000176945",0.00298711758616764,-0.53847016404629
"DENR","ENSG00000139726",0.00298711758616764,-0.469330647529161
"NPIPB4","ENSG00000185864",0.00304282029783187,-0.514442583147871
"P4HTM","ENSG00000178467",0.00339593164950969,0.884314180482931
"DCDC2","ENSG00000146038",0.00342863603404129,-0.450258950453944
"THG1L","ENSG00000113272",0.00355739201345032,0.684149465617913
"NPIPB3","ENSG00000169246",0.00462514626365742,0.425494118656116
"JUNB","ENSG00000171223",0.00534462715382168,0.526428237580427
"LMAN2","ENSG00000169223",0.00534462715382168,0.420892338722504
"MCCC2","ENSG00000131844",0.00600690183602018,0.456368205870099
"IMPDH2","ENSG00000178035",0.00623667058360189,0.503061333415266
"PRPF38B","ENSG00000134186",0.00623667058360189,-0.52155187817969
"RPN1","ENSG00000163902",0.00623667058360189,0.372368707158475
"UBL5","ENSG00000198258",0.00623667058360189,0.423513663134426
"UCP2","ENSG00000175567",0.00623667058360189,0.438152766189774
"RAB11FIP3","ENSG00000090565",0.00623667058360189,0.714326135904738
"NOC2L","ENSG00000188976",0.00623667058360189,0.510569315123509
"NULL","",0.00643631793491728,-0.402291128170862
"CPT2","ENSG00000157184",0.00729543360987437,0.671406947023667
"TMEM87B","ENSG00000153214",0.00729543360987437,0.416460712818306
"CETN2","ENSG00000147400",0.00729543360987437,0.482034185702191
"ARLN","ENSG00000164096",0.00729543360987437,-0.529074278579866
"SLC25A43","ENSG00000077713",0.00729543360987437,-0.629473552183133
"ISCU","ENSG00000136003",0.00891864707417043,0.468946723688351
"COX8A","ENSG00000176340",0.00891864707417043,-0.42704927999604
"PHKA1","ENSG00000067177",0.00891864707417043,0.79605808374777
"BCLAF1","ENSG00000029363",0.00891864707417043,-0.47509222839089
"TRIM37","ENSG00000108395",0.00938394649686269,0.354771988644193
"SDHD","ENSG00000204370",0.00938394649686269,0.645207104272709
"CHMP2A","ENSG00000130724",0.0100649467353283,-0.53508226597431
"DDIT3","ENSG00000175197",0.0100649467353283,0.410247647370876
"GOLGA6L9","ENSG00000197978",0.0100649467353283,-0.727159165647534
"GNPNAT1","ENSG00000100522",0.0100649467353283,-0.57492274477534
"RPL7A","ENSG00000148303",0.0105898765325139,0.494712364765665
"ACTG1","ENSG00000184009",0.0126364116182852,-0.350270815873928
"DHX15","ENSG00000109606",0.0145952793366364,-0.351504381906857
"RPL9","ENSG00000163682",0.0146367423587466,0.451923962658993
"USP5","ENSG00000111667",0.0146367423587466,0.615129911079575
"GFM1","ENSG00000168827",0.0146367423587466,-0.505524751365944
"SPINT2","ENSG00000167642",0.0146367423587466,-0.51450241860894
"CAB39L","ENSG00000102547",0.0146416643914001,-0.596470397694381
"FASTKD2","ENSG00000118246",0.0148275739581384,0.568953852095828
"RPS24","ENSG00000138326",0.0154836128154743,-0.464022675144008
"EIF3E","ENSG00000104408",0.0169359092777519,0.343125206145549
"ATP5MG","ENSG00000167283",0.017620781747145,-0.407764018580374
"LARS1","ENSG00000133706",0.0194764930897655,0.4356292051844
"UBE2R2","ENSG00000107341",0.0202321016667242,0.420075636482459
"HSPA5","ENSG00000044574",0.0207087039103415,0.560734531717999
"ACTB","ENSG00000075624",0.0222827958760487,-0.429002400483083
"DDX39B","ENSG00000198563",0.0222827958760487,0.537171349189858
"FAU","ENSG00000149806",0.0222827958760487,0.358044737146126
"CALML5","ENSG00000178372",0.0222827958760487,0.689752646730643
"TXNIP","ENSG00000265972",0.0222827958760487,0.450353280165332
"KYNU","ENSG00000115919",0.0222827958760487,-0.353827061703615
"TES","ENSG00000135269",0.0237156582561021,0.698916178624351
"CREG2","ENSG00000175874",0.0240304339594091,0.557079418861164
"JUN","ENSG00000177606",0.026345050983593,-0.609340953561336
"GSPT1","ENSG00000103342",0.0266109383408978,-0.38923508186624
"TRIQK","ENSG00000205133",0.0266109383408978,-0.367354337172594
"KICS2","ENSG00000174206",0.0270967905014079,0.795144746554864
"LACTB","ENSG00000103642",0.0270967905014079,-0.348278138053578
"ROGDI","ENSG00000067836",0.0270967905014079,-0.747522467226029
"ENSG00000215271","ENSG00000215271",0.0274351183516079,0.741835669194036
"PDIA6","ENSG00000143870",0.0285933852499835,0.34850007045052
"EMC4","ENSG00000128463",0.0285933852499835,0.515802036960867
"DSP","ENSG00000096696",0.0285933852499835,0.421436852643813
"ABAT","ENSG00000183044",0.0287949319736472,0.624940824057033
"GTF2A1","ENSG00000165417",0.0287949319736472,-0.545440397721398
"ALCAM","ENSG00000170017",0.0288952753792015,0.302095642645336
"SLC6A14","ENSG00000268104",0.0288952753792015,-0.426606846739204
"LAMP1","ENSG00000185896",0.0295657837391534,0.341092552041904
"NDUFS5","ENSG00000168653",0.0310633759385065,-0.398470937970209
"HSP90AB1","ENSG00000096384",0.0318730027701389,0.340055868289952
"DAD1","ENSG00000129562",0.0319255476025723,-0.323939548991869
"HIF1A","ENSG00000100644",0.0319255476025723,0.476840548033562
"SLC35C1","ENSG00000181830",0.0319255476025723,-0.598158963652287
"RAVER1","ENSG00000161847",0.0321779345127957,-0.527278046342239
"CD24","ENSG00000272398",0.0321779345127957,-0.476682402635974
"SLC25A1","ENSG00000100075",0.0337445001625043,-0.451869068080737
"ATOX1","ENSG00000177556",0.0343491335703998,-0.49159402986309
"BRD2","ENSG00000204256",0.0343491335703998,-0.487706429341305
"EFHD1","ENSG00000115468",0.0356792972567765,0.474294858382408
"UPF3A","ENSG00000169062",0.0368146775432859,-0.677663063925841
"CALCR","ENSG00000004948",0.0386793599614,0.57119578711265
"MRPL45","ENSG00000278845",0.0386793599614,-0.45491518319678
"TNKS2","ENSG00000107854",0.0402294067136106,0.441159149462442
"AP1S1","ENSG00000106367",0.0408967307148677,0.345567267194236
"DOLPP1","ENSG00000167130",0.0408967307148677,0.595843930240525
"PSMA7","ENSG00000101182",0.0408967307148677,0.366762754956635
"ELOB","ENSG00000103363",0.0408967307148677,0.323068242518983
"TOMM20","ENSG00000173726",0.0408967307148677,-0.561444413073187
"PDHB","ENSG00000168291",0.0408967307148677,0.499474286834023
"SELENOI","ENSG00000138018",0.0408967307148677,0.429340545717289
"SPSB3","ENSG00000162032",0.0425091105354754,0.402818738482031
"TAPBP","ENSG00000231925",0.042954208651996,0.313670433352534
"INPPL1","ENSG00000165458",0.0435292146233124,-0.321698492535677
"ZFP36L2","ENSG00000152518",0.0449450558206249,-0.470393538119981
