"gene","ensembl_id","stat","log2FoldChange"
"FKBP5","ENSG00000096060",5.45743201105187e-15,2.02526419936965
"S100P","ENSG00000163993",1.88993001439597e-11,0.96838658687342
"PSCA","ENSG00000167653",5.85692872568308e-11,1.1144558677758
"PABPC3","ENSG00000151846",7.60387173592433e-06,-1.50876434295605
"PER1","ENSG00000179094",7.60387173592433e-06,0.936279146300759
"AGR2","ENSG00000106541",1.07569663816676e-05,0.883241404235067
"HMGCS1","ENSG00000112972",1.59716405833068e-05,0.666198352972621
"UBAP2L","ENSG00000143569",1.70675326155546e-05,-0.699636413997138
"UBP1","ENSG00000153560",4.01212036289982e-05,-0.711167070736721
"FAR2","ENSG00000064763",4.02341604662469e-05,0.927549611676299
"RPL21","ENSG00000122026",4.02341604662469e-05,0.63511588795996
"PIGP","ENSG00000185808",4.15271974446745e-05,-0.824588016669517
"ATG101","ENSG00000123395",5.02762358682596e-05,0.850803171973913
"IMPDH2","ENSG00000178035",6.96587545436375e-05,0.7576701848154
"MUC20","ENSG00000176945",0.00012488695117218,-0.684434022224763
"MCCC2","ENSG00000131844",0.000139822090827485,0.734913689203452
"RPL7A","ENSG00000148303",0.00018389594183195,0.599707423399342
"DCDC2","ENSG00000146038",0.000187076807788093,-0.542551538601478
"RPS4X","ENSG00000198034",0.000278587399585493,0.673493960171028
"MAOB","ENSG00000069535",0.000298806185261432,1.10619070613846
"LMAN2","ENSG00000169223",0.000301750428865937,0.577753664145619
"CD24","ENSG00000272398",0.000301750428865937,-0.748976351585217
"LACTB","ENSG00000103642",0.000571499282627316,-0.469329512834284
"OS9","ENSG00000135506",0.000643435328285982,0.689743548997563
"ISCU","ENSG00000136003",0.000670196247876855,0.592740767136025
"TXNIP","ENSG00000265972",0.000724961178224047,0.688372077501619
"CETN2","ENSG00000147400",0.000748948032054432,0.681251459407508
"ALCAM","ENSG00000170017",0.000805338860815147,0.418230503018511
"NDUFS5","ENSG00000168653",0.000923425350400086,-0.628204081451734
"SLC6A14","ENSG00000268104",0.000923425350400086,-0.636134749636396
"EIF3L","ENSG00000100129",0.00116302479954125,0.65594127459758
"ARLN","ENSG00000164096",0.00137711107804621,-0.755761532868544
"DSP","ENSG00000096696",0.00168667556786182,0.552321944204812
"ATF7IP","ENSG00000171681",0.00195638527371146,-0.816619155376141
"KYNU","ENSG00000115919",0.00195638527371146,-0.505839205167526
"RPN1","ENSG00000163902",0.00208629672147784,0.471598988869386
"IGFBP3","ENSG00000146674",0.00220461687142817,1.08268536520708
"UCP2","ENSG00000175567",0.00225498151623027,0.678784627453705
"LRCH3","ENSG00000186001",0.00225498151623027,-0.644465575902478
"CD2AP","ENSG00000198087",0.00225498151623027,-1.0095689828816
"PDHB","ENSG00000168291",0.00271350917418552,0.617227174952917
"LGALS3","ENSG00000131981",0.00271350917418552,-0.507772704634939
"P4HTM","ENSG00000178467",0.00321648959288878,0.887054588415247
"INPPL1","ENSG00000165458",0.00325789797467176,-0.454912166779434
"UBL5","ENSG00000198258",0.00357234353930735,0.480629276545871
"RPL18A","ENSG00000105640",0.00405627841020578,0.739188030065285
"RPL9","ENSG00000163682",0.00439174431148356,0.547447126181526
"RAB11FIP3","ENSG00000090565",0.00439174431148356,0.83526058974822
"TRIM37","ENSG00000108395",0.0044626217875265,0.529887543481375
"KRT15","ENSG00000171346",0.0044626217875265,0.815266165068415
"DDIT3","ENSG00000175197",0.00483923791741602,0.450688258853879
"BCAS1","ENSG00000064787",0.0048918430946729,-0.910177647576777
"ATP5F1D","ENSG00000099624",0.00522573816996363,0.791013092277715
"GTF2F2","ENSG00000188342",0.00522573816996363,0.846052117680898
"ALKBH5","ENSG00000091542",0.00522573816996363,0.856974407716374
"RPS15","ENSG00000115268",0.00551710328560677,0.480787373611166
"ID2","ENSG00000115738",0.00587525799296897,-0.542387117913744
"ZNG1B","ENSG00000136682",0.00587525799296897,-0.403155110571814
"INTS3","ENSG00000143624",0.00587525799296897,-0.402282407165007
"CDK8","ENSG00000132964",0.00608846305052756,-0.692216418072247
"NFE2L1","ENSG00000082641",0.00608846305052756,0.479137041573368
"SDCBP","ENSG00000137575",0.00608846305052756,-0.47857414625168
"THG1L","ENSG00000113272",0.00614879627623983,0.687716473835591
"BAMBI","ENSG00000095739",0.00686955995892074,-0.381188512763658
"FEM1A","ENSG00000141965",0.00694635839983805,-0.587245158078128
"CAB39L","ENSG00000102547",0.00699559084179696,-0.621621642029274
"DENR","ENSG00000139726",0.00706439854210694,-0.533151137192877
"SPSB3","ENSG00000162032",0.00729376019193244,0.604329912246154
"FASTKD2","ENSG00000118246",0.00766723031163834,0.697455223950611
"SYNGR2","ENSG00000108639",0.00768134590898423,0.463170302120707
"ING3","ENSG00000071243",0.00781411740021565,-0.855676955052718
"NPIPB4","ENSG00000185864",0.00781411740021565,-0.572292773870167
"NULL","",0.00899295984352087,-0.40499918794599
"HIF1A","ENSG00000100644",0.00899295984352087,0.581536558604376
"FAM107B","ENSG00000065809",0.00899295984352087,-0.569327742611625
"CREG2","ENSG00000175874",0.00899295984352087,0.657230614200897
"ROGDI","ENSG00000067836",0.00899295984352087,-0.799832829790193
"NPIPB3","ENSG00000169246",0.00899295984352087,0.606070400065043
"NONO","ENSG00000147140",0.00899295984352087,-0.434903370418006
"RBBP4","ENSG00000162521",0.00899295984352087,-0.441696989557458
"BUB3","ENSG00000154473",0.00921189875601717,0.646788811560039
"TMEM87B","ENSG00000153214",0.00932188276493736,0.442497570174322
"GORASP2","ENSG00000115806",0.00955527061598982,-0.740325688473207
"FAM32A","ENSG00000105058",0.00983600555256777,-0.411455332273992
"SELENOI","ENSG00000138018",0.0111562474793341,0.534662934073019
"DEGS2","ENSG00000168350",0.0111562474793341,0.816835180483415
"SUPT4H1","ENSG00000213246",0.0111562474793341,0.454928798968268
"LLGL2","ENSG00000073350",0.0118433743618278,0.375779303516466
"MAFB","ENSG00000204103",0.0123672469529202,0.592898696949009
"UBE2R2","ENSG00000107341",0.0128562263311252,0.571614892888042
"MASTL","ENSG00000120539",0.0137457587821049,-0.583520498719167
"PHKA1","ENSG00000067177",0.0142654713419554,1.02898984570972
"ZNF354A","ENSG00000169131",0.014386519005258,-0.467919156625991
"BRF2","ENSG00000104221",0.0148772491687028,0.89130785791662
"EIF4A2","ENSG00000156976",0.0152854220645161,0.420248531855996
"LAMP1","ENSG00000185896",0.0152964835041107,0.471871273410851
"DUSP1","ENSG00000120129",0.015346306491397,0.621578945697367
"HSP90AB1","ENSG00000096384",0.015346306491397,0.35277532380528
"GNB1","ENSG00000078369",0.015346306491397,0.493684329902212
"ADRA2C","ENSG00000184160",0.015591198738517,-0.629044833458967
"RPS17","ENSG00000182774",0.0161863263626196,0.834355287013661
"FAU","ENSG00000149806",0.0170658788401162,0.429310810387547
"FAM110B","ENSG00000169122",0.0170658788401162,0.802551885120709
"ZNF721","ENSG00000182903",0.0170658788401162,-0.659872714466404
"CAPN13","ENSG00000162949",0.0170658788401162,0.759096341012675
"RAVER1","ENSG00000161847",0.0170658788401162,-0.735519372681993
"ORC4","ENSG00000115947",0.01723627725214,-0.443869201325229
"BRD2","ENSG00000204256",0.01723627725214,-0.726407337727864
"SP100","ENSG00000067066",0.01723627725214,-1.12421134154977
"DOLPP1","ENSG00000167130",0.0175503525084184,0.653479264259173
"MICAL2","ENSG00000133816",0.0175503525084184,0.654862538339144
"PPIAL4A","ENSG00000263353",0.0175503525084184,-0.439565552009969
"GFM1","ENSG00000168827",0.0178260444478446,-0.555300074161887
"BATF","ENSG00000156127",0.0180309300313752,0.6538763519427
"ATG3","ENSG00000144848",0.0181846450747496,-0.550228872624121
"GREB1","ENSG00000196208",0.0184938266636492,0.779156148746418
"CTTN","ENSG00000085733",0.0187021204760548,0.664436839302963
"SMAP1","ENSG00000112305",0.0188215346629394,-0.634813145556711
"MMADHC","ENSG00000168288",0.0188215346629394,0.628822172362996
"ERRFI1","ENSG00000116285",0.0189074435258318,0.477811833632331
"BCLAF1","ENSG00000029363",0.0189074435258318,-0.616125968431375
"RBMS1","ENSG00000153250",0.019123099012547,0.853580165906888
"TPGS2","ENSG00000134779",0.019123099012547,-0.684749812108
"MACROD2","ENSG00000172264",0.0192872728529073,-0.777656627959578
"RPL6","ENSG00000089009",0.0194603092223852,0.481746627003701
"ELOB","ENSG00000103363",0.0194603092223852,0.393202975116482
"KCTD10","ENSG00000110906",0.0194603092223852,-0.628040278518119
"POGLUT3","ENSG00000178202",0.0198771182379108,-0.579944663820185
"SLC19A2","ENSG00000117479",0.020625191845058,0.625348302353345
"SLC6A6","ENSG00000131389",0.020625191845058,-0.728998036153888
"DAD1","ENSG00000129562",0.0213521625246546,-0.510983854023701
"MRPS16","ENSG00000182180",0.0213521625246546,0.553689663560347
"ZNF638","ENSG00000075292",0.0214750983663732,-0.365631347109883
"DDA1","ENSG00000130311",0.0214750983663732,-0.510567271351117
"ORAI1","ENSG00000276045",0.0214750983663732,-0.569829891648273
"MAGED1","ENSG00000179222",0.0214890969779761,0.637045038113322
"ABHD2","ENSG00000140526",0.0218684243549577,0.542986748214809
"SND1","ENSG00000197157",0.0218684243549577,0.412851653178126
"GAB1","ENSG00000109458",0.0220891010924466,-0.712430244360111
"LMNA","ENSG00000160789",0.0222758087107227,0.355523920284951
"DSCC1","ENSG00000136982",0.0223571980256456,-0.806018118858956
"CALML5","ENSG00000178372",0.0226882908976109,0.818671308069798
"TAPBP","ENSG00000231925",0.023216165350497,0.382227124104123
"COG6","ENSG00000133103",0.023216165350497,0.672202386144389
"P4HA1","ENSG00000122884",0.023216165350497,0.863135498245653
"MRPL45","ENSG00000278845",0.023216165350497,-0.542465003572837
"CBX6","ENSG00000183741",0.024516122609782,-0.373034703431601
"CHERP","ENSG00000085872",0.024516122609782,0.758236747263629
"MAEA","ENSG00000090316",0.024516122609782,-0.651431740333915
"HSPA5","ENSG00000044574",0.024516122609782,0.575024084978736
"ATP5MG","ENSG00000167283",0.024516122609782,-0.578366640955496
"SLC25A25","ENSG00000148339",0.0256853702299928,0.415757780284185
"ACTG1","ENSG00000184009",0.0256853702299928,-0.447141983802647
"DHDDS","ENSG00000117682",0.0260778486039818,0.80292141340696
"TM9SF2","ENSG00000125304",0.0260778486039818,-0.508015930402122
"UBE3A","ENSG00000114062",0.0260778486039818,0.653114627987413
"RAB10","ENSG00000084733",0.0260778486039818,-0.426735970340288
"SNX17","ENSG00000115234",0.0260778486039818,0.492716058887864
"ILK","ENSG00000166333",0.0265369762722833,0.607062784187419
"MARCHF6","ENSG00000145495",0.0265369762722833,0.831723812524323
"DHX15","ENSG00000109606",0.0274214585864435,-0.419673148655658
"ABAT","ENSG00000183044",0.0274332009574521,0.601879558165732
"JUN","ENSG00000177606",0.0277518301980982,-0.703609273124693
"ZNF808","ENSG00000198482",0.027930043884642,-0.492743711485809
"NCOR2","ENSG00000196498",0.0281000658777963,-0.544181849439161
"CALCR","ENSG00000004948",0.028160532456388,0.73047093671655
"EMC4","ENSG00000128463",0.0283674782309215,0.492372012379419
"CKS2","ENSG00000123975",0.0286127834502756,-0.450730685812392
"POLR2C","ENSG00000102978",0.02873771324491,0.536292400567731
"SLC38A1","ENSG00000111371",0.02873771324491,0.353158636647233
"ZFAND3","ENSG00000156639",0.02873771324491,-0.391148136083858
"NBPF12","ENSG00000268043",0.02873771324491,-0.467997621999001
"GOLGA5","ENSG00000066455",0.0296151555686412,0.575419468262766
"PRPF38B","ENSG00000134186",0.0297498884737135,-0.583676521368062
"STAT1","ENSG00000115415",0.0297498884737135,-0.70113318996078
"ARL1","ENSG00000120805",0.0297498884737135,-0.450502073038368
"COQ10B","ENSG00000115520",0.0297498884737135,-0.607674146835076
"TRIQK","ENSG00000205133",0.0297498884737135,-0.465420145709893
"HM13","ENSG00000101294",0.0297498884737135,-0.47429744582246
"PRMT2","ENSG00000160310",0.0297498884737135,-0.633840452713565
"MCMBP","ENSG00000197771",0.0298704804052814,0.433178753423557
"YWHAE","ENSG00000108953",0.029986946485911,-0.451426236895942
"EIF4EBP3","ENSG00000243056",0.0301025574380063,0.544288168694418
"KLF9","ENSG00000119138",0.0301025574380063,0.629617038322956
"TMEM50B","ENSG00000142188",0.030234727665441,0.827561339572387
"TRAPPC12","ENSG00000171853",0.0311378652886872,0.536675021983265
"CHMP2A","ENSG00000130724",0.0314762597956761,-0.634571203944043
"CHKA","ENSG00000110721",0.0316061316768433,0.409188271750587
"PPP3CA","ENSG00000138814",0.0317218160213764,0.619080149278077
"E2F5","ENSG00000133740",0.0318215892340743,0.514188820637604
"LIMS3","ENSG00000256977",0.032097207447289,0.854142231177454
"ACKR3","ENSG00000144476",0.0330153786106821,0.82778246689082
"PCBD2","ENSG00000132570",0.0332540603282607,0.580721158409654
"ACTB","ENSG00000075624",0.0342981739951491,-0.497638845049323
"CCDC51","ENSG00000164051",0.0349802504463167,-0.682769036169624
"ENSG00000215271","ENSG00000215271",0.0351196749206194,0.647050376843414
"GGPS1","ENSG00000152904",0.0351196749206194,-0.531217810043345
"TMED2","ENSG00000086598",0.0360347791496925,0.342458995049331
"KDM4B","ENSG00000127663",0.0360537858486941,0.582497188235912
"ENSG00000271880","ENSG00000271880",0.0360537858486941,0.651228386946865
"RNF6","ENSG00000127870",0.0365005197621232,0.411759902317081
"SELENOH","ENSG00000211450",0.0370016174057606,0.557167654330638
"TNKS2","ENSG00000107854",0.0370163453799168,0.573096745715605
"RPS27","ENSG00000177954",0.0372367596633602,-0.318057463638793
