Geneid,SRR21043272,SRR21043511,SRR21043594,SRR21043932,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,1,0,1,0,0,3,0,0
ENSG00000127837,200,238,301,205,110,122,128,157
ENSG00000090861,376,459,477,418,167,265,185,246
ENSG00000275700,46,66,92,46,23,29,30,23
ENSG00000085563,11,10,5,9,6,8,3,3
ENSG00000023839,67,76,158,82,44,47,38,58
ENSG00000114770,992,1002,1915,753,361,546,408,498
ENSG00000164163,44,38,37,42,23,61,28,41
ENSG00000204574,411,398,399,440,241,325,233,283
ENSG00000161204,26,28,28,26,12,11,8,5
ENSG00000160179,7,5,3,2,1,4,6,1
ENSG00000108846,22,20,22,15,10,17,7,17
ENSG00000118777,243,237,290,222,120,202,131,170
ENSG00000163686,16,23,29,21,13,4,7,13
ENSG00000097007,14,7,22,15,10,13,9,8
ENSG00000115361,0,1,0,1,0,0,0,1
ENSG00000120437,55,76,67,101,44,60,29,32
ENSG00000182827,93,115,111,111,65,85,52,75
ENSG00000102977,17,19,24,12,8,11,7,14
ENSG00000159640,5,8,14,4,3,8,6,7
ENSG00000087085,46,43,102,38,22,18,23,21
ENSG00000131473,165,128,102,216,144,137,141,135
ENSG00000123130,5,3,2,1,0,4,1,1
ENSG00000151726,93,83,59,145,74,121,65,70
ENSG00000075624,640,747,876,973,657,858,808,759
ENSG00000266920,0,0,2,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,165,188,240,260,164,203,171,196
ENSG00000137845,371,266,385,328,205,212,140,226
ENSG00000114948,1,5,1,1,1,3,3,1
ENSG00000087116,1,0,1,0,0,0,0,0
ENSG00000197381,417,419,583,453,257,338,267,329
ENSG00000065457,11,21,13,10,8,7,13,12
ENSG00000163050,29,35,58,51,25,33,34,31
ENSG00000155897,0,1,0,0,0,0,0,0
ENSG00000162104,12,10,14,6,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,139,141,179,246,142,200,166,176
ENSG00000156110,523,519,620,605,317,449,317,428
ENSG00000148926,4,12,16,16,8,17,13,7
ENSG00000181915,187,157,236,166,116,172,97,126
ENSG00000163485,4,5,10,3,1,2,4,3
ENSG00000128271,1,4,1,6,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,0,1,1,5,1,2,3,2
ENSG00000173020,86,116,102,104,45,52,52,62
ENSG00000239900,1,2,2,0,0,1,2,0
ENSG00000169129,6,3,8,8,3,6,2,3
ENSG00000183077,33,33,55,31,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,58,61,76,58,26,41,35,47
ENSG00000169692,113,140,166,159,77,95,72,90
ENSG00000138678,13,23,14,25,14,17,7,12
ENSG00000188157,1202,951,1549,1148,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,0,2,0,0,0,2,0,1
