"gene","ensembl_id","stat","log2FoldChange"
"FKBP5","ENSG00000096060",1.67148055063922e-18,2.14367977977168
"S100P","ENSG00000163993",3.01490127610978e-11,0.935907335261163
"PER1","ENSG00000179094",1.88120537264622e-09,0.983404725969174
"PSCA","ENSG00000167653",3.46181283746408e-09,1.06906203327305
"HMGCS1","ENSG00000112972",1.59813599551857e-08,0.869220847141736
"ATG101","ENSG00000123395",2.80130213473352e-08,1.05681307211241
"OS9","ENSG00000135506",1.13103339160809e-07,0.973493224694102
"MAOB","ENSG00000069535",1.16891583544271e-06,1.36644733019981
"RPS4X","ENSG00000198034",1.24147510735807e-06,0.797061729330495
"TRIQK","ENSG00000205133",2.21922691154504e-06,-0.73706658854634
"DSP","ENSG00000096696",2.69559288105721e-06,0.746266743809126
"GREB1","ENSG00000196208",2.82980899899814e-06,1.04876122501989
"RPN1","ENSG00000163902",4.7864257968922e-06,0.588310528092894
"MCCC2","ENSG00000131844",4.94034107525288e-06,0.835087760292341
"TXNIP","ENSG00000265972",6.56308690529953e-06,0.825862925542824
"UBAP2L","ENSG00000143569",1.06242010498103e-05,-0.85022238753694
"AGR2","ENSG00000106541",1.0822746454572e-05,0.902947324203639
"UBP1","ENSG00000153560",1.08752264546704e-05,-0.818045480299042
"ATF7IP","ENSG00000171681",1.42664998344143e-05,-0.965415341957524
"FAR2","ENSG00000064763",1.69924770215179e-05,0.994375617958053
"MTA3","ENSG00000057935",1.8958079441156e-05,-0.853843714656659
"BCAS1","ENSG00000064787",1.9033824312088e-05,-1.03899979572358
"BATF","ENSG00000156127",1.99269771260702e-05,0.888009442464378
"NPIPB11","ENSG00000254206",2.07862369878581e-05,-0.819502801538163
"BRD2","ENSG00000204256",2.0802422631165e-05,-0.975874437383324
"RPS27A","ENSG00000143947",2.22862543347886e-05,-0.824140957379224
"INPPL1","ENSG00000165458",2.22862543347886e-05,-0.570783425932913
"RPS17","ENSG00000182774",2.22862543347886e-05,0.943522594863512
"SLC6A14","ENSG00000268104",2.3602326777046e-05,-0.761299117299181
"PPIAL4A","ENSG00000263353",2.59241297179752e-05,-0.622076812552004
"ID2","ENSG00000115738",2.61582563077299e-05,-0.860252085436383
"NPIPB3","ENSG00000169246",3.03030052039745e-05,0.85675579504139
"CD24","ENSG00000272398",3.03030052039745e-05,-0.965663037826564
"MUC20","ENSG00000176945",3.07531008604061e-05,-0.86923370725114
"PIGP","ENSG00000185808",3.89205347169349e-05,-1.05338473902766
"POGLUT3","ENSG00000178202",4.51774950840336e-05,-0.873642844587305
"ISCU","ENSG00000136003",4.51774950840336e-05,0.656506921688491
"JUN","ENSG00000177606",4.51774950840336e-05,-0.98702386199138
"GNPNAT1","ENSG00000100522",4.51774950840336e-05,-0.901837923642411
"RPL7A","ENSG00000148303",4.60852280867051e-05,0.78030492161497
"DAD1","ENSG00000129562",5.09371617847577e-05,-0.702587886753748
"LMAN2","ENSG00000169223",5.68838525640031e-05,0.65083615270828
"DDX39B","ENSG00000198563",8.69431932460901e-05,0.837722241007912
"GTF3A","ENSG00000122034",8.69431932460901e-05,-0.799774666355694
"DDA1","ENSG00000130311",9.37933731008951e-05,-0.81033990389096
"GSPT1","ENSG00000103342",9.68589013514942e-05,-0.591894828731781
"DENR","ENSG00000139726",9.68589013514942e-05,-0.679190185843864
"NFE2L1","ENSG00000082641",9.73793716584923e-05,0.611550719040335
"KYNU","ENSG00000115919",0.000108086698623991,-0.636915478145825
"SLC19A2","ENSG00000117479",0.000126481715285262,0.847072088296503
"LACTB","ENSG00000103642",0.000129034128821204,-0.596322475028324
"NULL","",0.000132553692940318,-0.506459754638201
"RBBP4","ENSG00000162521",0.000132553692940318,-0.616136720497555
"ATG5","ENSG00000057663",0.000137350450901283,-0.682614898192661
"RAB12","ENSG00000206418",0.000149841478535808,-0.717020389427611
"MRPS15","ENSG00000116898",0.00015008903430314,-1.20110476805636
"FAM107B","ENSG00000065809",0.0001547641815045,-0.621375436061885
"CAB39L","ENSG00000102547",0.0001547641815045,-0.790501839810819
"PPP3CA","ENSG00000138814",0.0001547641815045,0.816829694502833
"INTS3","ENSG00000143624",0.0001547641815045,-0.520287312968895
"TRIM37","ENSG00000108395",0.000161537010036183,0.65725907998076
"ROGDI","ENSG00000067836",0.000163328075669556,-1.09147379009414
"SMAP1","ENSG00000112305",0.000163652113048218,-0.764674075633578
