"Gene","Log2FC","Regulation"
"PRSS23",0.248032055708354,"Upregulated"
"PDZK1",1.69016330576456,"Upregulated"
"RET",1.59322974382542,"Upregulated"
"IGFBP4",0.907551772741418,"Upregulated"
"RAB31",0.46518618207328,"Upregulated"
"GREB1",2.13407195880653,"Upregulated"
"SNX24",-0.262943567090731,"Downregulated"
"PGR",1.60787920228461,"Upregulated"
"CXCL12",0.673998102138529,"Upregulated"
"TPD52L1",0.740679672674755,"Upregulated"
"RAPGEFL1",0.712485207627066,"Upregulated"
"NRIP1",0.435914963298472,"Upregulated"
"NPY1R",0.695575239424993,"Upregulated"
"XBP1",0.919851883072847,"Upregulated"
"FKBP5",0.872078928064744,"Upregulated"
"CA12",0.399814101120745,"Upregulated"
"MYB",1.00242450523232,"Upregulated"
"GAB2",0.192919217289938,"Upregulated"
"ZNF703",0.883160759757586,"Upregulated"
"AREG",0.314737877465154,"Upregulated"
"DEPTOR",1.13763912815904,"Upregulated"
"RARA",-0.0608441146717428,"Downregulated"
"MYC",-0.134297645083844,"Downregulated"
"RCL1",0.637228361489827,"Upregulated"
"KLF10",-0.18401607599726,"Downregulated"
"CD44",-0.184567279209757,"Downregulated"
"TPBG",0.0884034574922556,"Upregulated"
"MAPT",0.550933554394531,"Upregulated"
"IER3",0.118032565417437,"Upregulated"
"PIK3R1",0.565657924452155,"Upregulated"
"MYOF",0.409313313995482,"Upregulated"
"ADCY1",0.767469534203019,"Upregulated"
"BAMBI",-0.20788043086139,"Downregulated"
"ATP2B1",-0.150661865254501,"Downregulated"
"RAB26",-0.155568387877618,"Downregulated"
"TSC22D3",-0.485244870328595,"Downregulated"
"TCF7L2",-2.04725927358727,"Downregulated"
"IL1R1",-0.988430067161289,"Downregulated"
"EFNA1",0.0756540543471997,"Upregulated"
"PKP2",-0.282829021907727,"Downregulated"
"LIMA1",-0.101625072292235,"Downregulated"
"RAB27B",-0.50014327946043,"Downregulated"
"ST8SIA4",-0.565130743454816,"Downregulated"
