Geneid,SRR21043409,SRR21043574,SRR21043960,SRR21043817,SRR21043816,SRR21043814
ENSG00000175899,0,0,2,0,0,3
ENSG00000127837,321,389,247,128,110,122
ENSG00000090861,368,482,454,185,167,265
ENSG00000275700,50,62,41,30,23,29
ENSG00000085563,6,4,5,3,6,8
ENSG00000023839,51,44,64,38,44,47
ENSG00000114770,586,687,706,408,361,546
ENSG00000164163,39,36,43,28,23,61
ENSG00000204574,356,304,424,233,241,325
ENSG00000161204,15,27,22,8,12,11
ENSG00000160179,1,8,12,6,1,4
ENSG00000108846,8,17,20,7,10,17
ENSG00000118777,210,203,268,131,120,202
ENSG00000163686,22,13,18,7,13,4
ENSG00000097007,6,9,10,9,10,13
ENSG00000115361,1,4,2,0,0,0
ENSG00000120437,137,124,115,29,44,60
ENSG00000182827,95,106,133,52,65,85
ENSG00000102977,6,8,17,7,8,11
ENSG00000159640,9,12,6,6,3,8
ENSG00000087085,30,16,39,23,22,18
ENSG00000131473,224,280,256,141,144,137
ENSG00000123130,2,6,4,1,0,4
ENSG00000151726,102,112,140,65,74,121
ENSG00000075624,1532,1673,1424,808,657,858
ENSG00000266920,0,2,0,0,0,2
ENSG00000077522,0,0,0,2,0,0
ENSG00000131966,235,234,240,171,164,203
ENSG00000137845,155,239,179,140,205,212
ENSG00000114948,2,2,4,3,1,3
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,366,269,439,267,257,338
ENSG00000065457,10,14,14,13,8,7
ENSG00000163050,55,35,51,34,25,33
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,10,6,14,8,2,4
ENSG00000187758,0,0,0,0,0,0
ENSG00000182551,243,336,232,166,142,200
ENSG00000156110,537,503,634,317,317,449
ENSG00000148926,16,23,20,13,8,17
ENSG00000181915,136,128,151,97,116,172
ENSG00000163485,18,22,5,4,1,2
ENSG00000128271,4,2,3,4,1,0
ENSG00000120907,0,0,0,0,0,0
ENSG00000169252,0,8,1,3,1,2
ENSG00000173020,104,137,120,52,45,52
ENSG00000239900,1,0,0,2,0,1
ENSG00000169129,4,11,8,2,3,6
ENSG00000183077,44,52,43,15,21,28
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,42,48,59,35,26,41
ENSG00000169692,127,90,161,72,77,95
ENSG00000138678,15,20,17,7,14,17
ENSG00000188157,500,489,804,729,846,1082
ENSG00000135744,0,0,0,0,0,0
ENSG00000144891,0,0,0,0,0,2
ENSG00000177674,30,30,42,21,32,34
ENSG00000156709,251,243,283,139,144,214
ENSG00000163568,0,0,0,0,0,0
ENSG00000197976,95,110,96,32,28,40
ENSG00000105127,343,345,351,181,196,304
ENSG00000011243,24,18,23,12,8,24
ENSG00000085662,0,1,6,1,0,0
ENSG00000187134,4,3,6,2,6,8
ENSG00000196139,131,157,159,158,111,136
ENSG00000122787,0,1,0,5,0,1
ENSG00000142208,2989,3084,2868,1990,2074,2868
ENSG00000105221,27,31,44,15,17,29
ENSG00000117020,0,0,0,0,0,0
ENSG00000163631,0,0,0,0,0,0
ENSG00000059573,17,41,24,14,4,14
ENSG00000165092,0,0,0,0,0,0
ENSG00000111275,6,1,3,0,2,3
ENSG00000159423,102,116,97,48,42,47
ENSG00000164904,2,2,1,0,1,0
ENSG00000143149,47,50,68,42,39,50
ENSG00000149925,1472,1708,1903,1145,1477,2045
ENSG00000109107,10,15,20,4,7,7
ENSG00000253710,66,58,73,35,19,49
ENSG00000159063,4,1,4,2,3,4
ENSG00000162551,0,0,0,2,0,0
ENSG00000123505,98,69,168,100,99,170
ENSG00000162066,179,243,185,102,73,160
ENSG00000144233,98,99,106,58,49,64
ENSG00000243480,4,2,5,2,1,3
ENSG00000214174,9,5,10,10,7,17
ENSG00000153107,93,85,104,47,52,99
ENSG00000141552,29,41,42,13,11,30
ENSG00000089053,1123,875,1268,788,820,1147
ENSG00000088448,521,439,592,386,442,576
ENSG00000132466,12,9,25,7,8,5
ENSG00000215559,0,5,6,2,2,5
ENSG00000251056,40,26,37,27,22,36
ENSG00000206192,1,1,2,2,0,0
ENSG00000105186,129,132,172,88,118,174
ENSG00000196912,18,26,26,16,7,18
ENSG00000160746,117,173,117,44,59,82
ENSG00000164111,511,651,712,404,442,636
ENSG00000138279,336,444,363,153,145,152
ENSG00000166747,207,126,235,107,64,110
ENSG00000106367,1397,1999,1182,582,507,714
ENSG00000183020,25,27,23,11,12,8
ENSG00000161203,11,14,16,14,5,13
ENSG00000132842,255,235,236,103,97,107
ENSG00000221838,40,52,36,32,22,40
ENSG00000011132,16,37,24,9,10,20
ENSG00000163697,281,355,315,161,143,186
ENSG00000171388,0,0,0,1,0,0
ENSG00000110244,1,1,0,1,0,1
ENSG00000239713,0,0,0,1,0,1
ENSG00000110245,0,0,0,0,0,0
ENSG00000189058,39,54,30,71,85,80
ENSG00000130203,1,0,1,1,0,2
ENSG00000184831,45,56,55,23,34,44
ENSG00000256053,292,211,331,247,292,447
ENSG00000142192,306,303,315,210,234,432
ENSG00000062725,3545,3293,3613,2263,2002,2996
