"Gene","Log2FC","Regulation"
"PRSS23",0.0586050205462981,"Upregulated"
"PDZK1",1.76108314118148,"Upregulated"
"RET",1.19256149047088,"Upregulated"
"IGFBP4",0.638629860197515,"Upregulated"
"RAB31",0.941437081629273,"Upregulated"
"GREB1",2.68279624590007,"Upregulated"
"SNX24",0.573939842938553,"Upregulated"
"PGR",1.97228336764059,"Upregulated"
"CXCL12",1.0538539520001,"Upregulated"
"TPD52L1",0.859144834206365,"Upregulated"
"RAPGEFL1",1.37083947913604,"Upregulated"
"NRIP1",0.552901271297774,"Upregulated"
"NPY1R",1.06835837353378,"Upregulated"
"XBP1",0.426109363775105,"Upregulated"
"FKBP5",0.756339801311216,"Upregulated"
"CA12",0.690833313936237,"Upregulated"
"MYB",1.1585857843286,"Upregulated"
"GAB2",0.563110071169659,"Upregulated"
"ZNF703",0.914872133841693,"Upregulated"
"AREG",0.928540468069383,"Upregulated"
"DEPTOR",0.94040213824408,"Upregulated"
"RARA",0.0996587546571175,"Upregulated"
"MYC",0.109179935799341,"Upregulated"
"RCL1",0.203830289381638,"Upregulated"
"KLF10",0.143361610333272,"Upregulated"
"CD44",0.203756320673302,"Upregulated"
"TPBG",0.459204065167854,"Upregulated"
"MAPT",0.640780114052396,"Upregulated"
"IER3",0.0772638729604786,"Upregulated"
"PIK3R1",0.201825222141844,"Upregulated"
"MYOF",0.366787936927534,"Upregulated"
"ADCY1",0.661186649302752,"Upregulated"
"BAMBI",-0.42513181777468,"Downregulated"
"ATP2B1",-0.0612706621035298,"Downregulated"
"RAB26",-0.363372375816347,"Downregulated"
"TSC22D3",-0.182597377017218,"Downregulated"
"TCF7L2",-0.365472902209057,"Downregulated"
"IL1R1",-1.14930610897376,"Downregulated"
"EFNA1",0.0416731959655443,"Upregulated"
"PKP2",-0.238382736347504,"Downregulated"
"LIMA1",-0.761893854323721,"Downregulated"
"RAB27B",-0.713533046061018,"Downregulated"
"ST8SIA4",-0.657579507673294,"Downregulated"
