Geneid,SRR21043406,SRR21043571,SRR21043957,SRR21043814,SRR21043816,SRR21043815
ENSG00000175899,0,1,0,3,0,0
ENSG00000127837,214,199,221,122,110,157
ENSG00000090861,416,299,429,265,167,246
ENSG00000275700,59,47,41,29,23,23
ENSG00000085563,3,3,4,8,6,3
ENSG00000023839,65,50,54,47,44,58
ENSG00000114770,671,427,561,546,361,498
ENSG00000164163,64,67,64,61,23,41
ENSG00000204574,316,375,412,325,241,283
ENSG00000161204,13,23,21,11,12,5
ENSG00000160179,1,1,3,4,1,1
ENSG00000108846,14,20,11,17,10,17
ENSG00000118777,241,197,223,202,120,170
ENSG00000163686,19,10,7,4,13,13
ENSG00000097007,14,11,14,13,10,8
ENSG00000115361,0,0,0,0,0,1
ENSG00000120437,99,123,127,60,44,32
ENSG00000182827,101,144,143,85,65,75
ENSG00000102977,11,9,8,11,8,14
ENSG00000159640,8,8,5,8,3,7
ENSG00000087085,26,27,17,18,22,21
ENSG00000131473,130,273,221,137,144,135
ENSG00000123130,2,6,5,4,0,1
ENSG00000151726,49,129,112,121,74,70
ENSG00000075624,854,1145,994,858,657,759
ENSG00000266920,1,0,1,2,0,2
ENSG00000077522,0,0,0,0,0,0
ENSG00000131966,196,272,244,203,164,196
ENSG00000137845,211,253,249,212,205,226
ENSG00000114948,2,4,2,3,1,1
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,398,383,405,338,257,329
ENSG00000065457,24,12,22,7,8,12
ENSG00000163050,30,45,49,33,25,31
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,14,15,14,4,2,7
ENSG00000187758,0,0,0,0,0,0
ENSG00000182551,156,244,214,200,142,176
ENSG00000156110,629,679,681,449,317,428
ENSG00000148926,14,42,25,17,8,7
ENSG00000181915,207,139,169,172,116,126
ENSG00000163485,15,20,18,2,1,3
ENSG00000128271,1,1,3,0,1,3
ENSG00000120907,0,0,0,0,0,2
ENSG00000169252,0,1,2,2,1,2
ENSG00000173020,98,95,122,52,45,62
ENSG00000239900,0,2,2,1,0,0
ENSG00000169129,5,7,16,6,3,3
ENSG00000183077,47,37,41,28,21,18
ENSG00000081051,0,0,1,0,0,0
ENSG00000162688,42,54,53,41,26,47
ENSG00000169692,100,107,115,95,77,90
ENSG00000138678,13,7,15,17,14,12
ENSG00000188157,859,889,968,1082,846,880
ENSG00000135744,0,0,0,0,0,0
ENSG00000144891,0,0,0,2,0,1
ENSG00000177674,25,40,41,34,32,28
ENSG00000156709,202,220,239,214,144,162
ENSG00000163568,0,0,0,0,0,0
ENSG00000197976,89,51,92,40,28,38
ENSG00000105127,290,284,286,304,196,232
ENSG00000011243,16,28,31,24,8,14
ENSG00000085662,2,0,2,0,0,0
ENSG00000187134,9,17,6,8,6,4
ENSG00000196139,94,123,100,136,111,112
ENSG00000122787,0,1,1,1,0,0
ENSG00000142208,3473,2902,2785,2868,2074,2424
ENSG00000105221,56,33,33,29,17,20
ENSG00000117020,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0
ENSG00000059573,6,14,7,14,4,14
ENSG00000165092,0,0,0,0,0,0
ENSG00000111275,2,1,1,3,2,3
ENSG00000159423,71,44,61,47,42,51
ENSG00000164904,0,1,1,0,1,0
ENSG00000143149,61,55,73,50,39,45
ENSG00000149925,1934,1852,2220,2045,1477,1703
ENSG00000109107,18,21,11,7,7,9
ENSG00000253710,55,72,72,49,19,33
ENSG00000159063,4,11,3,4,3,4
ENSG00000162551,0,1,1,0,0,0
ENSG00000123505,169,201,183,170,99,138
ENSG00000162066,159,144,150,160,73,131
ENSG00000144233,113,85,108,64,49,78
ENSG00000243480,2,4,7,3,1,4
ENSG00000214174,4,8,3,17,7,8
ENSG00000153107,127,126,143,99,52,92
ENSG00000141552,34,32,37,30,11,20
ENSG00000089053,1442,1122,1220,1147,820,912
ENSG00000088448,707,528,617,576,442,556
ENSG00000132466,16,11,30,5,8,5
ENSG00000215559,0,0,1,5,2,8
ENSG00000251056,48,38,42,36,22,23
ENSG00000206192,0,0,0,0,0,0
ENSG00000105186,144,147,176,174,118,116
ENSG00000196912,53,31,62,18,7,14
ENSG00000160746,119,117,141,82,59,76
ENSG00000164111,541,701,680,636,442,602
ENSG00000138279,249,434,322,152,145,172
ENSG00000166747,162,164,205,110,64,70
ENSG00000106367,1195,1218,1206,714,507,571
ENSG00000183020,10,23,12,8,12,7
ENSG00000161203,6,17,18,13,5,11
ENSG00000132842,214,198,214,107,97,94
ENSG00000221838,68,44,42,40,22,25
ENSG00000011132,15,25,17,20,10,17
