"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",3.35614594418703e-37,2.13407195880653
"NAMPT","ENSG00000105835",1.97213439656783e-18,-2.12149728315184
"PABPC3","ENSG00000151846",2.4650722169444e-18,-3.4388684298648
"SCD","ENSG00000099194",2.74566573735235e-18,-2.18806207673978
"POGLUT3","ENSG00000178202",1.15497251400736e-15,-2.4515136342587
"HM13","ENSG00000101294",7.26265357185075e-15,-1.45437966457772
"RPL34","ENSG00000109475",7.26265357185075e-15,-2.08632680996718
"KRT81","ENSG00000205426",3.01074542434882e-13,-1.4108029598426
"RPL7A","ENSG00000148303",1.08251959575352e-12,1.40624637183993
"ID2","ENSG00000115738",1.12662579137365e-12,-1.40053173190716
"TWSG1","ENSG00000128791",1.83419780337268e-12,-1.73796517927515
"PIGP","ENSG00000185808",2.83626109574405e-12,-1.79718790299829
"TBC1D9","ENSG00000109436",4.11535118046592e-12,-1.17324146622811
"PTBP3","ENSG00000119314",7.33000116281444e-12,-1.70597444528221
"YPEL3","ENSG00000090238",9.24207733285165e-12,-1.12703065725753
"LSM5","ENSG00000106355",1.18043169500487e-11,-1.68050455489728
"ZNF354A","ENSG00000169131",3.01995859449698e-11,-1.37325024270971
"TSPAN6","ENSG00000000003",6.47638905835303e-11,-1.30167117842111
"COL12A1","ENSG00000111799",7.035625051525e-11,1.42830546937532
"TMEM106C","ENSG00000134291",1.18892779363574e-10,1.88220253195683
"TMEM64","ENSG00000180694",2.76414666280004e-10,1.68154094569914
"NUDT19","ENSG00000213965",3.72113285133706e-10,-1.49279307434971
"TMSB4X","ENSG00000205542",4.86040354719168e-10,-1.05450382407528
"UBE2L5","ENSG00000236444",6.10630492684475e-10,-1.50841625227452
"KAT2B","ENSG00000114166",6.20553049962775e-10,-1.3209277826633
"TM9SF2","ENSG00000125304",8.02519899183373e-10,-1.29658771605251
"HSPA5","ENSG00000044574",8.91059165393365e-10,0.978311872089034
"H1-5","ENSG00000184357",8.91059165393365e-10,1.70129829057922
"APH1A","ENSG00000117362",8.91059165393365e-10,1.59145479997252
"PPA2","ENSG00000138777",1.2947469244693e-09,-1.33444832557862
"ANKRD52","ENSG00000139645",1.38139579164466e-09,1.56523885547078
"TRIB3","ENSG00000101255",1.46162974456511e-09,-1.10302126693717
"METTL9","ENSG00000197006",2.11961846039079e-09,-1.03556460215651
"ABRACL","ENSG00000146386",2.11961846039079e-09,-1.59024404298146
"ZNF564","ENSG00000249709",2.43408626546896e-09,-1.40890275851317
"TCEAL6","ENSG00000204071",3.38476772268711e-09,-1.60127061644959
"AGRN","ENSG00000188157",4.61773722842527e-09,-1.212077503601
"USP34","ENSG00000115464",4.61773722842527e-09,-1.42417184323986
"NONO","ENSG00000147140",4.61773722842527e-09,-1.01615966895587
"BRD2","ENSG00000204256",4.9233406554269e-09,-1.16729081523473
"TFF1","ENSG00000160182",9.25241528447213e-09,0.963625045681956
"CEP20","ENSG00000133393",9.33674468296511e-09,-1.40959922057313
"TJP1","ENSG00000104067",9.60679665568509e-09,-1.30563159739739
"FAM107B","ENSG00000065809",1.75704396758331e-08,-1.09285328061394
"WBP1L","ENSG00000166272",1.75704396758331e-08,-1.86494314724539
"UQCC1","ENSG00000101019",1.97965123732769e-08,-1.63274162314913
"SYF2","ENSG00000117614",2.03442602887749e-08,-1.3033516699781
"SIRT5","ENSG00000124523",2.15216074928553e-08,-1.42411088035463
"USP16","ENSG00000156256",2.34064498568272e-08,-2.25565708803343
"SERBP1","ENSG00000142864",2.34064498568272e-08,-1.08415936725144
"OSTM1","ENSG00000081087",2.52869973504826e-08,-1.34930885740375
"LGALS3","ENSG00000131981",2.98614761323681e-08,-0.973640778623533
"COG1","ENSG00000166685",3.25377578810184e-08,1.9377645675231
"ZBTB8OS","ENSG00000176261",3.25906571877434e-08,-1.12006107530494
"ATP6V0D1","ENSG00000159720",6.29127188847196e-08,-1.05581007277212
"IFT25","ENSG00000081870",7.09589959759174e-08,-1.78493762225254
"IKBKG","ENSG00000269335",7.09589959759174e-08,-1.48327376573696
"COX7C","ENSG00000127184",7.65286700266599e-08,-1.18027859929703
"CELSR2","ENSG00000143126",1.14976059790906e-07,1.03911014708757
"POMP","ENSG00000132963",1.14976059790906e-07,-0.962173600865252
"RPS2","ENSG00000140988",1.16121290473604e-07,0.964432897702656
"PRPF38B","ENSG00000134186",1.39661577377749e-07,-0.999022508131672
"NUDT4","ENSG00000173598",1.47288819866909e-07,-1.42172882912667
"RBL2","ENSG00000103479",1.50540073621616e-07,-1.10567618833447
"TMEM164","ENSG00000157600",1.51888712102909e-07,2.09069027917945
"SRRM2","ENSG00000167978",1.77113090898875e-07,-1.31398745673077
"SH3YL1","ENSG00000035115",2.52498710925778e-07,-1.36287922825801
"CTSA","ENSG00000064601",3.38172571692762e-07,-0.922529621212087
"TCF7L2","ENSG00000148737",3.58943404334755e-07,-2.04725927358727
"PREB","ENSG00000138073",4.04601803584007e-07,1.87747365180873
"H4C14","ENSG00000270882",4.04774195660113e-07,1.32618362949918
"SNRPB2","ENSG00000125870",4.22827351186276e-07,-1.59439457556821
"GLE1","ENSG00000119392",4.79718353730711e-07,1.2776981921344
"PTPN1","ENSG00000196396",4.97125322671168e-07,2.02970005691657
"PREX1","ENSG00000124126",5.19084791833484e-07,1.20877530979322
"LMBR1","ENSG00000105983",5.39804128330788e-07,1.04012703863589
"SUMO4","ENSG00000177688",5.83848994264566e-07,-2.13119180339662
"TMEM123","ENSG00000152558",6.08832514511698e-07,-1.2063743537376
"MRPL42","ENSG00000198015",6.71114008491083e-07,-1.49895098839639
"PRXL2C","ENSG00000158122",6.76839200250215e-07,-1.83359100179237
"GRB2","ENSG00000177885",8.25600176083386e-07,-1.307885243207
"ZFAND5","ENSG00000107372",8.25600176083386e-07,-1.59179658163335
"MAL2","ENSG00000147676",8.27023991056306e-07,-1.0900728799634
"WAC","ENSG00000095787",8.27603704555823e-07,-0.929773335567311
"BCKDHB","ENSG00000083123",8.2795761968363e-07,-1.19538677767617
"LTBR","ENSG00000111321",8.56351361782994e-07,-0.881970174331366
"PPP2R2A","ENSG00000221914",8.58130955930649e-07,-1.19055912899261
"CSTB","ENSG00000160213",8.86629740450931e-07,-1.20412337800496
"ABAT","ENSG00000183044",8.86629740450931e-07,1.21467302805615
"TMEM59","ENSG00000116209",9.69453178614863e-07,-0.815508269368703
"CACUL1","ENSG00000151893",9.94869911037756e-07,-1.779030942516
"CDK1","ENSG00000170312",1.19482402572992e-06,1.24587198582521
"BAG1","ENSG00000107262",1.3840334391129e-06,-0.92186529899274
"TUBA1B","ENSG00000123416",1.40297232567734e-06,0.978570489606761
"IER3IP1","ENSG00000134049",1.8524782404515e-06,-1.20191259825655
"BRD4","ENSG00000141867",1.86155462835852e-06,1.18240570026907
"SFXN2","ENSG00000156398",1.98760369480149e-06,1.85137260892851
"DTYMK","ENSG00000168393",2.45762855990984e-06,2.60933142321158
"IREB2","ENSG00000136381",2.45794009492862e-06,0.88114107941326
"P4HA1","ENSG00000122884",2.45794009492862e-06,1.68170846888558
"FAM174A","ENSG00000174132",2.57149935320758e-06,-1.51453380021436
