"Gene","Log2FC","Regulation"
"PRSS23",0.665898395544663,"Upregulated"
"PDZK1",3.27398913803076,"Upregulated"
"RET",1.6183037232974,"Upregulated"
"IGFBP4",1.32394076111095,"Upregulated"
"RAB31",0.868304812495279,"Upregulated"
"GREB1",3.24657028303861,"Upregulated"
"SNX24",0.035091774762798,"Upregulated"
"PGR",2.61966424306209,"Upregulated"
"CXCL12",1.6902926616167,"Upregulated"
"TPD52L1",1.26190430610725,"Upregulated"
"RAPGEFL1",2.10351594766269,"Upregulated"
"NRIP1",0.809212574732455,"Upregulated"
"NPY1R",1.53582980799744,"Upregulated"
"XBP1",0.933425019300263,"Upregulated"
"FKBP5",0.567824023859396,"Upregulated"
"CA12",0.933699438177232,"Upregulated"
"MYB",1.58925764553515,"Upregulated"
"GAB2",0.91224178427381,"Upregulated"
"ZNF703",1.06586445885624,"Upregulated"
"AREG",1.98069425103379,"Upregulated"
"DEPTOR",1.54410447896504,"Upregulated"
"RARA",0.315611365365735,"Upregulated"
"MYC",0.309177233557525,"Upregulated"
"RCL1",0.667322438288553,"Upregulated"
"KLF10",0.196686100287573,"Upregulated"
"CD44",0.446446778495599,"Upregulated"
"TPBG",0.833552268007523,"Upregulated"
"MAPT",0.406441074718506,"Upregulated"
"IER3",-0.304890461905184,"Downregulated"
"PIK3R1",-0.0558797237884477,"Downregulated"
"MYOF",0.652302638145768,"Upregulated"
"ADCY1",0.647524530157358,"Upregulated"
"BAMBI",-0.48886206777669,"Downregulated"
"ATP2B1",-0.116563623533146,"Downregulated"
"RAB26",-0.540139520513466,"Downregulated"
"TSC22D3",-0.441906379684432,"Downregulated"
"TCF7L2",-1.3628183271777,"Downregulated"
"IL1R1",-1.91775815183562,"Downregulated"
"EFNA1",-0.228768551646355,"Downregulated"
"PKP2",-0.232711938622135,"Downregulated"
"LIMA1",-1.03515173632448,"Downregulated"
"RAB27B",-0.984291413387594,"Downregulated"
"ST8SIA4",-1.252401760608,"Downregulated"
