"Gene","Log2FC","Regulation"
"PRSS23",-0.531593294405507,"Downregulated"
"RET",0.00172552271353254,"Upregulated"
"IGFBP4",0.190447660895917,"Upregulated"
"RAB31",0.0950408731126823,"Upregulated"
"GREB1",1.06585759185324,"Upregulated"
"SNX24",-0.486008753961202,"Downregulated"
"PGR",0.590617984140975,"Upregulated"
"CXCL12",0.0166855862012902,"Upregulated"
"TPD52L1",0.239863347600373,"Upregulated"
"RAPGEFL1",0.197171192251908,"Upregulated"
"NRIP1",0.156640536289506,"Upregulated"
"NPY1R",0.140779659360755,"Upregulated"
"XBP1",0.127593272652728,"Upregulated"
"FKBP5",0.186804492602619,"Upregulated"
"CA12",0.27842582397196,"Upregulated"
"MYB",0.511824170435843,"Upregulated"
"GAB2",0.218246870795607,"Upregulated"
"ZNF703",0.389439359627352,"Upregulated"
"AREG",-0.217166008130515,"Downregulated"
"DEPTOR",0.584397778552771,"Upregulated"
"RARA",-0.0699664829014895,"Downregulated"
"MYC",-0.0972623939648831,"Downregulated"
"RCL1",0.441464719861704,"Upregulated"
"KLF10",0.00741261200365395,"Upregulated"
"CD44",-0.209831907763684,"Downregulated"
"TPBG",0.0470781237873028,"Upregulated"
"MAPT",0.330289775577036,"Upregulated"
"IER3",-0.145008516595355,"Downregulated"
"PIK3R1",0.319420955671805,"Upregulated"
"MYOF",0.0246053382903756,"Upregulated"
"ADCY1",0.438783397254074,"Upregulated"
"BAMBI",-0.241691337919639,"Downregulated"
"ATP2B1",0.117373706299026,"Upregulated"
"RAB26",0.0620444162544793,"Upregulated"
"TSC22D3",-0.00204854567353275,"Downregulated"
"TCF7L2",-0.640298479926111,"Downregulated"
"IL1R1",-0.398007094861202,"Downregulated"
"EFNA1",0.165546298500946,"Upregulated"
"PKP2",-0.034245989729274,"Downregulated"
"LIMA1",-0.244495932383916,"Downregulated"
"RAB27B",-0.374793707955846,"Downregulated"
"ST8SIA4",-0.0764723495372177,"Downregulated"
