Geneid,SRR21043408,SRR21043541,SRR21043573,SRR21043959,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,0,1,1,0,3,0,0
ENSG00000127837,150,171,246,206,110,122,128,157
ENSG00000090861,266,321,376,416,167,265,185,246
ENSG00000275700,38,60,42,53,23,29,30,23
ENSG00000085563,5,1,3,6,6,8,3,3
ENSG00000023839,53,48,49,76,44,47,38,58
ENSG00000114770,601,700,691,1053,361,546,408,498
ENSG00000164163,41,31,55,43,23,61,28,41
ENSG00000204574,321,181,365,334,241,325,233,283
ENSG00000161204,17,10,20,30,12,11,8,5
ENSG00000160179,3,2,5,6,1,4,6,1
ENSG00000108846,17,9,19,20,10,17,7,17
ENSG00000118777,159,247,194,273,120,202,131,170
ENSG00000163686,8,8,16,33,13,4,7,13
ENSG00000097007,3,1,11,24,10,13,9,8
ENSG00000115361,0,0,0,1,0,0,0,1
ENSG00000120437,53,23,85,92,44,60,29,32
ENSG00000182827,76,37,128,119,65,85,52,75
ENSG00000102977,6,6,14,10,8,11,7,14
ENSG00000159640,6,6,7,19,3,8,6,7
ENSG00000087085,29,35,35,57,22,18,23,21
ENSG00000131473,169,45,306,181,144,137,141,135
ENSG00000123130,0,3,5,7,0,4,1,1
ENSG00000151726,78,23,142,80,74,121,65,70
ENSG00000075624,746,418,1634,1058,657,858,808,759
ENSG00000266920,2,0,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,203,101,310,260,164,203,171,196
ENSG00000137845,229,297,269,284,205,212,140,226
ENSG00000114948,2,0,1,0,1,3,3,1
ENSG00000087116,0,0,0,3,0,0,0,0
ENSG00000197381,333,239,342,504,257,338,267,329
ENSG00000065457,15,9,10,20,8,7,13,12
ENSG00000163050,39,12,39,53,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,10,7,12,20,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,170,51,278,211,142,200,166,176
ENSG00000156110,482,265,635,801,317,449,317,428
ENSG00000148926,8,1,27,15,8,17,13,7
ENSG00000181915,128,68,145,154,116,172,97,126
ENSG00000163485,3,3,10,7,1,2,4,3
ENSG00000128271,1,0,2,3,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,4,1,3,1,1,2,3,2
ENSG00000173020,52,67,97,108,45,52,52,62
ENSG00000239900,1,0,3,1,0,1,2,0
ENSG00000169129,4,3,3,3,3,6,2,3
ENSG00000183077,24,13,32,53,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,53,38,61,58,26,41,35,47
ENSG00000169692,101,74,127,178,77,95,72,90
ENSG00000138678,16,11,22,21,14,17,7,12
ENSG00000188157,847,597,717,1330,846,1082,729,880
ENSG00000135744,0,0,0,0,0,0,0,0
ENSG00000144891,1,0,0,0,0,2,0,1
ENSG00000177674,30,14,36,49,32,34,21,28
ENSG00000156709,200,120,250,206,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,46,69,82,104,28,40,32,38
ENSG00000105127,242,267,298,320,196,304,181,232
ENSG00000011243,16,3,19,31,8,24,12,14
