"gene","ensembl_id","stat","log2FoldChange"
"GREB1","ENSG00000196208",0.000131642275488354,1.06585759185324
"POGLUT3","ENSG00000178202",0.000131642275488354,-1.29773204765758
"SNRPC","ENSG00000124562",0.00323854362576439,-0.974842378176631
"BRD2","ENSG00000204256",0.00492338353895299,-0.910799682796165
"P4HA1","ENSG00000122884",0.00492338353895299,1.42693118377918
"HSPA5","ENSG00000044574",0.00633129621723437,0.739163273214123
"LGALS3","ENSG00000131981",0.0117668869803692,-0.65443642371741
"ENSG00000215271","ENSG00000215271",0.0150486997437501,1.1531122006112
"DDIT3","ENSG00000175197",0.0187217089405291,0.643638171300576
"ZFAND5","ENSG00000107372",0.0239235438141489,-1.04582093865803
"ID2","ENSG00000115738",0.0259937875466916,-0.671791071672596
"TSPAN6","ENSG00000000003",0.0288725672257572,-0.916968791008147
