Geneid,SRR21043404,SRR21043569,SRR21043955,SRR21043814,SRR21043816,SRR21043817
ENSG00000175899,0,0,1,3,0,0
ENSG00000127837,142,195,222,122,110,128
ENSG00000090861,288,242,393,265,167,185
ENSG00000275700,57,36,67,29,23,30
ENSG00000085563,1,2,5,8,6,3
ENSG00000023839,39,35,56,47,44,38
ENSG00000114770,427,341,551,546,361,408
ENSG00000164163,85,47,55,61,23,28
ENSG00000204574,293,296,397,325,241,233
ENSG00000161204,13,19,18,11,12,8
ENSG00000160179,0,3,0,4,1,6
ENSG00000108846,7,5,14,17,10,7
ENSG00000118777,234,149,244,202,120,131
ENSG00000163686,7,14,8,4,13,7
ENSG00000097007,10,7,12,13,10,9
ENSG00000115361,1,0,0,0,0,0
ENSG00000120437,87,87,102,60,44,29
ENSG00000182827,80,97,141,85,65,52
ENSG00000102977,7,5,18,11,8,7
ENSG00000159640,4,4,4,8,3,6
ENSG00000087085,16,17,20,18,22,23
ENSG00000131473,135,198,186,137,144,141
ENSG00000123130,1,9,5,4,0,1
ENSG00000151726,63,86,84,121,74,65
ENSG00000075624,675,721,855,858,657,808
ENSG00000266920,0,1,1,2,0,0
ENSG00000077522,0,0,0,0,0,2
ENSG00000131966,205,183,225,203,164,171
ENSG00000137845,370,208,189,212,205,140
ENSG00000114948,0,1,1,3,1,3
ENSG00000087116,0,0,0,0,0,0
ENSG00000197381,302,264,437,338,257,267
ENSG00000065457,11,11,20,7,8,13
ENSG00000163050,27,35,44,33,25,34
ENSG00000155897,0,0,0,0,0,0
ENSG00000162104,11,8,16,4,2,8
ENSG00000187758,0,0,0,0,0,0
ENSG00000182551,143,149,157,200,142,166
ENSG00000156110,579,461,667,449,317,317
ENSG00000148926,11,19,11,17,8,13
ENSG00000181915,138,134,174,172,116,97
ENSG00000163485,11,17,13,2,1,4
ENSG00000128271,2,1,1,0,1,4
ENSG00000120907,0,0,0,0,0,0
ENSG00000169252,1,1,1,2,1,3
ENSG00000173020,57,55,103,52,45,52
ENSG00000239900,0,0,2,1,0,2
ENSG00000169129,7,5,7,6,3,2
ENSG00000183077,28,29,56,28,21,15
ENSG00000081051,0,0,0,0,0,0
ENSG00000162688,48,58,65,41,26,35
ENSG00000169692,86,80,135,95,77,72
ENSG00000138678,9,16,13,17,14,7
ENSG00000188157,946,678,842,1082,846,729
ENSG00000135744,0,0,0,0,0,0
ENSG00000144891,0,0,1,2,0,0
ENSG00000177674,31,25,36,34,32,21
ENSG00000156709,185,175,282,214,144,139
ENSG00000163568,0,0,0,0,0,0
ENSG00000197976,61,50,100,40,28,32
ENSG00000105127,241,251,296,304,196,181
ENSG00000011243,18,26,21,24,8,12
ENSG00000085662,1,0,1,0,0,1
ENSG00000187134,8,6,8,8,6,2
ENSG00000196139,89,66,81,136,111,158
ENSG00000122787,1,3,2,1,0,5
ENSG00000142208,2937,2217,2754,2868,2074,1990
ENSG00000105221,36,16,46,29,17,15
ENSG00000117020,0,1,0,0,0,0
ENSG00000163631,0,0,1,0,0,0
ENSG00000059573,13,9,8,14,4,14
ENSG00000165092,1,0,0,0,0,0
ENSG00000111275,5,1,2,3,2,0
ENSG00000159423,43,34,77,47,42,48
ENSG00000164904,2,2,3,0,1,0
ENSG00000143149,131,59,56,50,39,42
