"gene","ensembl_id","stat","log2FoldChange"
"HSPA5","ENSG00000044574",3.91017704562856e-12,0.722507073395992
"DDIT3","ENSG00000175197",4.03231461409828e-12,0.715818570446429
"NULL","",1.74876263125293e-11,-0.526054367632113
"PPIAL4A","ENSG00000263353",9.57629290180277e-11,-0.697025900939988
"PABPC3","ENSG00000151846",4.42731791642144e-10,-1.47316827381864
"ATG101","ENSG00000123395",2.4789344212696e-09,0.89854278107481
"BRD2","ENSG00000204256",3.0293141583172e-09,-0.783938786122532
"DAD1","ENSG00000129562",1.02544355618276e-08,-0.536246765486587
"HMGCS1","ENSG00000112972",3.55636824940705e-08,0.641842144955098
"VEGFA","ENSG00000112715",6.9580310684973e-08,0.674824267240736
"LMAN2","ENSG00000169223",6.9580310684973e-08,0.562714878677621
"PIGP","ENSG00000185808",6.9580310684973e-08,-0.855993473775489
"FAM32A","ENSG00000105058",1.66407174829954e-07,-0.517700060792367
"TXNIP","ENSG00000265972",2.98800818761732e-07,0.578355808863675
"OS9","ENSG00000135506",4.6278824228479e-07,0.771757544519954
"RPS27A","ENSG00000143947",4.6278824228479e-07,-0.685751324435468
"DENR","ENSG00000139726",5.86493991426912e-07,-0.463522406779116
"RAB10","ENSG00000084733",9.02397695781568e-07,-0.453233709113122
"PDIA6","ENSG00000143870",1.04756610979339e-06,0.444783453389542
"NPIPB3","ENSG00000169246",1.14517424392699e-06,0.615093541512692
"INTS3","ENSG00000143624",2.06776767913282e-06,-0.45467526869717
"UBAP2L","ENSG00000143569",2.69253004703633e-06,-0.592103387307983
"RPS4X","ENSG00000198034",4.21197960420918e-06,0.545312001620781
"TCEAL6","ENSG00000204071",1.17922778830876e-05,-0.777222732072834
"LGALS3","ENSG00000131981",1.36348543851349e-05,-0.551228332293591
"LAMP1","ENSG00000185896",1.41040071140678e-05,0.445955624793278
"DHX15","ENSG00000109606",1.47551255125268e-05,-0.387237445319561
"CHMP2A","ENSG00000130724",1.5951841756196e-05,-0.643124227856373
"HSP90AB1","ENSG00000096384",1.62362054089111e-05,0.393766017467394
"RPS15","ENSG00000115268",1.89107470991028e-05,0.446113385666486
"ATF7IP","ENSG00000171681",1.90721505166156e-05,-0.709329377207701
"AARS1","ENSG00000090861",1.99119677343271e-05,0.537604017874063
"FOXP2","ENSG00000128573",1.99119677343271e-05,-0.474426502617885
"MUC20","ENSG00000176945",2.12308531078062e-05,-0.59172608437255
"RPS24","ENSG00000138326",2.22332375666467e-05,-0.662148018625695
"UBE2L5","ENSG00000236444",3.93203615211113e-05,-0.610436855640413
"GSPT1","ENSG00000103342",4.13255396612845e-05,-0.484378037485756
"ARLN","ENSG00000164096",4.43458287273343e-05,-0.580638941523382
"RPL9","ENSG00000163682",4.99903745824663e-05,0.495987971623992
"KRT80","ENSG00000167767",4.99903745824663e-05,0.415241156230556
"TRIM37","ENSG00000108395",6.44637594831771e-05,0.385281091290673
"UBP1","ENSG00000153560",6.44637594831771e-05,-0.514754968147753
"NDUFS5","ENSG00000168653",6.76913842899429e-05,-0.535879523276505
"ACTB","ENSG00000075624",6.97269517690875e-05,-0.524665418196161
"SCAMP1","ENSG00000085365",7.83871140930406e-05,-0.509583910177417
"RPL6","ENSG00000089009",9.90069753711088e-05,0.490407239799138
"ANP32A","ENSG00000140350",0.000114385159850119,-0.571838271578169
"TRIQK","ENSG00000205133",0.000124987156170198,-0.48650630019823
"RPL7A","ENSG00000148303",0.000129751482935442,0.466795952863018
"ATOSA","ENSG00000047346",0.000141542163003311,-0.384430945821351
"SPTSSB","ENSG00000196542",0.000149085591356838,-0.355393795735546
"ZNF638","ENSG00000075292",0.000151370803876066,-0.39057817372886
"RPS27","ENSG00000177954",0.000151370803876066,-0.342414995266301
"SELENOI","ENSG00000138018",0.000162687883039747,0.545776846202527
"RBBP4","ENSG00000162521",0.000162687883039747,-0.435426861674384
"RPN1","ENSG00000163902",0.000164482983910733,0.371974656828621
"BRF2","ENSG00000104221",0.000164482983910733,0.933490696630511
"GTPBP2","ENSG00000172432",0.000164482983910733,0.614247407864443
"WAC","ENSG00000095787",0.000164482983910733,-0.494834854369312
"RRP7A","ENSG00000189306",0.000164482983910733,-0.461004950735511
"IK","ENSG00000113141",0.000168879489150758,-0.353906346219475
"CEBPB","ENSG00000172216",0.000180856792868091,0.531751575546791
"ZFP36L2","ENSG00000152518",0.000197478829047814,-0.62129542501065
"RPL22","ENSG00000116251",0.000197478829047814,-0.37246751458026
"HNRNPH1","ENSG00000169045",0.000207422612118363,-0.308872934770517
"METTL1","ENSG00000037897",0.000208927000663778,0.981099201092861
"SKP1","ENSG00000113558",0.000208927000663778,-0.524012989075216
"PDCD10","ENSG00000114209",0.000208945035519815,-0.434214734615705
"LLGL2","ENSG00000073350",0.000240159010320257,0.345920478749229
"CKMT1B","ENSG00000223572",0.000253499290582904,-0.570448349675442
"NPY1R","ENSG00000164128",0.000253499290582904,-0.385487232440787
"IMPDH2","ENSG00000178035",0.000260041090135299,0.50046922055605
"PRPF38B","ENSG00000134186",0.000260041090135299,-0.494211787688923
"LACTB","ENSG00000103642",0.000260041090135299,-0.379914966588863
"TLCD2","ENSG00000185561",0.000260041090135299,0.722912328041354
"GNPNAT1","ENSG00000100522",0.000260041090135299,-0.679048485745414
"YWHAZ","ENSG00000164924",0.000260041090135299,-0.308673786399692
"TM9SF2","ENSG00000125304",0.000284538241955472,-0.491121557351674
"SRSF1","ENSG00000136450",0.000299254988400835,-0.331377027002451
"NPIPA5","ENSG00000183793",0.000303508042572739,0.420273718638535
"INPPL1","ENSG00000165458",0.000309340401224063,-0.371823977367462
"ATP5MG","ENSG00000167283",0.000364521228005396,-0.493017714255577
"TSPAN6","ENSG00000000003",0.000364521228005396,-0.516129170923389
"CDC42","ENSG00000070831",0.000374085111771977,-0.40311065774316
"USP5","ENSG00000111667",0.000380336125635747,0.670314400170868
"IRF1","ENSG00000125347",0.000404610915117065,0.556257366752879
"TES","ENSG00000135269",0.000440423941930206,0.819101105647905
"MRFAP1","ENSG00000179010",0.000440423941930206,-0.306400899045423
"CETN2","ENSG00000147400",0.000458157197168677,0.449718232092883
"SLC19A2","ENSG00000117479",0.000478507431237395,0.546499115526672
"NPIPA7","ENSG00000214967",0.000482240900055438,0.444689780596216
"ACTG1","ENSG00000184009",0.000491315835940439,-0.366425029606407
"KAT2B","ENSG00000114166",0.000500059199340961,-0.522742199823135
"RPL12","ENSG00000197958",0.000501832119780415,0.635055189852065
"NONO","ENSG00000147140",0.000513305433099047,-0.36889803932805
"PFDN6","ENSG00000204220",0.00053735931467969,-0.475214946771957
"CHKA","ENSG00000110721",0.000552837810849983,0.457027758482091
"ATP5F1D","ENSG00000099624",0.000555201017041172,0.780027756500574
"LMNA","ENSG00000160789",0.000557505299610817,0.371195583164502
"FAM241A","ENSG00000174749",0.000559386758628762,-0.345876340518942
"EEF1E1","ENSG00000124802",0.000566542005766744,-0.36829404403862
"PLEKHF2","ENSG00000175895",0.000566564037535333,-0.364635702532057
"CKS2","ENSG00000123975",0.000566564037535333,-0.47746850952434
"HNRNPH3","ENSG00000096746",0.000578191901650871,-0.380031163321223
"MRPL45","ENSG00000278845",0.000578191901650871,-0.559632755691382
"ALKBH5","ENSG00000091542",0.000583769915272476,0.766382210261941
"MED21","ENSG00000152944",0.000585641237010042,-0.552305851166985
"GSTM3","ENSG00000134202",0.000612952447283178,-0.59437719786577
"FAU","ENSG00000149806",0.000650624033784557,0.370578067518013
"CD2AP","ENSG00000198087",0.000659757169374563,-0.77113853370968
"DCDC2","ENSG00000146038",0.000678219491676959,-0.356618200183045
"EIF3L","ENSG00000100129",0.00068401223800358,0.446144232716765
"SLC25A25","ENSG00000148339",0.000687781085991041,0.491155380769358
"TCEAL4","ENSG00000133142",0.000687781085991041,-0.301400433409891
"THG1L","ENSG00000113272",0.000766626388715326,0.612170143550408
"RAB11FIP3","ENSG00000090565",0.000766626388715326,0.769342869719479
"PPP1R21","ENSG00000162869",0.000768771217078006,-0.596659283562763
"NFE2L1","ENSG00000082641",0.000768771217078006,0.398842617540632
"SLC25A3","ENSG00000075415",0.000787418758974877,-0.38653632274649
"UBL5","ENSG00000198258",0.000797555068706083,0.396863598508298
"ATP5F1E","ENSG00000124172",0.000797555068706083,-0.322729515941689
"GORASP2","ENSG00000115806",0.000835159186125783,-0.588394922711645
"HIF1A","ENSG00000100644",0.000890360383319029,0.538984696173191
"SPINT1","ENSG00000166145",0.000890360383319029,0.34848938581401
"SRGAP2","ENSG00000266028",0.000890360383319029,-0.577722706391133
"ATG5","ENSG00000057663",0.000910980521402737,-0.515608994813517
"IARS1","ENSG00000196305",0.000910980521402737,0.422564194295601
"SND1","ENSG00000197157",0.000930391327071771,0.382997960257292
"BZW1","ENSG00000082153",0.00095525010792995,-0.321913830374836
