"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"NULL","",5.00326787165077e-11,-0.552320787173027,6.32844405723599e-15,4656.14510621143
"PABPC3","ENSG00000151846",5.59867767228184e-11,-1.63595037065874,1.41631107318033e-14,73.888884000743
"PPIAL4A","ENSG00000263353",9.29353225436634e-11,-0.728902025799156,3.52651110082204e-14,1356.85652126922
"RPS27A","ENSG00000143947",5.32940845812448e-10,-0.944235192847331,2.69638677365266e-13,375.059595224224
"LMAN2","ENSG00000169223",1.15056849065645e-07,0.606764291180316,8.46680659750391e-11,697.210620554727
"PIGP","ENSG00000185808",1.15056849065645e-07,-0.931120815467633,8.73186307100773e-11,148.953507773904
"GSPT1","ENSG00000103342",1.26807602688874e-07,-0.659171337604767,1.28315307552617e-10,463.347945546396
"ATG101","ENSG00000123395",1.26807602688874e-07,0.856241149823689,1.22398648599318e-10,196.583459511541
"GTF3A","ENSG00000122034",1.77938029041485e-07,-0.763299980174988,2.02560366983729e-10,256.125926716706
"BRD2","ENSG00000204256",2.26421757932468e-07,-0.699221014109199,2.86392307023106e-10,323.323248003653
"DDIT3","ENSG00000175197",3.06350652798194e-07,0.836539385361981,4.27068309328062e-10,742.285417957296
"RPS4X","ENSG00000198034",3.06350652798194e-07,0.656897487463616,4.64989607080486e-10,449.663702812982
"INSIG1","ENSG00000186480",3.90395882390041e-07,0.596903070519123,6.91315754295544e-10,1015.89243141349
"TXNIP","ENSG00000265972",3.90395882390041e-07,0.62133261527758,6.58610005079088e-10,450.79166091118
"ATF7IP","ENSG00000171681",4.22881057565811e-07,-0.880212198685969,8.19612385682516e-10,147.815645034037
"NPIPB4","ENSG00000185864",4.22881057565811e-07,-0.622910369869134,8.55817976353779e-10,749.604089496076
"RPL7A","ENSG00000148303",5.00539862737252e-07,0.620306957345125,1.07629365880765e-09,591.397382491101
"RBBP4","ENSG00000162521",7.14463997270662e-07,-0.604431748081641,1.62665721614874e-09,432.264873256908
"HSPA5","ENSG00000044574",1.24293988525525e-06,0.837440982691314,2.98708042244495e-09,595.227425236083
"LGALS3","ENSG00000131981",1.61983946570843e-06,-0.573470090045837,4.09774719379821e-09,665.331994672124
"MUC20","ENSG00000176945",1.94837459743302e-06,-0.686781804355077,5.42173553548272e-09,213.816179981613
"HMGCS1","ENSG00000112972",1.94837459743302e-06,0.697685865820443,5.22959843344755e-09,679.186159605595
"DENR","ENSG00000139726",2.36293091570247e-06,-0.523332693163573,6.87419821163127e-09,724.228637765591
"TAPBP","ENSG00000231925",2.95585025306333e-06,0.472182977464763,8.97298331311914e-09,723.702110296984
"OS9","ENSG00000135506",3.69911935845409e-06,0.762267002549528,1.21650775764997e-08,168.243017708586
"RPS11","ENSG00000142534",3.69911935845409e-06,-0.730518386658457,1.18717636629534e-08,277.350617546941
"PDIA6","ENSG00000143870",4.14662106685607e-06,0.487277374262524,1.41612406786129e-08,953.17699166079
"UBP1","ENSG00000153560",9.13962344185558e-06,-0.608883071949423,3.23690180080896e-08,445.888602010863
