Geneid,SRR21043470,SRR21043561,SRR21043828,SRR21043899,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,2,0,0,2,0,3,0,0
ENSG00000127837,204,128,167,221,110,122,128,157
ENSG00000090861,389,263,310,368,167,265,185,246
ENSG00000275700,60,30,36,44,23,29,30,23
ENSG00000085563,5,7,5,13,6,8,3,3
ENSG00000023839,52,29,59,58,44,47,38,58
ENSG00000114770,697,429,540,1268,361,546,408,498
ENSG00000164163,39,36,34,28,23,61,28,41
ENSG00000204574,393,269,256,317,241,325,233,283
ENSG00000161204,25,8,17,22,12,11,8,5
ENSG00000160179,2,3,1,7,1,4,6,1
ENSG00000108846,22,15,13,18,10,17,7,17
ENSG00000118777,231,125,142,196,120,202,131,170
ENSG00000163686,11,9,18,24,13,4,7,13
ENSG00000097007,21,10,8,22,10,13,9,8
ENSG00000115361,0,1,0,1,0,0,0,1
ENSG00000120437,96,68,65,73,44,60,29,32
ENSG00000182827,111,79,91,83,65,85,52,75
ENSG00000102977,11,16,10,14,8,11,7,14
ENSG00000159640,3,4,8,12,3,8,6,7
ENSG00000087085,49,20,28,51,22,18,23,21
ENSG00000131473,152,154,161,164,144,137,141,135
ENSG00000123130,4,10,4,6,0,4,1,1
ENSG00000151726,102,93,74,59,74,121,65,70
ENSG00000075624,719,589,685,847,657,858,808,759
ENSG00000266920,0,1,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,225,157,173,194,164,203,171,196
ENSG00000137845,244,172,182,271,205,212,140,226
ENSG00000114948,1,1,2,0,1,3,3,1
ENSG00000087116,0,0,0,0,0,0,0,0
ENSG00000197381,362,231,281,442,257,338,267,329
ENSG00000065457,19,9,7,18,8,7,13,12
ENSG00000163050,40,34,21,42,25,33,34,31
ENSG00000155897,0,0,0,3,0,0,0,0
ENSG00000162104,13,5,9,13,2,4,8,7
ENSG00000187758,0,0,0,0,0,0,0,0
ENSG00000182551,170,162,138,228,142,200,166,176
ENSG00000156110,503,353,408,517,317,449,317,428
ENSG00000148926,15,6,11,23,8,17,13,7
ENSG00000181915,154,125,130,153,116,172,97,126
ENSG00000163485,5,2,3,9,1,2,4,3
