"gene","ensembl_id","stat","log2FoldChange","pvalue","baseMean"
"SCD","ENSG00000099194",2.46418128743322e-08,-1.18645930240478,3.85812006800254e-12,915.25947612347
"RPL34","ENSG00000109475",1.15539311329474e-07,-1.23028267800908,3.61795244494987e-11,212.901935684853
"ATG101","ENSG00000123395",3.59161651854655e-07,0.898354561544295,1.68699695563483e-10,190.329483706294
"PABPC3","ENSG00000151846",4.63378998961167e-07,-1.52238922363321,2.90201345834456e-10,71.9494421126262
"RPS15","ENSG00000115268",4.74457678162265e-07,0.612318146782002,3.71424517114659e-10,728.055726285395
"PPIAL4A","ENSG00000263353",8.45499685451821e-07,-0.691237210490044,7.94269314656478e-10,1304.2209808847
"FAM107B","ENSG00000065809",1.82079076863731e-06,-0.757740216162244,1.99554335062802e-09,295.096795420431
"DDIT3","ENSG00000175197",2.33111277463943e-06,0.752304901581103,2.91982185644519e-09,680.633804503676
"RPL6","ENSG00000089009",8.88098209836236e-06,0.587927726583942,1.25143007492189e-08,582.12312357909
"RPL7A","ENSG00000148303",1.0461545003184e-05,0.722731809540132,1.63794347944011e-08,587.876037836491
"HMGCS1","ENSG00000112972",1.75721770648836e-05,0.663843958270023,3.02636523741537e-08,637.207094547551
"RPL12","ENSG00000197958",0.000170234017079962,0.750988187723965,3.40439647575098e-07,230.16881669131
"PIGP","ENSG00000185808",0.000170234017079962,-0.860781601924976,3.46491658374746e-07,144.455151910518
"RPN1","ENSG00000163902",0.000186921685503322,0.540454871038047,4.0972343777149e-07,1556.1377354087
"ISCU","ENSG00000136003",0.000228683643960505,0.63607856166695,5.37068210334675e-07,292.691613988529
"PRPF38B","ENSG00000134186",0.000245322408388183,-0.738548285610825,6.14554334462333e-07,512.358310811987
"ZNF808","ENSG00000198482",0.000316772877663581,-0.792308294163352,8.44613177354782e-07,124.240011524979
"NAMPT","ENSG00000105835",0.000316772877663581,-0.920086092764786,8.92737090644192e-07,240.362386351261
"UBAP2L","ENSG00000143569",0.000332646224801066,-0.62194777787956,9.89553510446259e-07,374.671347167967
"RBBP4","ENSG00000162521",0.000337352715411169,-0.583820534347489,1.05637299330255e-06,413.490569423922
"BRD2","ENSG00000204256",0.000345141878225781,-0.720446031557186,1.13480185419468e-06,305.946094449399
"RPS4X","ENSG00000198034",0.000387524367586783,0.672357854872309,1.33482637966326e-06,430.758561582735
"MBNL1","ENSG00000152601",0.000397846656244058,-0.78523490865777,1.49496160166861e-06,135.216284436705
"LGALS3","ENSG00000131981",0.000397846656244058,-0.611442413600715,1.48852427384221e-06,627.045060838562
"ENSG00000224032","ENSG00000224032",0.000415642621015397,0.53601563130201,1.62690864652966e-06,590.284501049045
"UBP1","ENSG00000153560",0.000467666854529633,-0.576953632030582,1.90376361637239e-06,428.263249712893
"UBL5","ENSG00000198258",0.000498019705118777,0.506093175991006,2.10529701553264e-06,516.99752157608
"LSM5","ENSG00000106355",0.00052061128150948,-0.832209127285726,2.28231029939963e-06,143.586069555242
"LSM8","ENSG00000128534",0.000554915383135604,-0.66671170313834,2.53895470081991e-06,257.249811972017
"NUDT19","ENSG00000213965",0.000554915383135604,-0.682804049356466,2.60646023079194e-06,181.291636294379
"UPF3A","ENSG00000169062",0.000612944951877737,-0.951956484705808,3.16693023515975e-06,88.3687451831895
"NEMF","ENSG00000165525",0.000612944951877737,-0.569047655690286,3.04687728417913e-06,250.295174048782
"RPS17","ENSG00000182774",0.000612944951877737,0.914171088319427,3.14326976967842e-06,168.093554892652
"EIF3L","ENSG00000100129",0.000628511136152623,0.587007377770501,3.34576148883501e-06,336.61182942276
"UBE2L5","ENSG00000236444",0.000697458587581861,-0.676064972430185,3.82199006816426e-06,192.029762439281
"INSIG1","ENSG00000186480",0.000740437565354107,0.740754811310275,4.21366116357698e-06,1027.70926602729
"NBPF12","ENSG00000268043",0.000740437565354107,-0.454134496664092,4.289367452341e-06,1065.75563406943
"OS9","ENSG00000135506",0.000773832514064809,0.719767881563088,4.60398239149253e-06,156.708126437982
"TXNIP","ENSG00000265972",0.000801752084916844,0.611949469860668,4.89562099761342e-06,426.404341825242
"USP34","ENSG00000115464",0.000865958128711293,-0.651469276433861,5.42325428972158e-06,265.534039085828
"ACTR2","ENSG00000138071",0.000946354944072167,-1.19385959626233,6.07492605400953e-06,45.1652845002281
"HAPSTR1","ENSG00000182831",0.000946542175001878,-0.579776806858962,6.22432618601516e-06,443.440577460972
"MUC20","ENSG00000176945",0.000970010367946305,-0.643544037090982,6.53052228302663e-06,205.441476272629
"NDRG1","ENSG00000104419",0.000995738637542121,0.841917574157888,6.85963677029174e-06,211.92088442828
"HSP90AB1","ENSG00000096384",0.00125298445603579,0.458804581732434,8.82797878841559e-06,1129.54313416113
"SYNGR2","ENSG00000108639",0.00144825128316413,0.481624618510887,1.0430493036723e-05,490.740851615538
"NULL","",0.00153050561054545,-0.448441641708579,1.12625275866034e-05,4563.78549142706
"RPL21","ENSG00000122026",0.00156899867795888,0.544529341393165,1.17914414501372e-05,322.928426193316
"DSP","ENSG00000096696",0.00157254795869123,0.601131371113419,1.2064325970858e-05,931.221153935342
"USP16","ENSG00000156256",0.00161341482732174,-1.08760641824485,1.263045895821e-05,50.9003679817471
"MPLKIP","ENSG00000168303",0.0016156923908276,-0.959622352511332,1.29012544124327e-05,68.0179361303666
"OTUD1","ENSG00000165312",0.00165077411593413,-0.563199226565113,1.34398393656763e-05,417.768308908743
"NACA","ENSG00000196531",0.00187899274865474,-0.739779433922869,1.55920801125256e-05,156.313468520236
"PSME4","ENSG00000068878",0.00191039418300367,-0.616243716256082,1.64508658314078e-05,276.733413668316
"SCAMP1","ENSG00000085365",0.00191039418300367,-0.619026687891945,1.62651232906621e-05,384.183956786015
"COQ10B","ENSG00000115520",0.00196004553645725,-0.891931620751617,1.71853060970105e-05,109.497986045024
"SMC5","ENSG00000198887",0.00222152748756058,-0.548164067036369,1.9825750241264e-05,374.417023074223
"P4HA1","ENSG00000122884",0.00224232135104345,1.11780436563376,2.03623983655112e-05,41.9929644407185
"THG1L","ENSG00000113272",0.00226193793979542,0.709348115950047,2.08946827067371e-05,128.292221017924
"MTA3","ENSG00000057935",0.00239235989448092,-0.609354841099851,2.24740243727658e-05,167.289756992138
"ALKBH5","ENSG00000091542",0.00249954894176543,0.844361846488607,2.48206656534132e-05,77.2301578348197
"RAB10","ENSG00000084733",0.00249954894176543,-0.479348636432806,2.50463648462483e-05,1986.290273194
"ZNF480","ENSG00000198464",0.00249954894176543,-0.737195521311881,2.43989256546025e-05,138.216365916201
"PALM3","ENSG00000187867",0.00249954894176543,-0.779112824940329,2.47627891384659e-05,97.6234809589188
"RPL18A","ENSG00000105640",0.00256889503913772,0.671467096871184,2.61434441120952e-05,125.160206297822
"MAGED1","ENSG00000179222",0.00259752247537644,0.72114127893961,2.68414722678636e-05,118.709224398748
"HM13","ENSG00000101294",0.0026537638757076,-0.534744394855159,2.78381367891669e-05,470.494363576424
"SMC6","ENSG00000163029",0.0026975866134875,-0.587620415405926,2.87201956657507e-05,169.457313336309
"RNF24","ENSG00000101236",0.00271388522302637,-0.836559401636519,2.97435361847262e-05,64.1292543140978
"PSMA3","ENSG00000100567",0.00271388522302637,-0.551688828838865,2.95655188029544e-05,1044.28306631047
"TCEAL6","ENSG00000204071",0.00278489874828084,-0.851689588210473,3.1393879736374e-05,274.338868208807
"ATF7IP","ENSG00000171681",0.00278489874828084,-0.67709317618426,3.1254318247247e-05,148.360062771655
"ZNF721","ENSG00000182903",0.00288680500294161,-0.748826503068498,3.29946399271547e-05,96.608076214311
"ZNF354A","ENSG00000169131",0.00292760479844256,-0.5788058916271,3.43519726513443e-05,324.254690750308
"SLC25A6","ENSG00000169100",0.00292760479844256,-0.511131424947437,3.43776984316881e-05,619.608837320761
"BAG1","ENSG00000107262",0.00294676873138775,-0.486498738478541,3.50641026437246e-05,521.926977340421
"TM9SF2","ENSG00000125304",0.00295649931892285,-0.611950747493998,3.56503666892433e-05,424.100648720317
"NONO","ENSG00000147140",0.00295649931892285,-0.473272340484441,3.6105675101923e-05,561.299753144607
"BCCIP","ENSG00000107949",0.00302836271834082,-0.546103275920633,3.74574377248982e-05,256.399836382926
"FOXP2","ENSG00000128573",0.00304410558781141,-0.489660955005548,3.8212974476877e-05,582.942686393812
"HSP90AA1","ENSG00000080824",0.00304410558781141,-0.398868773167227,3.86053785208586e-05,897.008624038954
"TSPAN6","ENSG00000000003",0.00304901726547649,-0.597846176584685,3.91450470908208e-05,226.172656998035
"ABAT","ENSG00000183044",0.0031082571783305,0.685598041208072,4.03922570536138e-05,111.22357765748
"LMAN2","ENSG00000169223",0.00314620855936783,0.491018106622246,4.28558234953815e-05,631.940654676172
"ATOSA","ENSG00000047346",0.00314620855936783,-0.564815378872546,4.15830050324462e-05,923.585615445741
"SAFB2","ENSG00000130254",0.00314620855936783,-0.487587263381175,4.26096746508176e-05,330.655893098837
"ZNF638","ENSG00000075292",0.00314620855936783,-0.421829037787332,4.19434418587905e-05,631.643828506521
"SRSF1","ENSG00000136450",0.00358165790477464,-0.417206345401439,4.93480343854969e-05,810.816230737692
"DENR","ENSG00000139726",0.0036105371780248,-0.435220610190824,5.03112273123857e-05,707.774879704127
"KAT2B","ENSG00000114166",0.0037043852658623,-0.56937672311495,5.27789352111272e-05,187.907053073948
"SUPT4H1","ENSG00000213246",0.0037043852658623,0.46728541044307,5.22844649555042e-05,398.087588783058
"CETN2","ENSG00000147400",0.00380232734938119,0.546616877470579,5.47697066139141e-05,330.08188789964
"ANP32A","ENSG00000140350",0.00396613948071253,-0.585943952873459,5.77502695641561e-05,210.807682198684
"ZBTB8OS","ENSG00000176261",0.00397265232416263,-0.50430667142696,5.84670922923574e-05,729.319889153508
"ATP5F1D","ENSG00000099624",0.00467624434564745,0.953381224949468,6.95542841453746e-05,85.6652226015848
"ING3","ENSG00000071243",0.00495124454875049,-0.999754135218125,7.44198335180909e-05,47.1502539106282
"AKR1C3","ENSG00000196139",0.00527162038628969,-0.731540414801397,8.00606196132926e-05,114.108975623499
"DHX15","ENSG00000109606",0.00550985547492537,-0.36731826365396,8.54040538621593e-05,1331.88188022901
"SETDB2","ENSG00000136169",0.00550985547492537,-0.866313776268991,8.53052892422303e-05,70.064446921496
"TRIM37","ENSG00000108395",0.00551969823236277,0.40933026650844,8.72182824511753e-05,3378.41795569197
"RAB12","ENSG00000206418",0.00551969823236277,-0.561330041422175,8.72850354577485e-05,184.301683124245
"PCBP2","ENSG00000197111",0.00555372825603712,0.488391491118689,8.86927011297614e-05,497.360942203406
"CHMP2B","ENSG00000083937",0.00575290186608032,-1.17049961421604,9.27742120254068e-05,46.1071796354548
"TMEM268","ENSG00000157693",0.00578241463879537,0.714445549769648,9.41554912219694e-05,99.8692149532105
"EIF3CL","ENSG00000205609",0.00587314801368525,0.49192126785538,9.65524567773527e-05,671.770420515205
