Geneid,SRR21043380,SRR21043734,SRR21043782,SRR21043868,SRR21043816,SRR21043814,SRR21043817,SRR21043815
ENSG00000175899,0,4,0,0,0,3,0,0
ENSG00000127837,257,252,157,197,110,122,128,157
ENSG00000090861,534,551,422,416,167,265,185,246
ENSG00000275700,38,32,31,24,23,29,30,23
ENSG00000085563,0,2,0,4,6,8,3,3
ENSG00000023839,8,25,16,15,44,47,38,58
ENSG00000114770,118,158,112,126,361,546,408,498
ENSG00000164163,94,75,77,75,23,61,28,41
ENSG00000204574,493,471,344,316,241,325,233,283
ENSG00000161204,17,13,7,10,12,11,8,5
ENSG00000160179,0,4,0,5,1,4,6,1
ENSG00000108846,49,43,30,32,10,17,7,17
ENSG00000118777,44,36,27,37,120,202,131,170
ENSG00000163686,9,5,8,7,13,4,7,13
ENSG00000097007,14,14,14,14,10,13,9,8
ENSG00000115361,0,0,0,0,0,0,0,1
ENSG00000120437,73,65,72,83,44,60,29,32
ENSG00000182827,283,227,227,202,65,85,52,75
ENSG00000102977,43,14,22,9,8,11,7,14
ENSG00000159640,4,3,3,1,3,8,6,7
ENSG00000087085,37,45,30,22,22,18,23,21
ENSG00000131473,83,72,94,69,144,137,141,135
ENSG00000123130,4,1,8,1,0,4,1,1
ENSG00000151726,169,144,169,137,74,121,65,70
ENSG00000075624,1137,934,986,858,657,858,808,759
ENSG00000266920,2,1,0,0,0,2,0,2
ENSG00000077522,0,0,0,0,0,0,2,0
ENSG00000131966,231,221,214,193,164,203,171,196
ENSG00000137845,208,225,155,182,205,212,140,226
ENSG00000114948,2,0,0,1,1,3,3,1
ENSG00000087116,0,0,2,0,0,0,0,0
ENSG00000197381,134,121,94,91,257,338,267,329
ENSG00000065457,15,19,15,9,8,7,13,12
ENSG00000163050,31,21,15,12,25,33,34,31
ENSG00000155897,0,0,0,0,0,0,0,0
ENSG00000162104,7,4,3,9,2,4,8,7
ENSG00000187758,0,0,1,0,0,0,0,0
ENSG00000182551,68,45,51,49,142,200,166,176
ENSG00000156110,544,489,424,343,317,449,317,428
ENSG00000148926,21,17,31,23,8,17,13,7
ENSG00000181915,225,217,160,151,116,172,97,126
ENSG00000163485,0,2,0,1,1,2,4,3
ENSG00000128271,1,1,4,2,1,0,4,3
ENSG00000120907,0,0,0,0,0,0,0,2
ENSG00000169252,4,0,0,0,1,2,3,2
ENSG00000173020,113,81,67,74,45,52,52,62
ENSG00000239900,0,1,0,0,0,1,2,0
ENSG00000169129,0,0,0,0,3,6,2,3
ENSG00000183077,38,42,36,28,21,28,15,18
ENSG00000081051,0,0,0,0,0,0,0,0
ENSG00000162688,22,22,20,22,26,41,35,47
ENSG00000169692,88,64,70,55,77,95,72,90
ENSG00000138678,14,16,7,10,14,17,7,12
ENSG00000188157,1172,1127,916,855,846,1082,729,880
ENSG00000135744,1,0,0,0,0,0,0,0
ENSG00000144891,0,0,1,0,0,2,0,1
ENSG00000177674,43,48,55,29,32,34,21,28
ENSG00000156709,205,173,144,144,144,214,139,162
ENSG00000163568,0,0,0,0,0,0,0,0
ENSG00000197976,59,82,56,49,28,40,32,38
ENSG00000105127,231,196,145,138,196,304,181,232
ENSG00000011243,19,34,30,27,8,24,12,14
ENSG00000085662,1,0,0,0,0,0,1,0
ENSG00000187134,28,31,17,17,6,8,2,4
ENSG00000196139,140,115,121,120,111,136,158,112
ENSG00000122787,0,0,0,2,0,1,5,0
ENSG00000142208,1368,1229,922,986,2074,2868,1990,2424
ENSG00000105221,44,65,35,44,17,29,15,20
ENSG00000117020,0,0,0,0,0,0,0,1
ENSG00000163631,0,0,0,0,0,0,0,0
ENSG00000059573,11,9,8,9,4,14,14,14
ENSG00000165092,0,0,0,0,0,0,0,0
ENSG00000111275,16,5,9,11,2,3,0,3
ENSG00000159423,37,28,15,37,42,47,48,51
