"gene","ensembl_id","stat","log2FoldChange"
"SLC7A5","ENSG00000103257",5.46267685293841e-67,2.01695567953287
"KRT81","ENSG00000205426",2.68484855729197e-58,2.06363733859995
"WSB1","ENSG00000109046",7.00829994745495e-50,1.95771715676954
"KITLG","ENSG00000049130",1.52782227567444e-49,-1.95056273742929
"KRT17","ENSG00000128422",3.64176267455772e-48,2.7519502688548
"AREG","ENSG00000109321",5.74366916129847e-48,2.71450124971453
"SGCG","ENSG00000102683",1.0537954416742e-46,-2.15290551276397
"KAT2B","ENSG00000114166",1.51099868567167e-44,-2.53478428034841
"ERRFI1","ENSG00000116285",3.00339518661325e-43,1.48099545212904
"PCP4","ENSG00000183036",3.00339518661325e-43,2.19810830891758
"RDX","ENSG00000137710",2.37630595421384e-40,-1.61590244433179
"EID1","ENSG00000255302",2.91586223618542e-40,-1.46359098174277
"ESR1","ENSG00000091831",6.28785433102582e-39,-1.5177525389309
"GREB1","ENSG00000196208",7.41093692061988e-37,1.84707759003691
"SLC12A2","ENSG00000064651",5.55203258138917e-36,-1.28597676129796
"C1orf21","ENSG00000116667",4.76849490177743e-33,-1.35712230854087
"CRABP1","ENSG00000166426",9.79030696624662e-33,2.37705861905698
"FADS1","ENSG00000149485",1.21719147805377e-31,1.45541534431324
"PABPC1L","ENSG00000101104",4.6275889286029e-31,1.40138643160952
"FAM83B","ENSG00000168143",3.02911952297025e-29,-1.33861111841676
"S100P","ENSG00000163993",1.8743533165368e-28,1.23515230921886
"TBC1D9","ENSG00000109436",3.07349382639621e-28,-1.18137235982343
"RBCK1","ENSG00000125826",3.4489655494321e-26,1.70638858254076
"PPP1R3C","ENSG00000119938",7.33406566794112e-26,-2.37111442563808
"IDI1","ENSG00000067064",1.67568946155153e-25,-0.95589593057787
"DKK1","ENSG00000107984",2.91493203437845e-25,-1.67268929565401
"NPY1R","ENSG00000164128",5.85224931580196e-25,-1.58531731897426
"SLC25A25","ENSG00000148339",2.3721678149176e-24,1.22172044121271
"MALRD1","ENSG00000204740",3.22101201994713e-24,-2.56587997273493
"NET1","ENSG00000173848",3.9759256325928e-24,1.2410941491124
"DCDC2","ENSG00000146038",5.42768290347449e-24,-1.6525630145462
"UBP1","ENSG00000153560",7.17922355028861e-24,-1.16105873193069
"FLNA","ENSG00000196924",1.48030059267791e-23,1.03651036441758
"RBL2","ENSG00000103479",1.56624058850693e-23,-1.62869718502158
"VEGFA","ENSG00000112715",1.56624058850693e-23,1.32576625976844
"PSCA","ENSG00000167653",1.56624058850693e-23,-1.90779140542089
"UBA5","ENSG00000081307",6.64237831131493e-23,-1.28087965390057
"RNF187","ENSG00000168159",8.84552929202821e-23,1.40569514120156
"CCDC159","ENSG00000183401",9.48881067414461e-23,-1.31841665193433
"TCEA1","ENSG00000187735",6.11714337062438e-22,0.968388877425368
"FAM107B","ENSG00000065809",9.45900449667119e-22,-1.35924641212136
"MID2","ENSG00000080561",1.26089063308601e-21,-0.917896909236974
"CBS","ENSG00000160200",2.75050397361431e-21,1.12531109860474
"SALL4","ENSG00000101115",3.40217421489462e-21,-1.76801414353378
"ATP2A3","ENSG00000074370",3.88368445165881e-21,-1.49668411946838
"AMIGO2","ENSG00000139211",3.94574646267597e-21,0.897191998602495
"YPEL3","ENSG00000090238",5.48926439515274e-21,-1.28064183807562
"NUDT4","ENSG00000173598",5.90241581424445e-21,-1.53523587356606
"TPD52L1","ENSG00000111907",1.18596756902664e-20,0.999330223857019
"EIF4EBP1","ENSG00000187840",1.53061543254434e-20,1.05766550441883
"EVL","ENSG00000196405",1.67002399775088e-20,-1.09639534490381
"RELL1","ENSG00000181826",1.86842315072029e-20,-1.23747417934194
"NCAM2","ENSG00000154654",2.04027362778171e-20,-1.78104606343435
"HNRNPD","ENSG00000138668",1.13546798828343e-19,-1.13810933675445
"MRPS10","ENSG00000048544",1.27450174627302e-19,1.01631518435572
"CHCHD10","ENSG00000250479",1.69623232996825e-19,1.5698579500694
"EEIG2","ENSG00000162636",1.95137135582872e-19,-1.24076529830749
"APOD","ENSG00000189058",2.57533042930343e-19,-2.74400174532651
"SNHG32","ENSG00000204387",5.69141636805147e-19,0.882827541762014
"LCN2","ENSG00000148346",5.69747749326288e-19,1.30119223471435
"RPL12","ENSG00000197958",8.68867928288526e-19,1.39823768476763
